,Date,Price,Symbol
0,2018-05-01,40.73,RWX
1,2018-04-30,40.81,RWX
2,2018-04-27,40.75,RWX
3,2018-04-26,40.53,RWX
4,2018-04-25,40.17,RWX
5,2018-04-24,40.29,RWX
6,2018-04-23,40.35,RWX
7,2018-04-20,40.62,RWX
8,2018-04-19,40.68,RWX
9,2018-04-18,40.9,RWX
10,2018-04-17,40.78,RWX
11,2018-04-16,40.5,RWX
12,2018-04-13,40.52,RWX
13,2018-04-12,40.55,RWX
14,2018-04-11,40.56,RWX
15,2018-04-10,40.62,RWX
16,2018-04-09,40.35,RWX
17,2018-04-06,40.07,RWX
18,2018-04-05,40.24,RWX
19,2018-04-04,40.28,RWX
20,2018-04-03,39.91,RWX
21,2018-04-02,39.68,RWX
22,2018-03-29,40.02,RWX
23,2018-03-28,39.68,RWX
24,2018-03-27,39.38,RWX
25,2018-03-26,39.61,RWX
26,2018-03-23,39.16,RWX
27,2018-03-22,39.42,RWX
28,2018-03-21,39.91,RWX
29,2018-03-20,39.84,RWX
30,2018-03-19,39.86,RWX
31,2018-03-16,39.69,RWX
32,2018-03-15,39.7882,RWX
33,2018-03-14,39.8181,RWX
34,2018-03-13,39.5594,RWX
35,2018-03-12,39.7086,RWX
36,2018-03-09,39.828,RWX
37,2018-03-08,39.7683,RWX
38,2018-03-07,39.5992,RWX
39,2018-03-06,39.4002,RWX
40,2018-03-05,39.3902,RWX
41,2018-03-02,39.3106,RWX
42,2018-03-01,38.9226,RWX
43,2018-02-28,39.042,RWX
44,2018-02-27,39.4499,RWX
45,2018-02-26,40.3255,RWX
46,2018-02-23,39.8977,RWX
47,2018-02-22,39.3007,RWX
48,2018-02-21,39.1912,RWX
49,2018-02-20,39.5096,RWX
50,2018-02-16,39.7086,RWX
51,2018-02-15,39.4798,RWX
52,2018-02-14,39.3405,RWX
53,2018-02-13,39.1017,RWX
54,2018-02-12,38.9823,RWX
55,2018-02-09,38.6639,RWX
56,2018-02-08,38.3256,RWX
57,2018-02-07,39.2211,RWX
58,2018-02-06,39.6091,RWX
59,2018-02-05,39.0917,RWX
60,2018-02-02,40.5145,RWX
61,2018-02-01,41.3602,RWX
62,2018-01-31,41.8478,RWX
63,2018-01-30,41.4,RWX
64,2018-01-29,41.599,RWX
65,2018-01-26,42.2358,RWX
66,2018-01-25,41.8776,RWX
67,2018-01-24,42.0169,RWX
68,2018-01-23,41.7582,RWX
69,2018-01-22,41.5891,RWX
70,2018-01-19,41.3204,RWX
71,2018-01-18,41.2707,RWX
72,2018-01-17,41.3204,RWX
73,2018-01-16,41.0319,RWX
74,2018-01-12,40.9026,RWX
75,2018-01-11,40.614000000000004,RWX
76,2018-01-10,40.6638,RWX
77,2018-01-09,40.9424,RWX
78,2018-01-08,40.8827,RWX
79,2018-01-05,40.8727,RWX
80,2018-01-04,40.6936,RWX
81,2018-01-03,40.7533,RWX
82,2018-01-02,40.5245,RWX
83,2017-12-29,40.2857,RWX
84,2017-12-28,40.3155,RWX
85,2017-12-27,40.1762,RWX
86,2017-12-26,39.9176,RWX
87,2017-12-22,39.8579,RWX
88,2017-12-21,39.8778,RWX
89,2017-12-20,39.8479,RWX
90,2017-12-19,39.9176,RWX
91,2017-12-18,40.0469,RWX
92,2017-12-15,39.6589,RWX
93,2017-12-14,39.6872,RWX
94,2017-12-13,39.6773,RWX
95,2017-12-12,39.3012,RWX
96,2017-12-11,39.1825,RWX
97,2017-12-08,39.2518,RWX
98,2017-12-07,39.1033,RWX
99,2017-12-06,39.0736,RWX
100,2017-12-05,39.0043,RWX
101,2017-12-04,38.8559,RWX
102,2017-12-01,39.0043,RWX
103,2017-11-30,39.0043,RWX
104,2017-11-29,38.8163,RWX
105,2017-11-28,39.0736,RWX
106,2017-11-27,38.9054,RWX
107,2017-11-24,38.945,RWX
108,2017-11-22,38.7668,RWX
109,2017-11-21,38.6777,RWX
110,2017-11-20,38.4501,RWX
111,2017-11-17,38.3511,RWX
112,2017-11-16,38.361,RWX
113,2017-11-15,38.0047,RWX
114,2017-11-14,38.0542,RWX
115,2017-11-13,38.0245,RWX
116,2017-11-10,38.2126,RWX
117,2017-11-09,38.2818,RWX
118,2017-11-08,38.3709,RWX
119,2017-11-07,38.0146,RWX
120,2017-11-06,38.1136,RWX
121,2017-11-03,38.1037,RWX
122,2017-11-02,38.0542,RWX
123,2017-11-01,37.9058,RWX
124,2017-10-31,38.074,RWX
125,2017-10-30,37.8167,RWX
126,2017-10-27,37.7771,RWX
127,2017-10-26,37.6088,RWX
128,2017-10-25,37.6682,RWX
129,2017-10-24,37.9651,RWX
130,2017-10-23,37.9058,RWX
131,2017-10-20,38.2423,RWX
132,2017-10-19,38.4105,RWX
133,2017-10-18,38.46,RWX
134,2017-10-17,38.2917,RWX
135,2017-10-16,38.3313,RWX
136,2017-10-13,38.3808,RWX
137,2017-10-12,38.272,RWX
138,2017-10-11,38.2522,RWX
139,2017-10-10,38.0344,RWX
140,2017-10-09,37.7672,RWX
141,2017-10-06,37.7573,RWX
142,2017-10-05,37.8266,RWX
143,2017-10-04,37.8761,RWX
144,2017-10-03,38.074,RWX
145,2017-10-02,37.8959,RWX
146,2017-09-29,37.9849,RWX
147,2017-09-28,37.7177,RWX
148,2017-09-27,37.7276,RWX
149,2017-09-26,37.8959,RWX
150,2017-09-25,37.975,RWX
151,2017-09-22,38.1829,RWX
152,2017-09-21,38.0146,RWX
153,2017-09-20,38.2818,RWX
154,2017-09-19,38.3808,RWX
155,2017-09-18,38.4996,RWX
156,2017-09-15,38.6085,RWX
157,2017-09-14,38.4843,RWX
