,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,76.35,76.35,75.9,76.01,76.01,146682,0.0,1.0
1,2018-05-01,75.93,76.15,75.19,76.09,76.09,615686,0.0,1.0
2,2018-04-30,77.04,77.08,76.25,76.25,76.25,782714,0.0,1.0
3,2018-04-27,76.44,76.56,75.99,76.51,76.51,407374,0.0,1.0
4,2018-04-26,75.38,76.05,75.38,76.02,76.02,425203,0.0,1.0
5,2018-04-25,75.21,75.29,74.68,75.1,75.1,389891,0.0,1.0
6,2018-04-24,76.35,76.58,75.21,75.54,75.54,561211,0.0,1.0
7,2018-04-23,76.19,76.38,75.69,75.89,75.89,446787,0.0,1.0
8,2018-04-20,76.75,76.75,75.89,76.26,76.26,661707,0.0,1.0
9,2018-04-19,77.66,77.675,76.92,77.15,77.15,1437322,0.0,1.0
10,2018-04-18,77.16,77.66,76.99,77.43,77.43,390329,0.0,1.0
11,2018-04-17,76.6,77.2,76.56,76.98,76.98,852034,0.0,1.0
12,2018-04-16,76.76,77.06,76.56,77.01,77.01,257035,0.0,1.0
13,2018-04-13,77.68,77.84,76.87,77.09,77.09,201641,0.0,1.0
14,2018-04-12,77.56,78.0,77.42,77.84,77.84,369327,0.0,1.0
15,2018-04-11,77.53,78.05,77.51,77.82,77.82,389154,0.0,1.0
16,2018-04-10,77.43,77.91,77.14,77.81,77.81,802495,0.0,1.0
17,2018-04-09,76.34,77.01,76.1,76.27,76.27,684984,0.0,1.0
18,2018-04-06,76.33,76.78,75.06,75.37,75.37,3235501,0.0,1.0
19,2018-04-05,77.01,77.36,76.74,77.05,77.05,320225,0.0,1.0
20,2018-04-04,74.89,76.96,74.7,76.86,76.86,647772,0.0,1.0
21,2018-04-03,76.87,77.08,76.32,77.03,77.03,365524,0.0,1.0
22,2018-04-02,77.12,77.3284,75.45,76.08,76.08,377162,0.0,1.0
23,2018-03-29,76.65,77.77,76.55,77.53,77.53,635985,0.0,1.0
24,2018-03-28,76.44,76.5,75.62,76.16,76.16,567971,0.0,1.0
25,2018-03-27,77.75,77.96,76.3,76.56,76.56,3152732,0.0,1.0
26,2018-03-26,77.3,77.8,76.3,77.74,77.74,2622778,0.0,1.0
27,2018-03-23,76.83,77.0,75.2,75.23,75.23,629470,0.0,1.0
28,2018-03-22,77.75,77.99,76.784,76.82,76.82,812752,0.0,1.0
29,2018-03-21,79.21,79.79,78.96,79.55,79.55,408214,0.0,1.0
30,2018-03-20,79.14,79.67,79.14,79.47,79.47,413484,0.0,1.0
31,2018-03-19,79.0,79.12,78.18,78.62,78.62,269232,0.0,1.0
32,2018-03-16,79.44,79.65,79.36,79.51,79.51,439445,0.0,1.0
33,2018-03-15,79.88,80.13,79.37,79.64,79.64,1274535,0.0,1.0
34,2018-03-14,79.73,79.95,79.06,79.49,79.49,597203,0.0,1.0
35,2018-03-13,80.11,80.25,78.95,79.21,79.21,2219029,0.0,1.0
36,2018-03-12,79.71,79.9338,79.4352,79.78,79.78,500164,0.0,1.0
37,2018-03-09,78.42,79.54,78.42,79.54,79.54,880701,0.0,1.0
38,2018-03-08,77.88,78.03,77.5,77.83,77.83,490645,0.0,1.0
39,2018-03-07,76.93,77.565,76.66,77.53,77.53,566360,0.0,1.0
40,2018-03-06,77.87,78.06,77.26,77.54,77.54,636527,0.0,1.0
41,2018-03-05,75.83,76.89,75.8,76.69,76.69,869693,0.0,1.0
42,2018-03-02,75.85,77.03,75.43,76.9,76.9,806773,0.0,1.0
43,2018-03-01,77.49,77.92,76.01,76.61,76.61,793121,0.0,1.0
44,2018-02-28,77.85,77.92,76.74,76.74,76.74,520195,0.0,1.0
45,2018-02-27,79.02,79.02,77.72,77.72,77.72,670813,0.0,1.0
46,2018-02-26,79.38,79.88,78.95,79.86,79.86,1130132,0.0,1.0
47,2018-02-23,78.61,79.09,78.34,79.09,79.09,957487,0.0,1.0
48,2018-02-22,78.0,78.485,77.63,77.74,77.74,1159278,0.0,1.0
49,2018-02-21,78.55,79.39,77.87,77.89,77.89,503610,0.0,1.0
50,2018-02-20,77.75,78.13,77.52,77.86,77.86,686016,0.0,1.0
51,2018-02-16,78.88,79.61,78.7,78.93,78.93,658847,0.0,1.0
52,2018-02-15,78.88,79.39,78.0261,79.16,79.16,1484311,0.0,1.0
53,2018-02-14,75.6,77.74,75.6,77.63,77.63,954161,0.0,1.0
54,2018-02-13,75.39,76.09,75.33,75.96,75.96,1245442,0.0,1.0
55,2018-02-12,75.13,75.72,74.58,75.32,75.32,1420110,0.0,1.0
56,2018-02-09,74.09,74.91,72.24,74.44,74.44,3253478,0.0,1.0
57,2018-02-08,76.15,76.27,73.32,73.32,73.32,3224200,0.0,1.0
58,2018-02-07,76.74,77.4249,75.74,75.74,75.74,1682570,0.0,1.0
59,2018-02-06,75.99,78.89,75.66,78.36,78.36,3980997,0.0,1.0
60,2018-02-05,78.65,79.47,76.29,76.37,76.37,5891798,0.0,1.0
61,2018-02-02,79.98,80.0,78.62,78.64,78.64,1831100,0.0,1.0
62,2018-02-01,81.04,81.29,80.5,80.6,80.6,1785975,0.0,1.0
63,2018-01-31,82.28,82.39,81.32,81.78,81.78,4074316,0.0,1.0
64,2018-01-30,81.56,81.64,80.98,81.17,81.17,1820479,0.0,1.0
65,2018-01-29,82.65,82.71,82.25,82.31,82.31,2691806,0.0,1.0
66,2018-01-26,82.98,83.52,82.87,83.5,83.5,1794217,0.0,1.0
67,2018-01-25,82.47,82.82,81.98,82.25,82.25,881924,0.0,1.0
68,2018-01-24,82.56,82.915,82.03,82.46,82.46,845606,0.0,1.0
69,2018-01-23,81.98,82.29,81.8,82.25,82.25,1120904,0.0,1.0
70,2018-01-22,81.2,81.71,81.07,81.71,81.71,1042129,0.0,1.0
71,2018-01-19,81.14,81.32,80.82,81.32,81.32,494112,0.0,1.0
72,2018-01-18,80.4,80.6,80.28,80.5,80.5,3081724,0.0,1.0
73,2018-01-17,80.4,80.84,80.17,80.74,80.74,1168118,0.0,1.0
74,2018-01-16,80.4,80.665,79.65,79.78,79.78,765007,0.0,1.0
75,2018-01-12,79.48,80.15,79.3822,80.15,80.15,1162092,0.0,1.0
76,2018-01-11,78.93,79.41,78.92,79.4,79.4,618982,0.0,1.0
77,2018-01-10,78.89,79.075,78.645,78.92,78.92,813719,0.0,1.0
78,2018-01-09,79.43,79.49,79.1,79.41,79.41,679295,0.0,1.0
79,2018-01-08,79.17,79.62,79.17,79.49,79.49,567703,0.0,1.0
80,2018-01-05,78.99,79.43,78.9101,79.41,79.41,686202,0.0,1.0
81,2018-01-04,78.63,78.81,78.55,78.69,78.69,928089,0.0,1.0
82,2018-01-03,78.21,78.58,78.18,78.56,78.56,637092,0.0,1.0
83,2018-01-02,77.39,77.88,77.36,77.88,77.88,1128518,0.0,1.0
84,2017-12-29,76.53,76.61,76.231,76.28,76.28,637912,0.0,1.0
85,2017-12-28,76.15,76.22,75.85,76.0,76.0,569511,0.0,1.0
86,2017-12-27,75.39,75.52,75.23,75.37,75.37,519677,0.0,1.0
87,2017-12-26,75.34,75.34,75.01,75.26,75.26,233076,0.0,1.0
88,2017-12-22,75.25,75.57,75.18,75.57,75.57,673386,0.0,1.0
89,2017-12-21,74.74,75.2,74.72,75.01,75.01,2325757,0.0,1.0
90,2017-12-20,74.8,74.81,74.55,74.6,74.6,882962,0.0,1.0
91,2017-12-19,74.81,74.81,74.345,74.52,74.52,3122222,1.2338,1.0
92,2017-12-18,75.79,76.05,75.77,75.88,74.6442,1889866,0.0,1.0
93,2017-12-15,75.44,75.59,75.21,75.47,74.2408,2177634,0.0,1.0
94,2017-12-14,75.91,76.04,75.49,75.49,74.2605,1409686,0.0,1.0
95,2017-12-13,75.73,76.33,75.73,76.18,74.9393,1869271,0.0,1.0
96,2017-12-12,75.21,75.28,75.025,75.15,73.926,1067398,0.0,1.0
97,2017-12-11,75.69,75.87,75.62,75.76,74.5261,906388,0.0,1.0
98,2017-12-08,75.29,75.38,75.03,75.32,74.0933,1132464,0.0,1.0
99,2017-12-07,73.8,74.4708,73.8,74.41,73.1981,2755362,0.0,1.0
100,2017-12-06,73.8,74.035,73.56,73.86,72.6571,2058666,0.0,1.0
101,2017-12-05,74.96,75.405,74.899,75.02,73.7982,859792,0.0,1.0
102,2017-12-04,75.81,75.97,74.9507,75.0,73.7785,1450060,0.0,1.0
103,2017-12-01,75.31,75.5199,74.77,75.13,73.9064,1541794,0.0,1.0
104,2017-11-30,76.19,76.19,75.56,75.63,74.3982,1811953,0.0,1.0
