,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,80.46,80.53,80.41,80.4252,80.4252,278173,0.0,1.0
1,2018-05-01,80.5,80.57,80.38,80.39,80.39,547630,0.1895,1.0
2,2018-04-30,80.77,80.89,80.71,80.73,80.5402,1098745,0.0,1.0
3,2018-04-27,80.75,80.8,80.71,80.75,80.5601,538597,0.0,1.0
4,2018-04-26,80.59,80.68,80.5624,80.67,80.4803,440276,0.0,1.0
5,2018-04-25,80.49,80.55,80.44,80.45,80.2608,628806,0.0,1.0
6,2018-04-24,80.63,80.6855,80.5599,80.625,80.4354,500513,0.0,1.0
7,2018-04-23,80.67,80.71,80.6,80.64,80.4504,565080,0.0,1.0
8,2018-04-20,80.9,80.98,80.74,80.74,80.5502,658906,0.0,1.0
9,2018-04-19,81.0,81.06,80.9,80.95,80.7597,713289,0.0,1.0
10,2018-04-18,81.35,81.3746,81.15,81.15,80.9592,461746,0.0,1.0
11,2018-04-17,81.38,81.479,81.34,81.41,81.2186,531191,0.0,1.0
12,2018-04-16,81.25,81.4,81.25,81.35,81.1587,442601,0.0,1.0
13,2018-04-13,81.32,81.46,81.3,81.4,81.2086,407451,0.0,1.0
14,2018-04-12,81.52,81.58,81.35,81.38,81.1886,631790,0.0,1.0
15,2018-04-11,81.65,81.69,81.525,81.56,81.3682,669426,0.0,1.0
16,2018-04-10,81.62,81.69,81.5,81.53,81.3383,710512,0.0,1.0
17,2018-04-09,81.55,81.66,81.49,81.64,81.448,515872,0.0,1.0
18,2018-04-06,81.55,81.67,81.5,81.58,81.3882,452695,0.0,1.0
19,2018-04-05,81.38,81.41,81.29,81.36,81.1687,538714,0.0,1.0
20,2018-04-04,81.58,81.63,81.4202,81.46,81.2685,509992,0.0,1.0
21,2018-04-03,81.56,81.6266,81.4161,81.43,81.2385,486892,0.0,1.0
22,2018-04-02,81.49,81.75,81.4566,81.61,81.4181,490219,0.1952,1.0
23,2018-03-29,81.62,81.8599,81.62,81.77,81.383,599212,0.0,1.0
24,2018-03-28,81.75,81.85,81.5286,81.58,81.1939,1727021,0.0,1.0
25,2018-03-27,81.31,81.68,81.31,81.61,81.2238,497928,0.0,1.0
26,2018-03-26,81.29,81.4,81.23,81.25,80.8655,646038,0.0,1.0
27,2018-03-23,81.27,81.38,81.25,81.34,80.9551,812783,0.0,1.0
28,2018-03-22,81.4,81.54,81.2654,81.35,80.965,537567,0.0,1.0
29,2018-03-21,81.07,81.2,80.87,81.18,80.7958,596706,0.0,1.0
30,2018-03-20,81.19,81.2702,81.15,81.2,80.8157,474509,0.0,1.0
31,2018-03-19,81.29,81.4868,81.27,81.33,80.9451,436912,0.0,1.0
32,2018-03-16,81.36,81.439,81.3195,81.4,81.0148,503769,0.0,1.0
33,2018-03-15,81.46,81.5286,81.37,81.44,81.0546,450490,0.0,1.0
34,2018-03-14,81.33,81.6,81.33,81.46,81.0745,1345432,0.0,1.0
35,2018-03-13,81.43,81.45,81.29,81.35,80.965,505297,0.0,1.0
36,2018-03-12,81.23,81.32,81.19,81.31,80.9252,565500,0.0,1.0
37,2018-03-09,81.24,81.28,81.14,81.21,80.8257,496547,0.0,1.0
38,2018-03-08,81.29,81.45,81.27,81.38,80.9949,756905,0.0,1.0
39,2018-03-07,81.37,81.421,81.23,81.25,80.8655,754064,0.0,1.0
40,2018-03-06,81.31,81.41,81.24,81.26,80.8755,908095,0.0,1.0
41,2018-03-05,81.41,81.49,81.17,81.24,80.8555,576075,0.0,1.0
42,2018-03-02,81.38,81.47,81.236,81.27,80.8854,587193,0.0,1.0
43,2018-03-01,81.33,81.6318,81.3,81.55,81.1641,573746,0.1712,1.0
44,2018-02-28,81.45,81.57,81.37,81.51,80.9543,770963,0.0,1.0
45,2018-02-27,81.66,81.7,81.27,81.42,80.865,1092705,0.0,1.0
46,2018-02-26,81.73,81.76,81.61,81.61,81.0537,530447,0.0,1.0
47,2018-02-23,81.46,81.63,81.42,81.58,81.0239,547727,0.0,1.0
48,2018-02-22,81.25,81.41,81.25,81.27,80.716,574746,0.0,1.0
49,2018-02-21,81.49,81.55,81.16,81.24,80.6862,666842,0.0,1.0
50,2018-02-20,81.43,81.47,81.3165,81.43,80.8749,654674,0.0,1.0
51,2018-02-16,81.51,81.5999,81.4325,81.56,81.004,1333428,0.0,1.0
52,2018-02-15,81.31,81.4723,81.3,81.35,80.7954,1469331,0.0,1.0
53,2018-02-14,81.37,81.4927,81.21,81.24,80.6862,747264,0.0,1.0
54,2018-02-13,81.61,81.67,81.501,81.61,81.0537,780414,0.0,1.0
55,2018-02-12,81.59,81.6914,81.52,81.62,81.0636,818502,0.0,1.0
56,2018-02-09,81.59,81.935,81.59,81.59,81.0338,938644,0.0,1.0
57,2018-02-08,81.61,81.91,81.53,81.76,81.2026,777414,0.0,1.0
58,2018-02-07,82.06,82.14,81.74,81.79,81.2324,1485458,0.0,1.0
59,2018-02-06,82.19,82.25,81.925,81.97,81.4112,1435403,0.0,1.0
60,2018-02-05,81.82,82.37,81.7224,82.18,81.6198,1062079,0.0,1.0
61,2018-02-02,81.86,81.99,81.75,81.82,81.2622,1156164,0.0,1.0
62,2018-02-01,82.33,82.43,82.05,82.05,81.4907,1058524,0.1874,1.0
63,2018-01-31,82.66,82.69,82.38,82.54,81.7906,2697819,0.0,1.0
64,2018-01-30,82.59,82.6501,82.465,82.55,81.8005,1004294,0.0,1.0
65,2018-01-29,82.6,82.69,82.51,82.69,81.9392,960844,0.0,1.0
66,2018-01-26,82.87,82.8923,82.74,82.79,82.0383,821959,0.0,1.0
67,2018-01-25,82.75,82.975,82.69,82.96,82.2067,1021916,0.0,1.0
68,2018-01-24,82.8,82.87,82.74,82.81,82.0581,1080491,0.0,1.0
69,2018-01-23,82.86,82.9765,82.85,82.94,82.1869,783561,0.0,1.0
70,2018-01-22,82.79,82.869,82.675,82.75,81.9986,889266,0.0,1.0
71,2018-01-19,82.91,82.94,82.72,82.74,81.9887,806426,0.0,1.0
72,2018-01-18,82.94,83.0228,82.89,82.91,82.1572,767658,0.0,1.0
73,2018-01-17,83.17,83.25,83.05,83.12,82.3653,892096,0.0,1.0
74,2018-01-16,83.38,83.43,83.2,83.27,82.5139,940111,0.0,1.0
75,2018-01-12,83.18,83.29,83.1781,83.25,82.4941,816734,0.0,1.0
76,2018-01-11,83.32,83.439,83.25,83.34,82.5833,1046757,0.0,1.0
77,2018-01-10,83.11,83.32,83.06,83.31,82.5536,955858,0.0,1.0
78,2018-01-09,83.46,83.495,83.31,83.32,82.5635,589980,0.0,1.0
79,2018-01-08,83.62,83.64,83.5,83.5,82.7418,989200,0.0,1.0
80,2018-01-05,83.62,83.68,83.51,83.54,82.7815,620589,0.0,1.0
81,2018-01-04,83.52,83.67,83.5,83.65,82.8905,861891,0.0,1.0
82,2018-01-03,83.71,83.75,83.5768,83.65,82.8905,684390,0.0,1.0
83,2018-01-02,83.74,83.75,83.47,83.56,82.8013,670662,0.0,1.0
84,2017-12-29,83.75,83.83,83.68,83.83,83.0688,476976,0.0,1.0
85,2017-12-28,83.71,83.7835,83.62,83.69,82.9301,618564,0.0,1.0
86,2017-12-27,83.56,83.825,83.5515,83.73,82.9698,572667,0.0,1.0
87,2017-12-26,83.51,83.56,83.4,83.52,82.7617,557493,0.2683,1.0
88,2017-12-22,83.69,83.745,83.65,83.72,82.6942,734946,0.0,1.0
89,2017-12-21,83.68,83.74,83.6,83.68,82.6547,542666,0.0,1.0
90,2017-12-20,83.68,83.76,83.57,83.64,82.6152,749904,0.0,1.0
91,2017-12-19,83.865,84.01,83.72,83.78,82.7535,533733,0.0,1.0
92,2017-12-18,84.205,84.26,84.1,84.12,83.0893,541684,0.0,1.0
93,2017-12-15,84.15,84.27,84.11,84.25,83.2177,525043,0.0,1.0
94,2017-12-14,84.17,84.33,84.09,84.29,83.2572,520972,0.0,1.0
95,2017-12-13,84.13,84.44,84.0395,84.37,83.3362,827797,0.0,1.0
96,2017-12-12,84.04,84.06,83.91,84.0,82.9708,487535,0.0,1.0
97,2017-12-11,84.1,84.193,84.04,84.04,83.0103,606569,0.0,1.0
98,2017-12-08,84.17,84.2,84.0633,84.09,83.0597,658398,0.0,1.0
99,2017-12-07,84.29,84.33,84.1,84.17,83.1387,537606,0.0,1.0
100,2017-12-06,84.3,84.3799,84.245,84.26,83.2276,717549,0.0,1.0
101,2017-12-05,84.05,84.16,83.98,84.16,83.1288,485180,0.0,1.0
102,2017-12-04,83.97,84.07,83.88,84.06,83.03,908221,0.0,1.0
103,2017-12-01,84.01,84.38,83.8324,84.12,83.0893,556366,0.1796,1.0
104,2017-11-30,84.29,84.3,84.01,84.08,82.8729,732444,0.0,1.0
105,2017-11-29,84.25,84.3,84.15,84.25,83.0405,709565,0.0,1.0
106,2017-11-28,84.53,84.58,84.4316,84.5,83.2869,458217,0.0,1.0
107,2017-11-27,84.41,84.48,84.31,84.44,83.2277,449343,0.0,1.0
108,2017-11-24,84.37,84.43,84.36,84.36,83.1489,232609,0.0,1.0
109,2017-11-22,84.28,84.48,84.25,84.39,83.1785,491592,0.0,1.0
110,2017-11-21,84.26,84.3,84.13,84.17,82.9616,471134,0.0,1.0
111,2017-11-20,84.18,84.25,84.11,84.11,82.9025,664694,0.0,1.0
112,2017-11-17,84.3,84.335,84.23,84.28,83.07,847082,0.0,1.0
113,2017-11-16,84.22,84.28,84.16,84.2,82.9912,495247,0.0,1.0
114,2017-11-15,84.25,84.34,84.09,84.34,83.1292,659050,0.0,1.0
115,2017-11-14,84.0,84.14,83.9932,84.09,82.8828,510279,0.0,1.0
116,2017-11-13,84.09,84.1399,83.96,83.96,82.7546,531699,0.0,1.0
117,2017-11-10,84.16,84.2,84.0,84.0,82.7941,480761,0.0,1.0
118,2017-11-09,84.38,84.45,84.31,84.4,83.1883,419419,0.0,1.0
119,2017-11-08,84.53,84.59,84.42,84.46,83.2475,500432,0.0,1.0
120,2017-11-07,84.54,84.59,84.52,84.56,83.346,623230,0.0,1.0
121,2017-11-06,84.5,84.57,84.48,84.54,83.3263,446975,0.0,1.0
122,2017-11-03,84.5,84.5035,84.3435,84.48,83.2672,543517,0.0,1.0
123,2017-11-02,84.43,84.509,84.36,84.42,83.208,501205,0.0,1.0
124,2017-11-01,84.27,84.44,84.25,84.35,83.139,515692,0.186,1.0
125,2017-10-31,84.52,84.58,84.47,84.49,83.0938,553022,0.0,1.0
126,2017-10-30,84.5,84.58,84.44,84.58,83.1823,571514,0.0,1.0
127,2017-10-27,84.17,84.36,84.15,84.35,82.9561,522612,0.0,1.0
128,2017-10-26,84.29,84.3,84.1232,84.16,82.7692,501160,0.0,1.0
129,2017-10-25,84.16,84.26,84.135,84.21,82.8184,599203,0.0,1.0
130,2017-10-24,84.41,84.44,84.31,84.34,82.9462,1339697,0.0,1.0
131,2017-10-23,84.49,84.56,84.44,84.49,83.0938,646398,0.0,1.0
132,2017-10-20,84.47,84.53,84.38,84.4,83.0053,457746,0.0,1.0
133,2017-10-19,84.77,84.81,84.61,84.66,83.261,638441,0.0,1.0
134,2017-10-18,84.54,84.61,84.49,84.58,83.1823,575711,0.0,1.0
135,2017-10-17,84.63,84.77,84.6,84.76,83.3593,545430,0.0,1.0
136,2017-10-16,84.8,84.83,84.6761,84.77,83.3691,498021,0.0,1.0
137,2017-10-13,84.84,84.925,84.75,84.84,83.438,472987,0.0,1.0
138,2017-10-12,84.66,84.67,84.56,84.62,83.2216,528674,0.0,1.0
139,2017-10-11,84.61,84.67,84.54,84.62,83.2216,447998,0.0,1.0
140,2017-10-10,84.5,84.677,84.46,84.55,83.1528,482231,0.0,1.0
141,2017-10-09,84.51,84.51,84.45,84.48,83.0839,443030,0.0,1.0
142,2017-10-06,84.34,84.5025,84.27,84.41,83.0151,600817,0.0,1.0
143,2017-10-05,84.61,84.63,84.47,84.54,83.1429,576911,0.0,1.0
144,2017-10-04,84.69,84.69,84.5259,84.65,83.2511,688401,0.0,1.0
145,2017-10-03,84.5,84.619,84.47,84.61,83.2118,718754,0.0,1.0
146,2017-10-02,84.63,84.63,84.46,84.52,83.1233,742051,0.1807,1.0
147,2017-09-29,84.86,84.92,84.63,84.66,83.0834,724213,0.0,1.0
148,2017-09-28,84.65,84.82,84.61,84.74,83.1619,434194,0.0,1.0
149,2017-09-27,84.68,84.7899,84.65,84.73,83.1521,488761,0.0,1.0
150,2017-09-26,85.0,85.04,84.913,85.01,83.4268,436816,0.0,1.0
151,2017-09-25,84.89,85.0682,84.83,85.05,83.4661,904043,0.0,1.0
152,2017-09-22,84.86,84.93,84.8,84.8,83.2207,443483,0.0,1.0
153,2017-09-21,84.86,84.9,84.68,84.74,83.1619,388109,0.0,1.0
154,2017-09-20,84.99,85.04,84.66,84.79,83.2109,494636,0.0,1.0
155,2017-09-19,85.02,85.06,84.9,84.94,83.3581,415488,0.0,1.0
156,2017-09-18,84.98,85.03,84.91,84.99,83.4072,407186,0.0,1.0
157,2017-09-15,85.14,85.14,85.01,85.08,83.4955,421680,0.0,1.0
158,2017-09-14,85.03,85.13,85.0101,85.12,83.5348,487541,0.0,1.0
159,2017-09-13,85.22,85.23,85.08,85.08,83.4955,543197,0.0,1.0
160,2017-09-12,85.29,85.3,85.151,85.23,83.6427,397278,0.0,1.0
161,2017-09-11,85.53,85.53,85.31,85.32,83.7311,458973,0.0,1.0
162,2017-09-08,85.79,85.8,85.62,85.69,84.0942,444749,0.0,1.0
163,2017-09-07,85.64,85.85,85.59,85.8,84.2021,439132,0.0,1.0
164,2017-09-06,85.61,85.69,85.38,85.43,83.839,396081,0.0,1.0
165,2017-09-05,85.41,85.6525,85.4,85.62,84.0255,365422,0.0,1.0
166,2017-09-01,85.32,85.35,85.15,85.2,83.6133,503420,0.1857,1.0
167,2017-08-31,85.54,85.61,85.48,85.61,83.8329,1042768,0.0,1.0
168,2017-08-30,85.47,85.5,85.39,85.49,83.7154,513349,0.0,1.0
169,2017-08-29,85.65,85.71,85.4255,85.52,83.7448,414160,0.0,1.0
170,2017-08-28,85.28,85.41,85.26,85.41,83.6371,322320,0.0,1.0
171,2017-08-25,85.18,85.34,85.1,85.27,83.5,403783,0.0,1.0
172,2017-08-24,85.18,85.26,85.1,85.18,83.4119,488135,0.0,1.0
173,2017-08-23,85.17,85.28,85.12,85.28,83.5098,583059,0.0,1.0
174,2017-08-22,85.1,85.12,85.0169,85.04,83.2748,380557,0.0,1.0
175,2017-08-21,85.12,85.19,85.06,85.1,83.3335,305687,0.0,1.0
176,2017-08-18,85.22,85.27,85.01,85.01,83.2454,431661,0.0,1.0
177,2017-08-17,84.93,85.13,84.86,85.09,83.3237,1392037,0.0,1.0
178,2017-08-16,84.68,85.07,84.68,84.95,83.1866,543912,0.0,1.0
179,2017-08-15,84.69,84.83,84.65,84.79,83.03,417147,0.0,1.0
180,2017-08-14,84.96,85.04,84.8775,84.95,83.1866,443733,0.0,1.0
181,2017-08-11,84.96,85.12,84.9,85.11,83.3433,379503,0.0,1.0
182,2017-08-10,84.91,85.01,84.85,85.01,83.2454,486003,0.0,1.0
183,2017-08-09,84.93,85.0,84.78,84.79,83.03,455531,0.0,1.0
184,2017-08-08,84.81,84.85,84.62,84.7,82.9418,470605,0.0,1.0
185,2017-08-07,84.81,84.89,84.75,84.86,83.0985,443572,0.0,1.0
186,2017-08-04,84.82,84.8999,84.67,84.81,83.0496,454002,0.0,1.0
187,2017-08-03,84.9,85.0759,84.86,85.04,83.2748,448863,0.0,1.0
188,2017-08-02,84.87,84.97,84.8301,84.86,83.0985,542395,0.0,1.0
189,2017-08-01,84.82,84.8999,84.67,84.81,83.0496,454002,0.1837,1.0
190,2017-07-31,84.82,84.91,84.76,84.89,82.9482,400989,0.0,1.0
191,2017-07-28,84.77,84.87,84.6992,84.87,82.9287,320227,0.0,1.0
192,2017-07-27,84.74,84.7871,84.63,84.73,82.7919,432506,0.0,1.0
193,2017-07-26,84.58,84.91,84.54,84.8,82.8603,616527,0.0,1.0
194,2017-07-25,84.81,84.81,84.57,84.58,82.6453,541194,0.0,1.0
195,2017-07-24,84.96,85.03,84.89,84.92,82.9776,393426,0.0,1.0
196,2017-07-21,85.0,85.0898,84.94,85.05,83.1046,475770,0.0,1.0
197,2017-07-20,84.95,85.0,84.82,84.9,82.958,807271,0.0,1.0
198,2017-07-19,84.88,84.96,84.8,84.83,82.8896,416654,0.0,1.0
199,2017-07-18,84.82,84.89,84.74,84.84,82.8994,436678,0.0,1.0
200,2017-07-17,84.59,84.6736,84.52,84.65,82.7137,591634,0.0,1.0
201,2017-07-14,84.68,84.74,84.51,84.56,82.6258,461068,0.0,1.0
202,2017-07-13,84.41,84.472,84.26,84.34,82.4108,385213,0.0,1.0
203,2017-07-12,84.53,84.58,84.37,84.46,82.5281,568040,0.0,1.0
204,2017-07-11,84.1,84.2,84.06,84.2,82.274,524084,0.0,1.0
205,2017-07-10,84.11,84.1799,84.01,84.09,82.1665,476109,0.0,1.0
206,2017-07-07,84.05,84.07,83.91,83.96,82.0395,442415,0.0,1.0
207,2017-07-06,84.06,84.1,83.9,84.01,82.0884,529009,0.0,1.0
208,2017-07-05,84.15,84.26,84.05,84.24,82.3131,585962,0.0,1.0
209,2017-07-03,84.4,84.41,84.05,84.05,82.1275,696528,0.1783,1.0
210,2017-06-30,84.68,84.68,84.4637,84.53,82.4216,596053,0.0,1.0
211,2017-06-29,84.58,84.73,84.5,84.67,82.5581,506643,0.0,1.0
212,2017-06-28,84.89,84.91,84.72,84.89,82.7727,599651,0.0,1.0
213,2017-06-27,85.0,85.04,84.8,84.88,82.7629,492549,0.0,1.0
214,2017-06-26,85.23,85.28,85.1501,85.22,83.0944,388323,0.0,1.0
215,2017-06-23,85.1,85.15,85.0101,85.14,83.0164,436235,0.0,1.0
216,2017-06-22,85.13,85.182,84.98,85.12,82.9969,403885,0.0,1.0
217,2017-06-21,85.03,85.12,84.96,85.08,82.9579,431420,0.0,1.0
218,2017-06-20,84.9,85.1,84.9,85.02,82.8994,498689,0.0,1.0
219,2017-06-19,85.07,85.07,84.84,84.88,82.7629,526033,0.0,1.0
220,2017-06-16,85.08,85.17,85.0567,85.14,83.0164,466436,0.0,1.0
221,2017-06-15,85.05,85.08,84.99,85.0,82.8799,489951,0.0,1.0
222,2017-06-14,85.3,85.43,85.1316,85.22,83.0944,440397,0.0,1.0
223,2017-06-13,84.78,84.9075,84.76,84.86,82.7434,428759,0.0,1.0
224,2017-06-12,84.71,84.954,84.71,84.78,82.6654,409705,0.0,1.0
225,2017-06-09,84.71,84.89,84.71,84.84,82.7239,751721,0.0,1.0
226,2017-06-08,84.95,84.95,84.75,84.88,82.7629,599223,0.0,1.0
227,2017-06-07,85.05,85.14,84.95,85.02,82.8994,708787,0.0,1.0
228,2017-06-06,85.15,85.21,85.0301,85.15,83.0262,434924,0.0,1.0
