,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,77.97,77.99,77.95,77.955,77.955,1280314,0.0,1.0
1,2018-05-01,78.01,78.04,77.95,77.97,77.97,1150566,0.1234,1.0
2,2018-04-30,78.12,78.16,78.11,78.14,78.0166,1354805,0.0,1.0
3,2018-04-27,78.12,78.17,78.11,78.14,78.0166,977554,0.0,1.0
4,2018-04-26,78.08,78.13,78.07,78.13,78.0066,1705553,0.0,1.0
5,2018-04-25,78.05,78.09,78.04,78.09,77.9666,1764258,0.0,1.0
6,2018-04-24,78.04,78.1,78.01,78.09,77.9666,2037323,0.0,1.0
7,2018-04-23,78.07,78.08,78.03,78.04,77.9167,774359,0.0,1.0
8,2018-04-20,78.14,78.16,78.07,78.07,77.9467,901602,0.0,1.0
9,2018-04-19,78.15,78.2,78.12,78.13,78.0066,1019721,0.0,1.0
10,2018-04-18,78.23,78.23,78.17,78.17,78.0465,823194,0.0,1.0
11,2018-04-17,78.23,78.27,78.23,78.26,78.1364,1419519,0.0,1.0
12,2018-04-16,78.18,78.29,78.18,78.28,78.1563,2947056,0.0,1.0
13,2018-04-13,78.23,78.29,78.22,78.27,78.1464,908060,0.0,1.0
14,2018-04-12,78.3,78.34,78.28,78.28,78.1563,918846,0.0,1.0
15,2018-04-11,78.35,78.385,78.33,78.36,78.2362,1032651,0.0,1.0
16,2018-04-10,78.35,78.36,78.3,78.32,78.1963,1008437,0.0,1.0
17,2018-04-09,78.35,78.38,78.31,78.37,78.2462,1086873,0.0,1.0
18,2018-04-06,78.34,78.38,78.28,78.36,78.2362,1154523,0.0,1.0
19,2018-04-05,78.28,78.2934,78.22,78.23,78.1064,2796205,0.0,1.0
20,2018-04-04,78.34,78.35,78.27,78.28,78.1563,6739977,0.0,1.0
21,2018-04-03,78.32,78.3638,78.28,78.28,78.1563,2472215,0.0,1.0
22,2018-04-02,78.3,78.43,78.3,78.36,78.2362,1778204,0.1257,1.0
23,2018-03-29,78.42,78.49,78.4001,78.44,78.1906,1866343,0.0,1.0
24,2018-03-28,78.47,78.5,78.3931,78.4,78.1508,2079619,0.0,1.0
25,2018-03-27,78.33,78.46,78.33,78.43,78.1807,1615093,0.0,1.0
26,2018-03-26,78.34,78.36,78.29,78.3,78.0511,1274032,0.0,1.0
27,2018-03-23,78.3,78.37,78.3,78.35,78.1009,1352717,0.0,1.0
28,2018-03-22,78.3,78.39,78.3,78.34,78.091,1431642,0.0,1.0
29,2018-03-21,78.18,78.28,78.15,78.25,78.0012,1045046,0.0,1.0
30,2018-03-20,78.24,78.25,78.21,78.21,77.9614,1075904,0.0,1.0
31,2018-03-19,78.27,78.34,78.2601,78.29,78.0411,1200812,0.0,1.0
32,2018-03-16,78.31,78.33,78.28,78.3,78.0511,718233,0.0,1.0
