,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,28.44,28.49,28.33,28.38,28.38,528441,0.0,1.0
1,2018-05-01,28.54,28.64,28.42,28.43,28.43,1624834,0.0197,1.0
2,2018-04-30,28.64,28.73,28.64,28.66,28.6402,1703855,0.0,1.0
3,2018-04-27,28.68,28.78,28.67,28.78,28.7601,402865,0.0,1.0
4,2018-04-26,28.73,28.8,28.66,28.7,28.6801,537303,0.0,1.0
5,2018-04-25,28.74,28.74,28.64,28.69,28.6701,434070,0.0,1.0
6,2018-04-24,28.81,28.9,28.77,28.85,28.83,525347,0.0,1.0
7,2018-04-23,29.01,29.0183,28.83,28.86,28.84,1130105,0.0,1.0
8,2018-04-20,29.19,29.19,29.09,29.1,29.0798,474247,0.0,1.0
9,2018-04-19,29.4,29.42,29.2705,29.32,29.2997,432756,0.0,1.0
10,2018-04-18,29.52,29.55,29.42,29.45,29.4296,367074,0.0,1.0
11,2018-04-17,29.42,29.519,29.4,29.49,29.4696,432212,0.0,1.0
12,2018-04-16,29.48,29.5,29.42,29.48,29.4596,560597,0.0,1.0
13,2018-04-13,29.36,29.43,29.35,29.42,29.3996,269565,0.0,1.0
14,2018-04-12,29.4,29.43,29.34,29.39,29.3696,296925,0.0,1.0
15,2018-04-11,29.51,29.56,29.43,29.49,29.4696,970062,0.0,1.0
16,2018-04-10,29.47,29.48,29.4,29.47,29.4496,705215,0.0,1.0
17,2018-04-09,29.4,29.456,29.38,29.45,29.4296,1024825,0.0,1.0
18,2018-04-06,29.37,29.4,29.32,29.37,29.3497,841947,0.0,1.0
19,2018-04-05,29.32,29.35,29.24,29.29,29.2697,6168199,0.0,1.0
20,2018-04-04,29.46,29.52,29.42,29.45,29.4296,2018813,0.0,1.0
21,2018-04-03,29.47,29.49,29.351,29.42,29.3996,2986534,0.0,1.0
22,2018-04-02,29.5,29.58,29.43,29.56,29.5395,7364263,0.0239,1.0
23,2018-03-29,29.45,29.55,29.42,29.51,29.4657,790906,0.0,1.0
24,2018-03-28,29.48,29.5499,29.38,29.4,29.3559,293697,0.0,1.0
25,2018-03-27,29.53,29.64,29.5144,29.61,29.5656,259331,0.0,1.0
26,2018-03-26,29.55,29.72,29.51,29.61,29.5656,925828,0.0,1.0
27,2018-03-23,29.45,29.56,29.41,29.49,29.4457,297593,0.0,1.0
28,2018-03-22,29.37,29.44,29.33,29.36,29.3159,201259,0.0,1.0
29,2018-03-21,29.23,29.4001,29.2,29.4,29.3559,320965,0.0,1.0
30,2018-03-20,29.22,29.25,29.14,29.19,29.1462,295675,0.0,1.0
31,2018-03-19,29.26,29.35,29.23,29.32,29.276,358128,0.0,1.0
32,2018-03-16,29.25,29.28,29.2094,29.22,29.1761,334411,0.0,1.0
33,2018-03-15,29.35,29.4,29.29,29.32,29.276,660963,0.0,1.0
34,2018-03-14,29.29,29.385,29.24,29.37,29.3259,620651,0.0,1.0
35,2018-03-13,29.21,29.34,29.21,29.3,29.256,451937,0.0,1.0
36,2018-03-12,29.13,29.3,29.13,29.27,29.2261,405064,0.0,1.0
37,2018-03-09,29.12,29.26,29.08,29.16,29.1162,2225235,0.0,1.0
38,2018-03-08,29.23,29.265,29.111,29.14,29.0963,245854,0.0,1.0
39,2018-03-07,29.3,29.31,29.2,29.23,29.1861,206985,0.0,1.0
40,2018-03-06,29.21,29.27,29.18,29.19,29.1462,773966,0.0,1.0
41,2018-03-05,29.15,29.18,29.03,29.07,29.0264,3952527,0.0,1.0
42,2018-03-02,29.17,29.19,29.05,29.11,29.0663,673471,0.0,1.0
43,2018-03-01,28.99,29.12,28.87,29.08,29.0363,1506442,0.0237,1.0
44,2018-02-28,28.97,29.04,28.905,29.02,28.9529,874667,0.0,1.0
45,2018-02-27,29.17,29.17,28.9,28.92,28.8531,529533,0.0,1.0
46,2018-02-26,29.15,29.225,29.11,29.18,29.1125,450678,0.0,1.0
47,2018-02-23,29.11,29.16,29.081,29.15,29.0826,885253,0.0,1.0
48,2018-02-22,29.05,29.145,29.01,29.12,29.0526,274594,0.0,1.0
49,2018-02-21,29.05,29.13,28.9,28.92,28.8531,242369,0.0,1.0
50,2018-02-20,29.08,29.1772,29.0037,29.05,28.9828,603298,0.0,1.0
51,2018-02-16,29.27,29.42,29.18,29.25,29.1823,2459134,0.0,1.0
52,2018-02-15,29.28,29.38,29.28,29.38,29.312,217015,0.0,1.0
53,2018-02-14,29.02,29.26,28.919,29.26,29.1923,590178,0.0,1.0
54,2018-02-13,29.0,29.05,28.92,29.04,28.9728,384046,0.0,1.0
55,2018-02-12,28.72,28.91,28.72,28.91,28.8431,671621,0.0,1.0
56,2018-02-09,28.79,28.85,28.74,28.74,28.6735,473097,0.0,1.0
57,2018-02-08,28.85,28.92,28.78,28.82,28.7533,366060,0.0,1.0
58,2018-02-07,29.05,29.09,28.83,28.88,28.8132,1053337,0.0,1.0
59,2018-02-06,28.94,29.165,28.93,29.11,29.0427,4485472,0.0,1.0
60,2018-02-05,29.07,29.09,28.94,29.09,29.0227,893131,0.0,1.0
61,2018-02-02,29.11,29.16,29.03,29.09,29.0227,379292,0.0,1.0
62,2018-02-01,29.23,29.35,29.15,29.3,29.2322,1943700,0.0217,1.0
63,2018-01-31,29.25,29.32,29.16,29.26,29.1707,315796,0.0,1.0
64,2018-01-30,29.32,29.34,29.13,29.13,29.0411,561947,0.0,1.0
65,2018-01-29,29.22,29.26,29.145,29.25,29.1607,289358,0.0,1.0
66,2018-01-26,29.37,29.44,29.26,29.32,29.2305,1098849,0.0,1.0
67,2018-01-25,29.39,29.475,29.18,29.3,29.2106,322674,0.0,1.0
68,2018-01-24,29.21,29.28,29.12,29.26,29.1707,353741,0.0,1.0
69,2018-01-23,28.96,29.059,28.94,29.0,28.9115,269587,0.0,1.0
70,2018-01-22,28.94,28.9974,28.885,28.94,28.8517,272515,0.0,1.0
71,2018-01-19,28.93,28.97,28.82,28.9,28.8118,814128,0.0,1.0
72,2018-01-18,28.91,28.95,28.83,28.87,28.7819,312667,0.0,1.0
73,2018-01-17,28.86,29.01,28.86,28.89,28.8018,309483,0.0,1.0
74,2018-01-16,28.87,28.98,28.83,28.9,28.8118,719231,0.0,1.0
75,2018-01-12,28.65,28.83,28.61,28.8,28.7121,260204,0.0,1.0
76,2018-01-11,28.55,28.63,28.5379,28.6,28.5127,244155,0.0,1.0
77,2018-01-10,28.5,28.57,28.42,28.56,28.4728,818392,0.0,1.0
78,2018-01-09,28.43,28.45,28.32,28.4,28.3133,405128,0.0,1.0
79,2018-01-08,28.62,28.62,28.43,28.49,28.403,608955,0.0,1.0
80,2018-01-05,28.57,28.61,28.48,28.53,28.4429,862651,0.0,1.0
81,2018-01-04,28.55,28.6,28.51,28.55,28.4629,616450,0.0,1.0
82,2018-01-03,28.55,28.6,28.45,28.47,28.3831,1236805,0.0,1.0
83,2018-01-02,28.59,28.64,28.44,28.59,28.5027,2569291,0.0,1.0
84,2017-12-29,28.43,28.5,28.38,28.43,28.3432,1228750,0.0,1.0
85,2017-12-28,28.46,28.4689,28.3,28.33,28.2435,594096,0.0,1.0
86,2017-12-27,28.27,28.35,28.27,28.34,28.2535,157571,0.0,1.0
87,2017-12-26,28.24,28.26,28.2101,28.22,28.1339,125222,0.0,1.0
88,2017-12-22,28.165,28.22,28.15,28.22,28.1339,219717,0.0,1.0
89,2017-12-21,28.18,28.21,28.11,28.16,28.0741,282360,0.0,1.0
90,2017-12-20,28.22,28.25,28.1578,28.23,28.1438,475992,0.0,1.0
91,2017-12-19,28.18,28.285,28.17,28.26,28.1738,295413,0.0239,1.0
92,2017-12-18,28.35,28.4,28.28,28.34,28.2296,438133,0.0,1.0
93,2017-12-15,28.31,28.36,28.27,28.28,28.1699,347387,0.0,1.0
94,2017-12-14,28.28,28.4,28.25,28.34,28.2296,197452,0.0,1.0
95,2017-12-13,28.23,28.43,28.16,28.34,28.2296,351474,0.0,1.0
96,2017-12-12,28.21,28.21,28.09,28.16,28.0503,204381,0.0,1.0
97,2017-12-11,28.22,28.3198,28.2,28.21,28.1001,325208,0.0,1.0
98,2017-12-08,28.23,28.28,28.15,28.2,28.0902,199000,0.0,1.0
99,2017-12-07,28.31,28.34,28.24,28.28,28.1699,271526,0.0,1.0
100,2017-12-06,28.39,28.47,28.31,28.33,28.2197,547614,0.0,1.0
101,2017-12-05,28.35,28.42,28.34,28.38,28.2695,409225,0.0,1.0
102,2017-12-04,28.4,28.45,28.37,28.45,28.3392,450960,0.0,1.0
103,2017-12-01,28.4,28.7,28.4,28.55,28.4388,3407170,0.0266,1.0
104,2017-11-30,28.36,28.48,28.34,28.41,28.273,847405,0.0,1.0
105,2017-11-29,28.38,28.44,28.3,28.37,28.2332,221129,0.0,1.0
106,2017-11-28,28.56,28.59,28.38,28.44,28.3028,177908,0.0,1.0
107,2017-11-27,28.55,28.5932,28.485,28.53,28.3924,219281,0.0,1.0
108,2017-11-24,28.5,28.56,28.4,28.41,28.273,423149,0.0,1.0
109,2017-11-22,28.32,28.49,28.14,28.38,28.2431,536482,0.0,1.0
110,2017-11-21,28.21,28.28,28.17,28.26,28.1237,466289,0.0,1.0
111,2017-11-20,28.18,28.22,28.12,28.14,28.0043,290069,0.0,1.0
112,2017-11-17,28.18,28.25,28.1201,28.24,28.1038,310541,0.0,1.0
113,2017-11-16,28.06,28.15,28.06,28.12,27.9844,777721,0.0,1.0
114,2017-11-15,28.06,28.15,28.01,28.06,27.9247,371362,0.0,1.0
115,2017-11-14,27.95,28.03,27.93,28.0,27.865,210534,0.0,1.0
116,2017-11-13,27.87,27.92,27.811,27.88,27.7455,360668,0.0,1.0
117,2017-11-10,27.87,27.93,27.81,27.93,27.7953,1344855,0.0,1.0
118,2017-11-09,27.83,27.89,27.79,27.86,27.7256,188718,0.0,1.0
119,2017-11-08,27.87,27.93,27.82,27.88,27.7455,288906,0.0,1.0
120,2017-11-07,27.82,27.82,27.7385,27.78,27.646,312101,0.0,1.0
121,2017-11-06,27.8,27.87,27.763,27.86,27.7256,319567,0.0,1.0
122,2017-11-03,27.88,27.88,27.71,27.8,27.6659,227664,0.0,1.0
123,2017-11-02,27.83,27.85,27.72,27.82,27.6858,443255,0.0,1.0
124,2017-11-01,27.76,27.87,27.75,27.77,27.6361,618996,0.0261,1.0
125,2017-10-31,27.85,27.93,27.8101,27.85,27.6896,231448,0.0,1.0
126,2017-10-30,27.8,27.85,27.74,27.84,27.6797,273694,0.0,1.0
127,2017-10-27,27.64,27.76,27.61,27.72,27.5604,234442,0.0,1.0
128,2017-10-26,27.93,27.93,27.665,27.73,27.5703,437593,0.0,1.0
129,2017-10-25,27.85,27.9599,27.85,27.93,27.7692,269329,0.0,1.0
130,2017-10-24,27.9,27.96,27.86,27.92,27.7592,273290,0.0,1.0
131,2017-10-23,27.92,27.98,27.92,27.96,27.799,106833,0.0,1.0
132,2017-10-20,28.02,28.04,27.9367,27.96,27.799,227325,0.0,1.0
133,2017-10-19,28.17,28.22,28.14,28.18,28.0177,147673,0.0,1.0
134,2017-10-18,28.09,28.14,28.06,28.13,27.968,209190,0.0,1.0
135,2017-10-17,28.13,28.19,28.1,28.18,28.0177,168582,0.0,1.0
136,2017-10-16,28.23,28.26,28.16,28.19,28.0277,180443,0.0,1.0
137,2017-10-13,28.28,28.3,28.21,28.24,28.0774,272407,0.0,1.0
138,2017-10-12,28.12,28.16,28.08,28.13,27.968,258796,0.0,1.0
139,2017-10-11,28.11,28.15,28.06,28.12,27.9581,288802,0.0,1.0
140,2017-10-10,28.03,28.09,28.01,28.06,27.8984,372613,0.0,1.0
141,2017-10-09,27.96,27.98,27.9,27.93,27.7692,196106,0.0,1.0
142,2017-10-06,27.78,27.94,27.74,27.91,27.7493,439699,0.0,1.0
143,2017-10-05,27.96,27.9768,27.85,27.86,27.6996,506818,0.0,1.0
144,2017-10-04,28.03,28.048,27.96,28.0,27.8388,556270,0.0,1.0
145,2017-10-03,27.95,28.0052,27.92,27.95,27.7891,537713,0.0,1.0
146,2017-10-02,27.96,28.02,27.93,27.95,27.7891,2543330,0.027,1.0
147,2017-09-29,28.13,28.1696,28.06,28.09,27.9014,1244617,0.0,1.0
148,2017-09-28,28.04,28.4435,27.99,28.09,27.9014,243704,0.0,1.0
149,2017-09-27,27.98,28.12,27.98,28.06,27.8716,444711,0.0,1.0
150,2017-09-26,28.26,28.3199,28.219,28.27,28.0801,97680,0.0,1.0
151,2017-09-25,28.38,28.44,28.36,28.41,28.2192,1433479,0.0,1.0
152,2017-09-22,28.45,28.54,28.45,28.45,28.2589,126943,0.0,1.0
153,2017-09-21,28.34,28.45,28.32,28.35,28.1596,246139,0.0,1.0
154,2017-09-20,28.58,28.64,28.28,28.36,28.1695,249498,0.0,1.0
155,2017-09-19,28.57,28.5804,28.47,28.55,28.3583,756193,0.0,1.0
156,2017-09-18,28.51,28.56,28.44,28.49,28.2987,149021,0.0,1.0
157,2017-09-15,28.64,28.64,28.55,28.59,28.398,232018,0.0,1.0
158,2017-09-14,28.5,28.58,28.43,28.55,28.3583,142360,0.0,1.0
159,2017-09-13,28.65,28.69,28.49,28.51,28.3185,609158,0.0,1.0
160,2017-09-12,28.73,28.77,28.66,28.66,28.4675,321105,0.0,1.0
161,2017-09-11,28.91,28.9131,28.78,28.8,28.6066,341415,0.0,1.0
162,2017-09-08,29.0,29.07,28.97,29.01,28.8152,2106590,0.0,1.0
163,2017-09-07,28.87,28.9898,28.85,28.97,28.7754,713298,0.0,1.0
164,2017-09-06,28.71,28.8,28.7,28.76,28.5669,497802,0.0,1.0
165,2017-09-05,28.65,28.8099,28.64,28.73,28.5371,877516,0.0,1.0
166,2017-09-01,28.58,28.65,28.47,28.5,28.3086,524591,0.026,1.0
167,2017-08-31,28.51,28.65,28.46,28.65,28.4317,392734,0.0,1.0
168,2017-08-30,28.62,28.6499,28.5,28.51,28.2927,733877,0.0,1.0
169,2017-08-29,28.87,28.8799,28.6701,28.72,28.5011,133371,0.0,1.0
170,2017-08-28,28.64,28.76,28.64,28.72,28.5011,418883,0.0,1.0
171,2017-08-25,28.39,28.64,28.39,28.62,28.4019,142386,0.0,1.0
172,2017-08-24,28.44,28.495,28.39,28.44,28.2233,97765,0.0,1.0
173,2017-08-23,28.47,28.5367,28.42,28.48,28.2629,1096715,0.0,1.0
174,2017-08-22,28.44,28.47,28.3501,28.4,28.1836,611207,0.0,1.0
175,2017-08-21,28.47,28.63,28.44,28.55,28.3324,197617,0.0,1.0
176,2017-08-18,28.42,28.49,28.3898,28.47,28.253,209301,0.0,1.0
177,2017-08-17,28.3,28.4,28.28,28.37,28.1538,381531,0.0,1.0
178,2017-08-16,28.17,28.38,28.08,28.36,28.1439,255998,0.0,1.0
179,2017-08-15,28.21,28.31,28.121,28.28,28.0645,426807,0.0,1.0
180,2017-08-14,28.43,28.48,28.371,28.45,28.2332,249810,0.0,1.0
181,2017-08-11,28.48,28.564,28.4201,28.53,28.3126,255543,0.0,1.0
182,2017-08-10,28.33,28.4399,28.3,28.4,28.1836,201003,0.0,1.0
183,2017-08-09,28.31,28.3823,28.24,28.33,28.1141,285964,0.0,1.0
184,2017-08-08,28.39,28.3999,28.21,28.31,28.0942,284824,0.0,1.0
185,2017-08-07,28.32,28.36,28.28,28.36,28.1439,408659,0.0,1.0
186,2017-08-04,28.41,28.4399,28.23,28.29,28.0744,1087853,0.0,1.0
187,2017-08-03,28.46,28.56,28.44,28.55,28.3324,330416,0.0,1.0
188,2017-08-02,28.42,28.53,28.32,28.44,28.2233,664011,0.0,1.0
189,2017-08-01,28.41,28.4399,28.23,28.29,28.0744,1087853,0.0,1.0
190,2017-07-31,28.24,28.44,28.22,28.44,28.2233,393972,0.0,1.0
191,2017-07-28,28.19,28.305,28.19,28.3,28.0843,393580,0.0,1.0
192,2017-07-27,28.16,28.2423,28.1,28.16,27.9454,247353,0.0,1.0
193,2017-07-26,27.96,28.2799,27.9428,28.21,27.995,523286,0.0,1.0
194,2017-07-25,28.14,28.18,28.01,28.02,27.8065,202815,0.0,1.0
195,2017-07-24,28.18,28.21,28.1,28.16,27.9454,148134,0.0,1.0
196,2017-07-21,28.08,28.16,28.07,28.15,27.9355,480594,0.0,1.0
197,2017-07-20,27.98,28.1,27.9051,28.06,27.8462,210883,0.0,1.0
198,2017-07-19,27.92,28.0,27.9,27.92,27.7072,169853,0.0,1.0
199,2017-07-18,27.88,27.98,27.88,27.98,27.7668,334585,0.0,1.0
200,2017-07-17,27.72,27.76,27.65,27.7,27.4889,343249,0.0,1.0
201,2017-07-14,27.67,27.72,27.62,27.66,27.4492,334514,0.0,1.0
202,2017-07-13,27.54,27.57,27.46,27.56,27.35,313641,0.0,1.0
203,2017-07-12,27.5,27.56,27.44,27.54,27.3301,232267,0.0,1.0
204,2017-07-11,27.23,27.46,27.23,27.41,27.2011,387770,0.0,1.0
205,2017-07-10,27.35,27.4,27.28,27.31,27.1019,545657,0.0,1.0
206,2017-07-07,27.34,27.36,27.23,27.31,27.1019,734183,0.0,1.0
207,2017-07-06,27.37,27.43,27.28,27.38,27.1713,1145115,0.0,1.0
208,2017-07-05,27.38,27.47,27.3,27.45,27.2408,1372119,0.0,1.0
209,2017-07-03,27.51,27.5562,27.4201,27.47,27.2606,1006630,0.0,1.0
210,2017-06-30,27.64,27.6899,27.57,27.63,27.4194,514826,0.0,1.0
211,2017-06-29,27.62,27.69,27.558,27.69,27.479,208259,0.0,1.0
212,2017-06-28,27.63,27.74,27.63,27.71,27.4988,367449,0.0,1.0
213,2017-06-27,27.66,27.66,27.56,27.6,27.3897,275903,0.0,1.0
214,2017-06-26,27.68,27.7399,27.58,27.58,27.3698,2400901,0.0,1.0
215,2017-06-23,27.64,27.71,27.62,27.64,27.4294,328825,0.0,1.0
216,2017-06-22,27.6,27.64,27.5501,27.62,27.4095,133504,0.0,1.0
217,2017-06-21,27.48,27.59,27.46,27.55,27.34,207284,0.0,1.0
218,2017-06-20,27.53,27.5835,27.45,27.49,27.2805,197260,0.0,1.0
219,2017-06-19,27.63,27.65,27.53,27.53,27.3202,142853,0.0,1.0
220,2017-06-16,27.61,27.71,27.6,27.7,27.4889,191970,0.0,1.0
221,2017-06-15,27.67,27.67,27.55,27.63,27.4194,274433,0.0,1.0
222,2017-06-14,27.87,28.0,27.77,27.82,27.608,394809,0.0,1.0
223,2017-06-13,27.67,27.74,27.6301,27.7,27.4889,316175,0.0,1.0
224,2017-06-12,27.65,27.707,27.63,27.67,27.4591,182022,0.0,1.0
225,2017-06-09,27.57,27.69,27.54,27.59,27.3797,545651,0.0,1.0
226,2017-06-08,27.69,27.71,27.62,27.7,27.4889,346411,0.0,1.0
227,2017-06-07,27.77,27.84,27.72,27.72,27.5087,1712596,0.0,1.0
228,2017-06-06,27.81,27.85,27.72,27.84,27.6278,616868,0.0,1.0
