,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,95.63,96.105,95.5,95.8351,95.8351,96277,0.0,1.0
1,2018-05-01,96.08,96.08,95.13,95.88,95.88,1122285,0.0,1.0
2,2018-04-30,97.03,97.4899,96.32,96.32,96.32,506195,0.0,1.0
3,2018-04-27,96.65,97.25,96.56,97.0,97.0,324052,0.0,1.0
4,2018-04-26,96.31,96.91,95.91,96.77,96.77,332121,0.0,1.0
5,2018-04-25,95.64,96.2615,95.27,96.1,96.1,333382,0.0,1.0
6,2018-04-24,96.4,97.0,95.44,95.9,95.9,667971,0.0,1.0
7,2018-04-23,95.9,96.37,95.761,96.2,96.2,458476,0.0,1.0
8,2018-04-20,96.29,96.7136,95.5601,95.88,95.88,496185,0.0,1.0
9,2018-04-19,96.78,96.97,95.951,96.45,96.45,410299,0.0,1.0
10,2018-04-18,97.22,97.87,97.14,97.14,97.14,657655,0.0,1.0
11,2018-04-17,96.89,97.56,96.86,97.28,97.28,428318,0.0,1.0
12,2018-04-16,96.04,96.81,95.93,96.64,96.64,1091880,0.0,1.0
13,2018-04-13,95.66,96.0,95.35,95.58,95.58,456525,0.0,1.0
14,2018-04-12,95.66,96.08,95.164,95.33,95.33,675095,0.0,1.0
15,2018-04-11,95.3,95.82,95.02,95.51,95.51,454631,0.0,1.0
16,2018-04-10,95.61,96.07,95.25,95.72,95.72,813152,0.0,1.0
17,2018-04-09,94.96,95.9552,94.73,94.8,94.8,538303,0.0,1.0
18,2018-04-06,95.66,96.12,94.04,94.7,94.7,795204,0.0,1.0
19,2018-04-05,95.56,96.48,95.181,96.24,96.24,541943,0.0,1.0
20,2018-04-04,93.47,95.5,93.3,95.42,95.42,672813,0.0,1.0
21,2018-04-03,93.78,94.75,93.54,94.57,94.57,808316,0.0,1.0
22,2018-04-02,95.05,95.2483,92.73,93.47,93.47,925811,0.0,1.0
23,2018-03-29,94.19,95.45,94.19,95.12,95.12,848570,0.0,1.0
24,2018-03-28,94.29,94.68,93.901,94.14,94.14,1006475,0.0,1.0
