,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,46.74,46.775,46.49,46.555,46.555,22016178,0.0,1.0
1,2018-05-01,46.64,46.76,46.1,46.69,46.69,75839279,0.0,1.0
2,2018-04-30,47.43,47.49,46.91,46.92,46.92,49179040,0.0,1.0
3,2018-04-27,47.24,47.335,46.97,47.26,47.26,33544994,0.0,1.0
4,2018-04-26,46.57,46.995,46.535,46.97,46.97,45047763,0.0,1.0
5,2018-04-25,46.31,46.41,46.01,46.3,46.3,69106843,0.0,1.0
6,2018-04-24,47.26,47.36,46.43,46.66,46.66,72196821,0.0,1.0
7,2018-04-23,47.17,47.3,46.775,46.88,46.88,74337460,0.0,1.0
8,2018-04-20,47.59,47.615,47.05,47.26,47.26,80997724,0.0,1.0
9,2018-04-19,48.26,48.29,47.7025,47.86,47.86,67581053,0.0,1.0
10,2018-04-18,47.91,48.31,47.84,48.14,48.14,80289538,0.0,1.0
11,2018-04-17,47.42,47.865,47.4,47.73,47.73,58168092,0.0,1.0
12,2018-04-16,47.5,47.665,47.35,47.63,47.63,43005826,0.0,1.0
13,2018-04-13,48.01,48.06,47.44,47.57,47.57,56517996,0.0,1.0
14,2018-04-12,47.97,48.19,47.89,48.05,48.05,52968504,0.0,1.0
15,2018-04-11,47.7485,48.1761,47.74,48.07,48.07,51569199,0.0,1.0
16,2018-04-10,47.82,48.12,47.61,48.05,48.05,90103933,0.0,1.0
17,2018-04-09,47.42,47.655,47.12,47.13,47.13,55352661,0.0,1.0
18,2018-04-06,47.54,47.87,46.8,47.08,47.08,76156729,0.0,1.0
19,2018-04-05,48.09,48.26,47.83,48.02,48.02,48247675,0.0,1.0
20,2018-04-04,46.59,47.93,46.541,47.9,47.9,68352403,0.0,1.0
21,2018-04-03,47.84,47.94,47.46,47.88,47.88,52874480,0.0,1.0
22,2018-04-02,47.95,48.17,46.96,47.41,47.41,72405692,0.0,1.0
23,2018-03-29,47.63,48.45,47.57,48.28,48.28,84346938,0.0,1.0
24,2018-03-28,47.38,47.55,46.97,47.29,47.29,78140846,0.0,1.0
25,2018-03-27,48.45,48.52,47.42,47.53,47.53,84232084,0.0,1.0
26,2018-03-26,48.1,48.47,47.545,48.41,48.41,73320846,0.0,1.0
27,2018-03-23,47.94,48.025,46.865,46.89,46.89,82908809,0.0,1.0
28,2018-03-22,48.37,48.61,47.78,47.86,47.86,87622656,0.0,1.0
29,2018-03-21,49.16,49.7,49.01,49.51,49.51,78575130,0.0,1.0
30,2018-03-20,49.09,49.34,48.98,49.22,49.22,60101736,0.0,1.0
31,2018-03-19,48.89,49.0,48.39,48.68,48.68,65394241,0.0,1.0
32,2018-03-16,49.14,49.35,49.12,49.21,49.21,66155822,0.0,1.0
33,2018-03-15,49.66,49.73,49.1407,49.32,49.32,65778886,0.0,1.0
34,2018-03-14,49.79,49.86,49.225,49.5,49.5,51067183,0.0,1.0
35,2018-03-13,50.1,50.18,49.24,49.42,49.42,60376008,0.0,1.0
36,2018-03-12,49.81,49.97,49.61,49.87,49.87,52944535,0.0,1.0
37,2018-03-09,49.11,49.77,49.07,49.75,49.75,58818725,0.0,1.0
38,2018-03-08,48.79,48.84,48.48,48.71,48.71,46733946,0.0,1.0
39,2018-03-07,48.34,48.73,48.12,48.7,48.7,46554777,0.0,1.0
40,2018-03-06,49.01,49.03,48.52,48.65,48.65,57199220,0.0,1.0
41,2018-03-05,47.61,48.29,47.55,48.2,48.2,55905433,0.0,1.0
42,2018-03-02,47.35,48.225,47.105,48.13,48.13,72756150,0.0,1.0
43,2018-03-01,48.37,48.75,47.5,47.93,47.93,112694415,0.0,1.0
44,2018-02-28,48.83,48.885,48.02,48.02,48.02,102169924,0.0,1.0
