,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,22.5,22.55,22.43,22.54,22.54,450696,0.0,1.0
1,2018-05-01,22.27,22.31,22.18,22.3,22.3,1199699,0.0,1.0
2,2018-04-30,22.31,22.36,22.18,22.19,22.19,3277710,0.0,1.0
3,2018-04-27,22.28,22.38,22.24,22.38,22.38,1332284,0.0,1.0
4,2018-04-26,22.23,22.28,22.16,22.25,22.25,733250,0.0,1.0
5,2018-04-25,22.1,22.2,22.02,22.14,22.14,1435463,0.0,1.0
6,2018-04-24,22.4,22.43,22.14,22.18,22.18,1532522,0.0,1.0
7,2018-04-23,22.27,22.28,22.14,22.18,22.18,1494937,0.0,1.0
8,2018-04-20,22.24,22.255,22.13,22.17,22.17,2344672,0.0,1.0
9,2018-04-19,22.54,22.59,22.34,22.4,22.4,1917355,0.0,1.0
10,2018-04-18,22.57,22.66,22.54,22.64,22.64,1612304,0.0,1.0
11,2018-04-17,22.44,22.555,22.42,22.51,22.51,1460622,0.0,1.0
12,2018-04-16,22.42,22.52,22.41,22.48,22.48,2811510,0.0,1.0
13,2018-04-13,22.54,22.56,22.325,22.38,22.38,1225456,0.0,1.0
14,2018-04-12,22.36,22.44,22.35,22.38,22.38,1357598,0.0,1.0
15,2018-04-11,22.27,22.43,22.27,22.31,22.31,1299532,0.0,1.0
16,2018-04-10,22.36,22.505,22.33,22.46,22.46,3642833,0.0,1.0
17,2018-04-09,22.04,22.24,22.01,22.06,22.06,2154032,0.0,1.0
18,2018-04-06,22.04,22.13,21.765,21.81,21.81,2480228,0.0,1.0
19,2018-04-05,22.0,22.14,21.87,22.06,22.06,3731698,0.0,1.0
20,2018-04-04,21.73,22.08,21.72,22.04,22.04,3277338,0.0,1.0
21,2018-04-03,21.78,21.94,21.73,21.89,21.89,2962914,0.0,1.0
22,2018-04-02,21.87,22.0,21.54,21.64,21.64,4011615,0.0,1.0
23,2018-03-29,21.89,22.11,21.81,22.02,22.02,4194845,0.0,1.0
24,2018-03-28,21.9,22.04,21.8,21.84,21.84,3831622,0.0,1.0
25,2018-03-27,22.17,22.19,21.76,21.83,21.83,3098241,0.0,1.0
26,2018-03-26,22.13,22.275,21.92,22.26,22.26,3528290,0.0,1.0
27,2018-03-23,22.27,22.3,21.87,21.87,21.87,3996303,0.0,1.0
28,2018-03-22,22.37,22.45,22.16,22.16,22.16,3219832,0.0,1.0
29,2018-03-21,22.51,22.81,22.48,22.74,22.74,1808169,0.0,1.0
30,2018-03-20,22.54,22.58,22.46,22.51,22.51,2118348,0.0,1.0
31,2018-03-19,22.64,22.67,22.435,22.59,22.59,1639336,0.0,1.0
32,2018-03-16,22.82,22.88,22.77,22.77,22.77,1161939,0.0,1.0
33,2018-03-15,22.96,23.0,22.8,22.85,22.85,1103542,0.0,1.0
34,2018-03-14,23.25,23.27,23.02,23.1,23.1,1846190,0.0,1.0
35,2018-03-13,23.3,23.335,22.95,23.0,23.0,1700996,0.0,1.0
36,2018-03-12,23.27,23.345,23.215,23.3,23.3,1916040,0.0,1.0
37,2018-03-09,23.11,23.32,23.09,23.31,23.31,1761945,0.0,1.0
38,2018-03-08,22.91,22.96,22.755,22.9,22.9,2174588,0.0,1.0
39,2018-03-07,22.79,22.925,22.68,22.87,22.87,2537862,0.0,1.0
40,2018-03-06,23.08,23.14,22.945,23.02,23.02,1684275,0.0,1.0
41,2018-03-05,22.53,22.87,22.5,22.84,22.84,1957516,0.0,1.0
42,2018-03-02,22.56,22.76,22.47,22.74,22.74,2415690,0.0,1.0
43,2018-03-01,22.81,22.9247,22.48,22.67,22.67,2796382,0.0,1.0
44,2018-02-28,23.2,23.23,22.82,22.82,22.82,2847084,0.0,1.0
45,2018-02-27,23.37,23.4,23.1,23.1,23.1,1824845,0.0,1.0
46,2018-02-26,23.37,23.49,23.275,23.47,23.47,1741204,0.0,1.0
47,2018-02-23,23.07,23.24,23.03,23.22,23.22,1752287,0.0,1.0
48,2018-02-22,23.03,23.225,23.01,23.04,23.04,2338031,0.0,1.0
49,2018-02-21,23.0,23.24,22.825,22.86,22.86,2665881,0.0,1.0
50,2018-02-20,22.98,23.08,22.87,22.92,22.92,2155033,0.0,1.0
51,2018-02-16,22.97,23.12,22.88,22.98,22.98,2039478,0.0,1.0
52,2018-02-15,23.13,23.18,22.89,23.17,23.17,2823809,0.0,1.0
53,2018-02-14,22.33,23.0,22.33,23.0,23.0,2965334,0.0,1.0
54,2018-02-13,22.46,22.6666,22.42,22.6,22.6,1982696,0.0,1.0
55,2018-02-12,22.31,22.55,22.19,22.47,22.47,2552325,0.0,1.0
56,2018-02-09,22.12,22.245,21.59,22.12,22.12,6749158,0.0,1.0
57,2018-02-08,22.48,22.539,21.84,21.84,21.84,5136175,0.0,1.0
58,2018-02-07,22.66,22.77,22.44,22.47,22.47,3749364,0.0,1.0
59,2018-02-06,22.46,23.03,22.32,22.95,22.95,10479940,0.0,1.0
60,2018-02-05,23.3,23.43,22.68,22.73,22.73,6553011,0.0,1.0
61,2018-02-02,23.75,23.79,23.47,23.52,23.52,4145989,0.0,1.0
62,2018-02-01,23.76,23.9425,23.74,23.88,23.88,2543822,0.0,1.0
63,2018-01-31,23.92,23.97,23.72,23.77,23.77,2027841,0.0,1.0
64,2018-01-30,23.83,23.87,23.695,23.75,23.75,1892038,0.0,1.0
65,2018-01-29,23.99,24.0468,23.91,23.94,23.94,1426398,0.0,1.0
66,2018-01-26,23.97,24.185,23.95,24.11,24.11,3685208,0.0,1.0
67,2018-01-25,24.0,24.0,23.7,23.81,23.81,2608730,0.0,1.0
68,2018-01-24,23.96,24.0,23.78,23.88,23.88,2281849,0.0,1.0
69,2018-01-23,23.63,23.76,23.61,23.74,23.74,1778050,0.0,1.0
70,2018-01-22,23.59,23.69,23.56,23.69,23.69,1923300,0.0,1.0
71,2018-01-19,23.64,23.69,23.62,23.66,23.66,1088078,0.0,1.0
72,2018-01-18,23.64,23.665,23.56,23.61,23.61,1176806,0.0,1.0
73,2018-01-17,23.45,23.689,23.39,23.59,23.59,2164759,0.0,1.0
74,2018-01-16,23.56,23.6088,23.37,23.46,23.46,2161161,0.0,1.0
75,2018-01-12,23.5,23.69,23.47,23.67,23.67,1428605,0.0,1.0
76,2018-01-11,23.43,23.56,23.4,23.54,23.54,1057161,0.0,1.0
77,2018-01-10,23.37,23.47,23.32,23.4,23.4,1811157,0.0,1.0
78,2018-01-09,23.58,23.63,23.53,23.6,23.6,2805034,0.0,1.0
79,2018-01-08,23.56,23.58,23.51,23.57,23.57,3976704,0.0,1.0
80,2018-01-05,23.62,23.725,23.57,23.7,23.7,1594871,0.0,1.0
81,2018-01-04,23.43,23.56,23.41,23.56,23.56,2394571,0.0,1.0
82,2018-01-03,23.37,23.475,23.36,23.47,23.47,1557370,0.0,1.0
83,2018-01-02,23.25,23.33,23.195,23.32,23.32,1615302,0.0,1.0
84,2017-12-29,23.28,23.28,23.14,23.17,23.17,1875632,0.0,1.0
85,2017-12-28,23.24,23.25,23.16,23.19,23.19,1119110,0.0,1.0
86,2017-12-27,23.03,23.11,23.03,23.09,23.09,1917121,0.0,1.0
87,2017-12-26,22.97,23.04,22.89,22.97,22.97,1178025,0.0,1.0
88,2017-12-22,22.85,22.975,22.84,22.97,22.97,1861613,0.0,1.0
89,2017-12-21,22.825,22.93,22.8,22.86,22.86,1494884,0.0,1.0
90,2017-12-20,22.74,22.79,22.67,22.7,22.7,1765656,0.0,1.0
91,2017-12-19,22.745,22.76,22.68,22.7,22.7,4317155,0.5589,1.0
92,2017-12-18,23.325,23.38,23.27,23.3,22.7401,3072262,0.0,1.0
93,2017-12-15,23.12,23.19,23.105,23.14,22.5839,1538814,0.0,1.0
94,2017-12-14,23.18,23.21,23.11,23.11,22.5546,1766494,0.0,1.0
95,2017-12-13,23.03,23.26,23.02,23.17,22.6132,2652792,0.0,1.0
96,2017-12-12,22.82,22.8766,22.79,22.83,22.2814,2416311,0.0,1.0
97,2017-12-11,22.64,22.72,22.64,22.72,22.174,15733,0.0,1.0
98,2017-12-08,22.675,22.675,22.62,22.65,22.1057,11400,0.0,1.0
99,2017-12-07,22.54,22.63,22.52,22.59,22.0471,1703686,0.0,1.0
100,2017-12-06,22.65,22.66,22.585,22.6,22.0569,1007377,0.0,1.0
101,2017-12-05,22.79,22.8,22.66,22.66,22.1155,3213000,0.0,1.0
102,2017-12-04,22.85,22.86,22.695,22.7,22.1545,1542267,0.0,1.0
103,2017-12-01,22.81,22.93,22.77,22.85,22.3009,2972773,0.0,1.0
104,2017-11-30,22.84,22.86,22.74,22.77,22.2228,2208955,0.0,1.0
105,2017-11-29,22.88,22.9,22.78,22.83,22.2814,1881162,0.0,1.0
106,2017-11-28,22.94,23.0494,22.91,22.96,22.4082,3082099,0.0,1.0
107,2017-11-27,22.92,22.95,22.82,22.83,22.2814,1342054,0.0,1.0
108,2017-11-24,22.96,22.98,22.92,22.93,22.379,657671,0.0,1.0
109,2017-11-22,22.91,22.95,22.84,22.94,22.3887,1324666,0.0,1.0
110,2017-11-21,22.78,22.86,22.78,22.82,22.2716,2828805,0.0,1.0
111,2017-11-20,22.63,22.7,22.62,22.68,22.135,1372565,0.0,1.0
112,2017-11-17,22.61,22.67,22.575,22.63,22.0862,1252032,0.0,1.0
113,2017-11-16,22.73,22.83,22.72,22.83,22.2814,1175414,0.0,1.0
114,2017-11-15,22.61,22.69,22.54,22.68,22.135,1900864,0.0,1.0
115,2017-11-14,22.84,22.86,22.69,22.75,22.2033,2009895,0.0,1.0
116,2017-11-13,22.98,23.08,22.97,23.01,22.457,1387680,0.0,1.0
117,2017-11-10,23.1,23.2,23.08,23.17,22.6132,1656723,0.0,1.0
118,2017-11-09,23.1,23.195,23.07,23.17,22.6132,1450866,0.0,1.0
119,2017-11-08,23.13,23.1699,23.06,23.12,22.5644,1794129,0.0,1.0
120,2017-11-07,22.96,22.965,22.84,22.9,22.3497,2467790,0.0,1.0
121,2017-11-06,22.79,22.95,22.79,22.94,22.3887,991419,0.0,1.0
122,2017-11-03,22.92,22.93,22.79,22.85,22.3009,2082361,0.0,1.0
123,2017-11-02,22.95,23.0,22.9,22.98,22.4278,1577236,0.0,1.0
124,2017-11-01,22.85,22.955,22.795,22.81,22.2618,2151614,0.0,1.0
125,2017-10-31,22.66,22.7372,22.62,22.7,22.1545,1879096,0.0,1.0
126,2017-10-30,22.7,22.76,22.7,22.76,22.2131,1792590,0.0,1.0
127,2017-10-27,22.64,22.8,22.585,22.8,22.2521,2506288,0.0,1.0
128,2017-10-26,22.8,22.81,22.69,22.69,22.1447,1874262,0.0,1.0
129,2017-10-25,22.8,22.82,22.62,22.69,22.1447,1929467,0.0,1.0
130,2017-10-24,22.95,23.03,22.93,23.0,22.4473,1132094,0.0,1.0
131,2017-10-23,23.05,23.06,22.94,22.97,22.418,1371484,0.0,1.0
132,2017-10-20,23.17,23.17,23.06,23.11,22.5546,1453081,0.0,1.0
