,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,28.18,28.26,28.095,28.19,28.19,1264301,0.0,1.0
1,2018-05-01,28.11,28.28,27.8999,28.13,28.13,2898219,0.0,1.0
2,2018-04-30,28.19,28.34,28.13,28.13,28.13,2151072,0.0,1.0
3,2018-04-27,28.09,28.24,28.08,28.21,28.21,1815519,0.0,1.0
4,2018-04-26,28.03,28.139,27.96,28.09,28.09,1586727,0.0,1.0
5,2018-04-25,27.8,27.97,27.69,27.9,27.9,1602138,0.0,1.0
6,2018-04-24,28.03,28.08,27.78,27.88,27.88,1678111,0.0,1.0
7,2018-04-23,27.94,28.04,27.84,27.94,27.94,1277536,0.0,1.0
8,2018-04-20,28.06,28.11,27.98,28.04,28.04,1265325,0.0,1.0
9,2018-04-19,28.45,28.48,28.1006,28.16,28.16,2270564,0.0,1.0
10,2018-04-18,28.24,28.475,28.22,28.38,28.38,3529625,0.0,1.0
11,2018-04-17,28.13,28.31,28.12,28.24,28.24,1351274,0.0,1.0
12,2018-04-16,28.04,28.12,27.97,28.07,28.07,1298493,0.0,1.0
13,2018-04-13,28.09,28.16,27.89,27.95,27.95,1523702,0.0,1.0
14,2018-04-12,27.98,28.12,27.92,28.01,28.01,1808955,0.0,1.0
15,2018-04-11,27.86,28.12,27.81,28.01,28.01,1721789,0.0,1.0
16,2018-04-10,28.05,28.105,27.96,27.97,27.97,2861456,0.0,1.0
17,2018-04-09,27.77,27.875,27.485,27.69,27.69,1783130,0.0,1.0
18,2018-04-06,27.77,27.86,27.36,27.5,27.5,2515134,0.0,1.0
19,2018-04-05,27.45,27.85,27.4,27.8,27.8,1766968,0.0,1.0
20,2018-04-04,26.99,27.455,26.91,27.43,27.43,5117196,0.0,1.0
21,2018-04-03,27.33,27.42,27.185,27.34,27.34,3611139,0.0,1.0
22,2018-04-02,27.45,27.56,27.011,27.17,27.17,3360766,0.0,1.0
23,2018-03-29,27.15,27.59,27.13,27.56,27.56,4286674,0.0,1.0
24,2018-03-28,27.16,27.27,27.045,27.08,27.08,2593061,0.0,1.0
25,2018-03-27,27.45,27.55,27.1,27.18,27.18,3176084,0.0,1.0
26,2018-03-26,27.36,27.43,27.135,27.38,27.38,2819233,0.0,1.0
27,2018-03-23,27.7,27.78,27.175,27.19,27.19,4612207,0.0,1.0
28,2018-03-22,27.8,27.84,27.42,27.46,27.46,3503684,0.0,1.0
29,2018-03-21,27.73,28.155,27.68,28.02,28.02,3167498,0.0,1.0
30,2018-03-20,27.55,27.74,27.46,27.6,27.6,5868335,0.0,1.0
31,2018-03-19,27.66,27.76,27.39,27.5,27.5,3464485,0.0,1.0
32,2018-03-16,27.72,27.885,27.61,27.67,27.67,2379156,0.0,1.0
33,2018-03-15,27.9,27.99,27.621,27.71,27.71,3095372,0.0,1.0
34,2018-03-14,27.99,28.0262,27.77,27.86,27.86,3564630,0.0,1.0
35,2018-03-13,28.03,28.145,27.75,27.77,27.77,4934035,0.0,1.0
36,2018-03-12,27.97,28.115,27.906,28.0,28.0,3189907,0.0,1.0
37,2018-03-09,27.99,28.03,27.76,28.02,28.02,3319319,0.0,1.0
38,2018-03-08,27.7,27.78,27.56,27.74,27.74,6043637,0.0,1.0
39,2018-03-07,27.5,27.75,27.395,27.63,27.63,3598040,0.0,1.0
40,2018-03-06,27.82,27.86,27.62,27.74,27.74,17124164,0.0,1.0
41,2018-03-05,27.17,27.5799,27.15,27.56,27.56,3271089,0.0,1.0
42,2018-03-02,27.35,27.4867,27.26,27.48,27.48,2848447,0.0,1.0
43,2018-03-01,27.75,27.82,27.37,27.61,27.61,5383919,0.0,1.0
44,2018-02-28,28.6,28.6,27.75,27.79,27.79,4597375,0.0,1.0
45,2018-02-27,28.46,28.62,28.3,28.33,28.33,4312140,0.0,1.0
46,2018-02-26,28.53,28.61,28.405,28.6,28.6,2685443,0.0,1.0
47,2018-02-23,28.27,28.49,28.2,28.46,28.46,4535262,0.0,1.0
48,2018-02-22,28.23,28.4007,28.075,28.1,28.1,4802147,0.0,1.0
49,2018-02-21,28.11,28.48,28.05,28.16,28.16,4276601,0.0,1.0
50,2018-02-20,28.09,28.275,28.06,28.12,28.12,5163080,0.0,1.0
51,2018-02-16,28.35,28.455,28.21,28.27,28.27,4849429,0.0,1.0
52,2018-02-15,28.37,28.4,28.035,28.4,28.4,2313162,0.0,1.0
53,2018-02-14,27.58,28.31,27.52,28.22,28.22,2780184,0.0,1.0
54,2018-02-13,27.7,27.84,27.63,27.83,27.83,5994558,0.0,1.0
55,2018-02-12,27.77,27.9095,27.54,27.81,27.81,9810375,0.0,1.0
56,2018-02-09,27.57,27.58,26.92,27.47,27.47,10877393,0.0,1.0
57,2018-02-08,28.12,28.12,27.42,27.42,27.42,5596837,0.0,1.0
58,2018-02-07,28.13,28.3167,28.05,28.06,28.06,3778813,0.0,1.0
59,2018-02-06,27.67,28.335,27.37,28.27,28.27,10299561,0.0,1.0
60,2018-02-05,28.76,28.8136,28.125,28.15,28.15,7210545,0.0,1.0
61,2018-02-02,29.46,29.48,28.95,28.96,28.96,8993691,0.0,1.0
62,2018-02-01,29.82,29.865,29.64,29.78,29.78,2884489,0.0,1.0
63,2018-01-31,29.98,30.0,29.805,29.88,29.88,2979995,0.0,1.0
64,2018-01-30,29.94,30.035,29.81,29.85,29.85,2811304,0.0,1.0
65,2018-01-29,30.2,30.22,30.04,30.04,30.04,1936749,0.0,1.0
66,2018-01-26,30.28,30.39,30.16,30.32,30.32,2698095,0.0,1.0
67,2018-01-25,30.52,30.55,30.1,30.2,30.2,3777546,0.0,1.0
68,2018-01-24,30.55,30.56,30.255,30.42,30.42,1890667,0.0,1.0
69,2018-01-23,30.15,30.345,30.01,30.33,30.33,2904528,0.0,1.0
70,2018-01-22,30.19,30.28,30.135,30.26,30.26,1801847,0.0,1.0
71,2018-01-19,30.25,30.29,30.13,30.14,30.14,1572619,0.0,1.0
72,2018-01-18,30.21,30.31,30.13,30.23,30.23,4103228,0.0,1.0
73,2018-01-17,30.28,30.42,30.025,30.3,30.3,5869239,0.0,1.0
74,2018-01-16,30.4,30.42,30.14,30.23,30.23,6620571,0.0,1.0
75,2018-01-12,30.11,30.16,29.9665,30.11,30.11,1762773,0.0,1.0
76,2018-01-11,29.87,30.015,29.85,30.01,30.01,1654404,0.0,1.0
77,2018-01-10,30.09,30.19,29.78,29.86,29.86,4996857,0.0,1.0
78,2018-01-09,30.3,30.3,30.145,30.16,30.16,2465101,0.0,1.0
79,2018-01-08,30.32,30.38,30.23,30.24,30.24,2498434,0.0,1.0
80,2018-01-05,30.43,30.6,30.33,30.34,30.34,1546926,0.0,1.0
