,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,32.84,32.87,32.7,32.79,32.79,1861353,0.0,1.0
1,2018-05-01,32.39,32.43,32.15,32.34,32.34,1460874,0.0,1.0
2,2018-04-30,32.46,32.6099,32.435,32.46,32.46,1847382,0.0,1.0
3,2018-04-27,32.63,32.665,32.43,32.65,32.65,1720040,0.0,1.0
4,2018-04-26,32.45,32.59,32.335,32.52,32.52,1738490,0.0,1.0
5,2018-04-25,32.3,32.42,32.15,32.39,32.39,2269765,0.0,1.0
6,2018-04-24,32.82,32.85,32.425,32.56,32.56,2786977,0.0,1.0
7,2018-04-23,32.88,32.915,32.75,32.84,32.84,1922819,0.0,1.0
8,2018-04-20,33.0,33.03,32.86,32.96,32.96,4045504,0.0,1.0
9,2018-04-19,33.3,33.36,33.1,33.19,33.19,4100741,0.0,1.0
10,2018-04-18,33.36,33.41,33.285,33.36,33.36,4375832,0.0,1.0
11,2018-04-17,33.13,33.36,33.105,33.3,33.3,3799507,0.0,1.0
12,2018-04-16,32.94,32.95,32.79,32.9,32.9,7544980,0.0,1.0
13,2018-04-13,32.98,33.0,32.755,32.89,32.89,3812181,0.0,1.0
14,2018-04-12,32.66,32.82,32.6535,32.8,32.8,3293005,0.0,1.0
15,2018-04-11,32.6,32.725,32.49,32.56,32.56,3722145,0.0,1.0
16,2018-04-10,32.74,32.84,32.64,32.76,32.76,2552049,0.0,1.0
17,2018-04-09,32.37,32.505,32.23,32.31,32.31,2807926,0.0,1.0
18,2018-04-06,32.2,32.35,32.005,32.09,32.09,4201629,0.0,1.0
19,2018-04-05,32.2,32.33,32.15,32.21,32.21,2056881,0.0,1.0
20,2018-04-04,31.33,31.855,31.31,31.82,31.82,2541795,0.0,1.0
21,2018-04-03,31.7,31.8,31.505,31.76,31.76,5348707,0.0,1.0
22,2018-04-02,32.04,32.12,31.31,31.56,31.56,5626022,0.0,1.0
23,2018-03-29,31.99,32.15,31.9099,32.04,32.04,3343123,0.0,1.0
24,2018-03-28,31.64,31.87,31.47,31.56,31.56,5522397,0.0,1.0
25,2018-03-27,31.96,32.08,31.45,31.59,31.59,5264051,0.0,1.0
26,2018-03-26,31.84,31.95,31.39,31.95,31.95,6473965,0.0,1.0
27,2018-03-23,31.73,31.81,31.27,31.31,31.31,7852744,0.0,1.0
28,2018-03-22,31.9,32.0401,31.69,31.7,31.7,5829793,0.0,1.0
29,2018-03-21,32.34,32.62,32.31,32.45,32.45,3942838,0.0,1.0
30,2018-03-20,32.26,32.49,32.26,32.42,32.42,4257476,0.0,1.0
31,2018-03-19,32.45,32.475,32.23,32.39,32.39,2997431,0.0,1.0
32,2018-03-16,32.55,32.76,32.55,32.63,32.63,2542748,0.0,1.0
33,2018-03-15,32.59,32.79,32.51,32.65,32.65,3617024,0.0,1.0
34,2018-03-14,32.74,32.78,32.41,32.55,32.55,4239170,0.0,1.0
35,2018-03-13,32.95,32.98,32.33,32.4,32.4,5186428,0.0,1.0
36,2018-03-12,32.84,32.97,32.79,32.94,32.94,2024324,0.0,1.0
37,2018-03-09,32.66,32.805,32.6,32.79,32.79,2726556,0.0,1.0
38,2018-03-08,32.74,32.8372,32.6,32.68,32.68,4111416,0.0,1.0
39,2018-03-07,32.48,32.75,32.44,32.72,32.72,3707294,0.0,1.0
40,2018-03-06,32.48,32.49,32.315,32.46,32.46,2588461,0.0,1.0
41,2018-03-05,31.69,32.295,31.67,32.27,32.27,2841740,0.0,1.0
42,2018-03-02,31.59,31.85,31.46,31.81,31.81,3243751,0.0,1.0
43,2018-03-01,32.04,32.17,31.52,31.81,31.81,8695321,0.0,1.0
44,2018-02-28,32.8,32.81,32.4,32.43,32.43,3021421,0.0,1.0
45,2018-02-27,33.0,33.05,32.65,32.66,32.66,2438053,0.0,1.0
46,2018-02-26,33.13,33.299,32.97,33.28,33.28,2466057,0.0,1.0
47,2018-02-23,33.03,33.17,32.95,33.13,33.13,4964377,0.0,1.0
48,2018-02-22,32.8,33.09,32.7,32.89,32.89,5021147,0.0,1.0
49,2018-02-21,32.98,33.2,32.71,32.73,32.73,2197263,0.0,1.0
50,2018-02-20,32.99,33.18,32.86,32.96,32.96,3425898,0.0,1.0
51,2018-02-16,33.12,33.52,33.11,33.28,33.28,2375570,0.0,1.0
52,2018-02-15,33.23,33.275,32.91,33.22,33.22,5785121,0.0,1.0
53,2018-02-14,32.24,33.22,32.22,33.2,33.2,5803393,0.0,1.0
54,2018-02-13,32.42,32.51,32.3,32.48,32.48,4605507,0.0,1.0
55,2018-02-12,32.31,32.59,32.2,32.54,32.54,8555995,0.0,1.0
