,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,25.85,25.855,25.72,25.75,25.75,1443497,0.0,1.0
1,2018-05-01,25.72,25.76,25.42,25.7,25.7,2183548,0.0,1.0
2,2018-04-30,25.87,25.94,25.7,25.71,25.71,3889563,0.0,1.0
3,2018-04-27,25.4,25.515,25.35,25.46,25.46,2651773,0.0,1.0
4,2018-04-26,25.31,25.4,25.23,25.36,25.36,2941904,0.0,1.0
5,2018-04-25,25.26,25.38,25.2,25.33,25.33,2868078,0.0,1.0
6,2018-04-24,25.49,25.61,25.28,25.39,25.39,4463106,0.0,1.0
7,2018-04-23,25.33,25.42,25.29,25.33,25.33,2666046,0.0,1.0
8,2018-04-20,25.42,25.42,25.261,25.37,25.37,2777514,0.0,1.0
9,2018-04-19,25.6,25.64,25.41,25.51,25.51,6250417,0.0,1.0
10,2018-04-18,25.53,25.66,25.495,25.58,25.58,4359623,0.0,1.0
11,2018-04-17,25.3,25.465,25.285,25.4,25.4,3468265,0.0,1.0
12,2018-04-16,25.29,25.41,25.22,25.4,25.4,6926664,0.0,1.0
13,2018-04-13,25.77,25.78,25.58,25.65,25.65,3778658,0.0,1.0
14,2018-04-12,25.72,25.885,25.68,25.85,25.85,2030726,0.0,1.0
15,2018-04-11,25.76,25.89,25.755,25.79,25.79,2047165,0.0,1.0
16,2018-04-10,25.44,25.58,25.405,25.53,25.53,3606792,0.0,1.0
17,2018-04-09,25.25,25.4,25.165,25.18,25.18,3388482,0.0,1.0
18,2018-04-06,25.1,25.21,24.82,24.93,24.93,5936282,0.0,1.0
19,2018-04-05,25.26,25.35,25.185,25.26,25.26,2935287,0.0,1.0
20,2018-04-04,24.71,25.25,24.7,25.24,25.24,4859873,0.0,1.0
21,2018-04-03,25.19,25.265,25.07,25.23,25.23,5963769,0.0,1.0
22,2018-04-02,25.18,25.305,24.79,24.99,24.99,5164516,0.0,1.0
23,2018-03-29,25.1,25.39,25.1,25.31,25.31,3167159,0.0,1.0
24,2018-03-28,24.95,25.1,24.82,25.03,25.03,7196350,0.0,1.0
25,2018-03-27,25.43,25.52,25.1,25.18,25.18,6406803,0.0,1.0
26,2018-03-26,25.32,25.55,25.195,25.51,25.51,4971533,0.0,1.0
27,2018-03-23,25.24,25.25,24.82,24.85,24.85,6733525,0.0,1.0
28,2018-03-22,25.39,25.48,25.21,25.25,25.25,7047929,0.0,1.0
29,2018-03-21,25.8,26.02,25.79,25.92,25.92,3906334,0.0,1.0
30,2018-03-20,26.01,26.08,25.96,25.99,25.99,5585406,0.0,1.0
31,2018-03-19,25.95,26.0,25.78,25.91,25.91,2751037,0.0,1.0
32,2018-03-16,25.98,26.05,25.92,26.01,26.01,3443919,0.0,1.0
33,2018-03-15,26.1,26.1999,25.985,26.06,26.06,4131695,0.0,1.0
34,2018-03-14,26.15,26.19,25.9,26.01,26.01,5823422,0.0,1.0
35,2018-03-13,26.31,26.33,25.99,26.07,26.07,6445261,0.0,1.0
36,2018-03-12,26.3,26.345,26.23,26.31,26.31,4539671,0.0,1.0
37,2018-03-09,25.96,26.145,25.95,26.14,26.14,3050942,0.0,1.0
38,2018-03-08,25.66,25.73,25.565,25.71,25.71,8544553,0.0,1.0
39,2018-03-07,25.22,25.32,25.1,25.29,25.29,4360368,0.0,1.0
40,2018-03-06,25.54,25.585,25.355,25.48,25.48,5121349,0.0,1.0
41,2018-03-05,25.1,25.36,25.06,25.33,25.33,5763401,0.0,1.0
42,2018-03-02,25.33,25.64,25.25,25.62,25.62,5505006,0.0,1.0
43,2018-03-01,25.85,25.96,25.49,25.6,25.6,7037711,0.0,1.0
44,2018-02-28,25.81,25.89,25.58,25.58,25.58,5402157,0.0,1.0
45,2018-02-27,25.94,25.99,25.735,25.83,25.83,13086441,0.0,1.0
46,2018-02-26,25.9,25.99,25.82,25.97,25.97,4770622,0.0,1.0
47,2018-02-23,25.51,25.62,25.45,25.62,25.62,3947168,0.0,1.0
48,2018-02-22,25.38,25.49,25.3,25.31,25.31,4363546,0.0,1.0
49,2018-02-21,25.61,25.77,25.36,25.37,25.37,6872477,0.0,1.0
50,2018-02-20,25.21,25.4,25.21,25.31,25.31,7403664,0.0,1.0
51,2018-02-16,25.39,25.65,25.32,25.42,25.42,5883098,0.0,1.0
52,2018-02-15,25.35,25.4759,25.18,25.45,25.45,3797215,0.0,1.0
