,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,33.81,33.84,33.7,33.785,33.785,372566,0.0,1.0
1,2018-05-01,33.61,33.61,33.165,33.42,33.42,460060,0.0,1.0
2,2018-04-30,33.54,33.73,33.52,33.57,33.57,599657,0.0,1.0
3,2018-04-27,33.67,33.77,33.525,33.72,33.72,904454,0.0,1.0
4,2018-04-26,33.97,34.0,33.75,33.93,33.93,881915,0.0,1.0
5,2018-04-25,33.65,33.805,33.555,33.79,33.79,1139223,0.0,1.0
6,2018-04-24,34.18,34.265,33.895,34.01,34.01,729935,0.0,1.0
7,2018-04-23,33.97,34.19,33.89,34.14,34.14,3208150,0.0,1.0
8,2018-04-20,34.04,34.08,33.93,33.99,33.99,346417,0.0,1.0
9,2018-04-19,34.14,34.24,34.02,34.13,34.13,669470,0.0,1.0
10,2018-04-18,34.05,34.18,34.0,34.15,34.15,622399,0.0,1.0
11,2018-04-17,33.87,34.01,33.8,33.96,33.96,799316,0.0,1.0
12,2018-04-16,33.6,33.62,33.5,33.6,33.6,335814,0.0,1.0
13,2018-04-13,33.5,33.52,33.35,33.44,33.44,273964,0.0,1.0
14,2018-04-12,33.24,33.39,33.22,33.34,33.34,349671,0.0,1.0
15,2018-04-11,33.14,33.28,33.01,33.03,33.03,479604,0.0,1.0
16,2018-04-10,33.21,33.39,33.2,33.32,33.32,1134173,0.0,1.0
17,2018-04-09,32.97,33.13,32.87,32.94,32.94,798199,0.0,1.0
18,2018-04-06,32.67,32.79,32.46,32.57,32.57,1110673,0.0,1.0
19,2018-04-05,32.54,32.71,32.51,32.65,32.65,920836,0.0,1.0
20,2018-04-04,31.8,32.31,31.8,32.31,32.31,1125626,0.0,1.0
21,2018-04-03,31.99,32.2,31.91,32.18,32.18,591004,0.0,1.0
22,2018-04-02,32.14,32.15,31.38,31.67,31.67,597390,0.0,1.0
23,2018-03-29,32.14,32.27,32.0,32.15,32.15,884828,0.0,1.0
24,2018-03-28,31.83,32.19,31.65,31.95,31.95,3219322,0.0,1.0
25,2018-03-27,31.88,31.95,31.315,31.49,31.49,1041967,0.0,1.0
26,2018-03-26,31.95,32.04,31.56,32.02,32.02,871589,0.0,1.0
27,2018-03-23,31.86,31.98,31.6,31.61,31.61,1648453,0.0,1.0
