,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,34.1,34.11,33.985,34.03,34.03,210858,0.0,1.0
1,2018-05-01,34.05,34.14,33.82,33.92,33.92,632865,0.0,1.0
2,2018-04-30,34.24,34.34,34.04,34.04,34.04,484311,0.0,1.0
3,2018-04-27,34.14,34.26,34.05,34.21,34.21,528594,0.0,1.0
4,2018-04-26,34.21,34.25,34.12,34.15,34.15,397766,0.0,1.0
5,2018-04-25,33.85,33.99,33.74,33.96,33.96,560667,0.0,1.0
6,2018-04-24,34.35,34.38,33.965,34.07,34.07,1041747,0.0,1.0
7,2018-04-23,34.28,34.38,34.21,34.29,34.29,721228,0.0,1.0
8,2018-04-20,34.36,34.5,34.31,34.36,34.36,656318,0.0,1.0
9,2018-04-19,34.66,34.705,34.42,34.53,34.53,1033542,0.0,1.0
10,2018-04-18,34.74,34.76,34.62,34.68,34.68,783621,0.0,1.0
11,2018-04-17,34.62,34.75,34.57,34.67,34.67,611617,0.0,1.0
12,2018-04-16,34.55,34.6,34.43,34.49,34.49,545131,0.0,1.0
13,2018-04-13,34.45,34.49,34.315,34.42,34.42,588258,0.0,1.0
14,2018-04-12,34.3,34.4,34.26,34.36,34.36,513427,0.0,1.0
15,2018-04-11,34.33,34.46,34.19,34.21,34.21,620044,0.0,1.0
16,2018-04-10,34.47,34.56,34.4,34.48,34.48,563603,0.0,1.0
17,2018-04-09,34.26,34.45,34.17,34.21,34.21,748349,0.0,1.0
18,2018-04-06,34.18,34.28,33.83,33.9,33.9,903286,0.0,1.0
19,2018-04-05,33.96,34.18,33.91,33.99,33.99,5266081,0.0,1.0
20,2018-04-04,33.43,33.86,33.43,33.86,33.86,1132518,0.0,1.0
21,2018-04-03,33.92,33.95,33.6627,33.87,33.87,1702056,0.0,1.0
22,2018-04-02,34.46,34.47,33.775,33.91,33.91,927905,0.0,1.0
23,2018-03-29,34.29,34.49,34.23,34.37,34.37,939117,0.0,1.0
24,2018-03-28,34.12,34.51,33.97,34.24,34.24,1254096,0.0,1.0
25,2018-03-27,34.2,34.3,33.82,33.88,33.88,1249089,0.0,1.0
26,2018-03-26,34.21,34.3,33.79,34.17,34.17,996359,0.0,1.0
