,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,34.79,34.92,34.685,34.765,34.765,1243332,0.0,1.0
1,2018-05-01,34.99,35.02,34.36,34.73,34.73,2355088,0.0,1.0
2,2018-04-30,35.46,35.7,35.06,35.06,35.06,736089,0.0,1.0
3,2018-04-27,35.59,35.59,35.29,35.54,35.54,476173,0.0,1.0
4,2018-04-26,35.17,35.52,35.16,35.49,35.49,637776,0.0,1.0
5,2018-04-25,35.2,35.3,34.89,35.17,35.17,1618048,0.0,1.0
6,2018-04-24,35.59,35.73,35.191,35.31,35.31,869331,0.0,1.0
7,2018-04-23,35.9,35.99,35.61,35.62,35.62,1425215,0.0,1.0
8,2018-04-20,36.22,36.33,35.72,35.85,35.85,1713786,0.0,1.0
9,2018-04-19,36.53,36.555,36.3,36.35,36.35,799063,0.0,1.0
10,2018-04-18,36.29,36.41,36.12,36.33,36.33,818113,0.0,1.0
11,2018-04-17,36.25,36.38,36.16,36.3,36.3,857982,0.0,1.0
12,2018-04-16,36.25,36.38,36.16,36.3,36.3,743100,0.0,1.0
13,2018-04-13,36.3,36.53,35.98,36.09,36.09,713843,0.0,1.0
14,2018-04-12,36.31,36.48,36.26,36.37,36.37,697192,0.0,1.0
15,2018-04-11,36.17,36.48,36.03,36.47,36.47,1046610,0.0,1.0
16,2018-04-10,35.88,36.22,35.85,36.18,36.18,1028478,0.0,1.0
17,2018-04-09,35.58,35.78,35.46,35.59,35.59,709218,0.0,1.0
18,2018-04-06,35.55,35.695,35.21,35.31,35.31,636491,0.0,1.0
19,2018-04-05,35.65,35.74,35.52,35.69,35.69,1005205,0.0,1.0
20,2018-04-04,35.09,35.785,35.0,35.74,35.74,1032298,0.0,1.0
21,2018-04-03,35.74,36.035,35.74,36.0,36.0,1413366,0.0,1.0
22,2018-04-02,36.06,36.19,35.585,35.78,35.78,1289596,0.0,1.0
23,2018-03-29,35.79,36.24,35.79,36.14,36.14,1393597,0.0,1.0
24,2018-03-28,35.8,35.88,35.585,35.71,35.71,793972,0.0,1.0
25,2018-03-27,35.73,35.82,35.41,35.5,35.5,1432100,0.0,1.0
26,2018-03-26,35.45,35.595,35.125,35.57,35.57,1181644,0.0,1.0
27,2018-03-23,35.46,35.65,35.01,35.03,35.03,1000077,0.0,1.0
28,2018-03-22,35.48,35.655,35.225,35.26,35.26,1012440,0.0,1.0
29,2018-03-21,35.38,35.65,35.28,35.57,35.57,592533,0.0,1.0
30,2018-03-20,35.19,35.26,35.06,35.19,35.19,623628,0.0,1.0
31,2018-03-19,35.13,35.21,34.88,35.01,35.01,635655,0.0,1.0
32,2018-03-16,35.12,35.25,35.04,35.09,35.09,761634,0.0,1.0
33,2018-03-15,35.25,35.25,35.0,35.1,35.1,890366,0.0,1.0
34,2018-03-14,35.54,35.74,35.24,35.33,35.33,697705,0.0,1.0
35,2018-03-13,35.67,35.8,35.33,35.4,35.4,769311,0.0,1.0
36,2018-03-12,35.51,35.63,35.3375,35.48,35.48,929995,0.0,1.0
37,2018-03-09,35.03,35.42,34.96,35.41,35.41,816328,0.0,1.0
38,2018-03-08,34.82,34.9,34.745,34.84,34.84,533656,0.0,1.0
39,2018-03-07,34.96,35.085,34.81,35.06,35.06,575044,0.0,1.0
40,2018-03-06,35.28,35.3721,35.0436,35.17,35.17,592820,0.0,1.0
41,2018-03-05,34.9,35.2499,34.76,35.15,35.15,956105,0.0,1.0
42,2018-03-02,35.01,35.21,34.7,35.13,35.13,1225191,0.0,1.0
43,2018-03-01,35.1,35.32,34.71,34.83,34.83,1186706,0.0,1.0
44,2018-02-28,35.25,35.3899,34.96,34.98,34.98,669004,0.0,1.0
45,2018-02-27,35.6,35.72,35.16,35.16,35.16,939613,0.0,1.0
46,2018-02-26,35.53,35.69,35.32,35.69,35.69,624382,0.0,1.0
47,2018-02-23,35.41,35.61,35.33,35.59,35.59,602248,0.0,1.0
48,2018-02-22,35.44,35.67,35.36,35.42,35.42,908091,0.0,1.0
49,2018-02-21,35.35,35.58,35.1,35.14,35.14,1422597,0.0,1.0
50,2018-02-20,35.42,35.61,35.28,35.45,35.45,1412554,0.0,1.0
51,2018-02-16,35.42,35.78,35.29,35.57,35.57,1013910,0.0,1.0
52,2018-02-15,35.31,35.5,35.02,35.44,35.44,637882,0.0,1.0
53,2018-02-14,34.47,35.165,34.465,35.12,35.12,1015754,0.0,1.0
54,2018-02-13,34.52,34.68,34.45,34.62,34.62,582908,0.0,1.0
55,2018-02-12,34.33,34.7969,34.25,34.54,34.54,1447863,0.0,1.0
56,2018-02-09,34.1,34.255,33.37,34.02,34.02,2118175,0.0,1.0
