,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,33.51,33.52,33.35,33.4,33.4,250810,0.0,1.0
1,2018-05-01,33.25,33.29,32.87,33.04,33.04,333640,0.0,1.0
2,2018-04-30,33.32,33.47,33.2475,33.26,33.26,849568,0.0,1.0
3,2018-04-27,33.3,33.38,33.16,33.34,33.34,297068,0.0,1.0
4,2018-04-26,33.31,33.31,33.1,33.19,33.19,507845,0.0,1.0
5,2018-04-25,33.1,33.255,33.08,33.24,33.24,546124,0.0,1.0
6,2018-04-24,33.4,33.475,33.12,33.22,33.22,775706,0.0,1.0
7,2018-04-23,33.6,33.67,33.49,33.61,33.61,406423,0.0,1.0
8,2018-04-20,33.63,33.72,33.5,33.62,33.62,1090408,0.0,1.0
9,2018-04-19,33.79,33.82,33.665,33.76,33.76,2355760,0.0,1.0
10,2018-04-18,33.74,33.83,33.7,33.78,33.78,1817801,0.0,1.0
11,2018-04-17,33.49,33.61,33.44,33.56,33.56,1428663,0.0,1.0
12,2018-04-16,33.39,33.51,33.34,33.48,33.48,1592786,0.0,1.0
13,2018-04-13,33.5,33.5,33.145,33.23,33.23,612086,0.0,1.0
14,2018-04-12,33.08,33.16,33.04,33.11,33.11,1854562,0.0,1.0
15,2018-04-11,33.23,33.3,33.085,33.1,33.1,618301,0.0,1.0
16,2018-04-10,33.18,33.24,33.06,33.17,33.17,517931,0.0,1.0
17,2018-04-09,32.96,33.12,32.86,32.87,32.87,739239,0.0,1.0
18,2018-04-06,32.76,32.84,32.45,32.52,32.52,467007,0.0,1.0
19,2018-04-05,32.61,32.76,32.6,32.63,32.63,412734,0.0,1.0
20,2018-04-04,31.9,32.31,31.89,32.3,32.3,955452,0.0,1.0
21,2018-04-03,32.21,32.3,32.04,32.26,32.26,912753,0.0,1.0
22,2018-04-02,32.54,32.58,31.78,32.13,32.13,1187480,0.0,1.0
23,2018-03-29,32.62,32.72,32.41,32.51,32.51,456394,0.0,1.0
24,2018-03-28,32.19,32.56,32.12,32.29,32.29,1070752,0.0,1.0
25,2018-03-27,32.24,32.35,31.78,31.9,31.9,1188442,0.0,1.0
26,2018-03-26,32.18,32.37,31.96,32.37,32.37,881067,0.0,1.0
27,2018-03-23,31.84,31.88,31.52,31.55,31.55,1227512,0.0,1.0
28,2018-03-22,32.05,32.09,31.69,31.71,31.71,888971,0.0,1.0
29,2018-03-21,32.48,32.61,32.32,32.48,32.48,583074,0.0,1.0
30,2018-03-20,32.53,32.63,32.465,32.55,32.55,1097287,0.0,1.0
31,2018-03-19,32.87,32.89,32.545,32.71,32.71,753000,0.0,1.0
32,2018-03-16,32.92,33.02,32.835,32.87,32.87,527408,0.0,1.0
33,2018-03-15,32.72,32.825,32.63,32.67,32.67,488817,0.0,1.0
34,2018-03-14,33.02,33.05,32.76,32.91,32.91,805919,0.0,1.0
35,2018-03-13,33.18,33.21,32.82,32.85,32.85,610917,0.0,1.0
36,2018-03-12,32.89,32.99,32.88,32.98,32.98,525614,0.0,1.0
37,2018-03-09,32.72,32.88,32.64,32.87,32.87,725629,0.0,1.0
38,2018-03-08,32.87,32.92,32.6,32.7,32.7,438669,0.0,1.0
39,2018-03-07,32.62,32.9,32.6,32.85,32.85,963721,0.0,1.0
40,2018-03-06,32.85,32.87,32.68,32.8,32.8,1117715,0.0,1.0
41,2018-03-05,32.31,32.665,32.23,32.63,32.63,1743514,0.0,1.0
42,2018-03-02,32.43,32.605,32.205,32.57,32.57,1847456,0.0,1.0
43,2018-03-01,32.66,32.915,32.32,32.53,32.53,2497746,0.0,1.0
44,2018-02-28,33.23,33.26,32.82,32.85,32.85,900851,0.0,1.0
45,2018-02-27,33.59,33.62,33.23,33.24,33.24,1130637,0.0,1.0
46,2018-02-26,33.44,33.81,33.38,33.76,33.76,4613065,0.0,1.0
47,2018-02-23,33.23,33.505,33.17,33.48,33.48,2625553,0.0,1.0
48,2018-02-22,33.29,33.53,33.23,33.34,33.34,760620,0.0,1.0
49,2018-02-21,33.24,33.46,32.94,32.96,32.96,786240,0.0,1.0
50,2018-02-20,33.51,33.6,33.325,33.42,33.42,580612,0.0,1.0
51,2018-02-16,33.47,33.7,33.45,33.54,33.54,595347,0.0,1.0
52,2018-02-15,33.41,33.55,33.17,33.52,33.52,464671,0.0,1.0
53,2018-02-14,32.65,33.43,32.65,33.4,33.4,1111052,0.0,1.0
54,2018-02-13,32.81,32.9766,32.79,32.93,32.93,602479,0.0,1.0
55,2018-02-12,32.91,33.26,32.84,33.18,33.18,1194507,0.0,1.0
56,2018-02-09,32.66,32.79,31.73,32.67,32.67,2914253,0.0,1.0
57,2018-02-08,33.34,33.5,32.51,32.52,32.52,1553634,0.0,1.0
58,2018-02-07,33.6,33.83,33.44,33.49,33.49,869976,0.0,1.0
59,2018-02-06,33.21,34.16,33.15,34.15,34.15,2806556,0.0,1.0
60,2018-02-05,34.37,34.56,33.21,33.36,33.36,3475119,0.0,1.0
61,2018-02-02,35.13,35.13,34.685,34.76,34.76,1199504,0.0,1.0
62,2018-02-01,35.48,35.86,35.44,35.78,35.78,1609140,0.0,1.0
63,2018-01-31,35.71,35.8,35.56,35.61,35.61,608808,0.0,1.0
64,2018-01-30,35.69,35.73,35.44,35.44,35.44,659552,0.0,1.0
65,2018-01-29,35.76,35.8869,35.69,35.81,35.81,624671,0.0,1.0
66,2018-01-26,36.17,36.3,36.07,36.24,36.24,408100,0.0,1.0
67,2018-01-25,36.29,36.38,36.04,36.09,36.09,680100,0.0,1.0
68,2018-01-24,36.0,36.04,35.81,35.94,35.94,441100,0.0,1.0
69,2018-01-23,35.69,35.81,35.65,35.76,35.76,491400,0.0,1.0
70,2018-01-22,35.55,35.78,35.51,35.73,35.73,797700,0.0,1.0
71,2018-01-19,35.2,35.24,35.02,35.22,35.22,749900,0.0,1.0
72,2018-01-18,35.08,35.13,34.96,35.06,35.06,748100,0.0,1.0
73,2018-01-17,35.13,35.3,35.0,35.16,35.16,1870400,0.0,1.0
