,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,32.78,32.78,32.62,32.67,32.67,363224,0.0,1.0
1,2018-05-01,32.68,32.73,32.36,32.57,32.57,498854,0.0,1.0
2,2018-04-30,32.69,32.85,32.68,32.68,32.68,1185397,0.0,1.0
3,2018-04-27,32.65,32.805,32.54,32.78,32.78,752352,0.0,1.0
4,2018-04-26,32.66,32.71,32.515,32.6,32.6,599819,0.0,1.0
5,2018-04-25,32.46,32.52,32.33,32.47,32.47,549044,0.0,1.0
6,2018-04-24,32.67,32.795,32.47,32.57,32.57,1064685,0.0,1.0
7,2018-04-23,32.71,32.73,32.57,32.66,32.66,562829,0.0,1.0
8,2018-04-20,32.73,32.8,32.64,32.72,32.72,1161810,0.0,1.0
9,2018-04-19,32.91,32.97,32.75,32.86,32.86,1217764,0.0,1.0
10,2018-04-18,32.8,32.905,32.78,32.85,32.85,1523686,0.0,1.0
11,2018-04-17,32.64,32.76,32.59,32.72,32.72,1618817,0.0,1.0
12,2018-04-16,32.44,32.52,32.35,32.49,32.49,1455908,0.0,1.0
13,2018-04-13,32.4,32.4,32.22,32.32,32.32,1063919,0.0,1.0
14,2018-04-12,32.12,32.29,32.12,32.28,32.28,1043475,0.0,1.0
15,2018-04-11,32.17,32.3,32.09,32.13,32.13,888677,0.0,1.0
16,2018-04-10,32.2,32.35,32.17,32.28,32.28,937301,0.0,1.0
17,2018-04-09,31.92,32.1101,31.835,31.93,31.93,810880,0.0,1.0
18,2018-04-06,31.77,31.9,31.55,31.63,31.63,2319921,0.0,1.0
19,2018-04-05,31.64,31.7999,31.62,31.72,31.72,733076,0.0,1.0
20,2018-04-04,30.91,31.42,30.91,31.41,31.41,3401886,0.0,1.0
21,2018-04-03,31.19,31.28,31.03,31.24,31.24,1407812,0.0,1.0
22,2018-04-02,31.4,31.465,30.775,30.98,30.98,2328281,0.0,1.0
23,2018-03-29,31.46,31.52,31.27,31.4,31.4,1235562,0.0,1.0
24,2018-03-28,31.13,31.43,31.01,31.16,31.16,1401060,0.0,1.0
25,2018-03-27,31.34,31.39,30.81,30.92,30.92,1599160,0.0,1.0
26,2018-03-26,31.27,31.4,30.94,31.36,31.36,943512,0.0,1.0
27,2018-03-23,31.08,31.15,30.72,30.75,30.75,1158524,0.0,1.0
28,2018-03-22,31.21,31.35,31.0,31.0,31.0,1421315,0.0,1.0
29,2018-03-21,31.62,31.81,31.55,31.66,31.66,613892,0.0,1.0
30,2018-03-20,31.56,31.74,31.54,31.64,31.64,652735,0.0,1.0
31,2018-03-19,31.84,31.85,31.58,31.73,31.73,547145,0.0,1.0
32,2018-03-16,31.84,31.99,31.8234,31.88,31.88,617100,0.0,1.0
33,2018-03-15,31.85,32.01,31.83,31.89,31.89,529883,0.0,1.0
34,2018-03-14,32.04,32.09,31.75,31.91,31.91,661776,0.0,1.0
35,2018-03-13,32.11,32.13,31.75,31.8,31.8,681200,0.0,1.0
36,2018-03-12,31.94,32.02,31.89,32.0,32.0,726908,0.0,1.0
37,2018-03-09,31.9,31.98,31.82,31.98,31.98,696986,0.0,1.0
38,2018-03-08,31.93,31.99,31.72,31.81,31.81,739340,0.0,1.0
39,2018-03-07,31.5,31.77,31.48,31.77,31.77,785895,0.0,1.0
40,2018-03-06,31.65,31.6738,31.49,31.62,31.62,330694,0.0,1.0
41,2018-03-05,31.04,31.435,31.04,31.43,31.43,636329,0.0,1.0
42,2018-03-02,31.18,31.38,30.96,31.37,31.37,1444282,0.0,1.0
43,2018-03-01,31.48,31.61,31.05,31.4,31.4,1700252,0.0,1.0
44,2018-02-28,32.04,32.04,31.63,31.63,31.63,829205,0.0,1.0
45,2018-02-27,32.19,32.22,31.84,31.84,31.84,767589,0.0,1.0
46,2018-02-26,32.3,32.41,32.105,32.39,32.39,416744,0.0,1.0
47,2018-02-23,32.03,32.21,31.98,32.19,32.19,582584,0.0,1.0
48,2018-02-22,31.98,32.14,31.87,31.99,31.99,822810,0.0,1.0
49,2018-02-21,32.02,32.27,31.77,31.78,31.78,839987,0.0,1.0
50,2018-02-20,32.03,32.12,31.81,31.88,31.88,690272,0.0,1.0
51,2018-02-16,32.18,32.35,32.09,32.15,32.15,496450,0.0,1.0
52,2018-02-15,32.1,32.14,31.86,32.09,32.09,632455,0.0,1.0
53,2018-02-14,30.98,31.8,30.98,31.78,31.78,697049,0.0,1.0
54,2018-02-13,31.05,31.16,30.99,31.13,31.13,418897,0.0,1.0
55,2018-02-12,30.95,31.21,30.88,31.18,31.18,1057469,0.0,1.0
56,2018-02-09,30.72,30.85,29.8389,30.69,30.69,2926338,0.0,1.0
57,2018-02-08,31.46,31.46,30.64,30.66,30.66,1924025,0.0,1.0
58,2018-02-07,31.5,31.78,31.36,31.48,31.48,1757853,0.0,1.0
59,2018-02-06,31.1,32.04,31.08,32.04,32.04,2850458,0.0,1.0
60,2018-02-05,32.19,32.35,31.015,31.16,31.16,2951764,0.0,1.0
61,2018-02-02,32.93,32.97,32.52,32.57,32.57,950245,0.0,1.0
62,2018-02-01,33.27,33.52,33.23,33.5,33.5,564376,0.0,1.0
63,2018-01-31,33.48,33.49,33.26,33.33,33.33,528660,0.0,1.0
64,2018-01-30,33.41,33.43,33.17,33.22,33.22,581002,0.0,1.0
65,2018-01-29,33.44,33.47,33.29,33.44,33.44,397073,0.0,1.0
66,2018-01-26,33.6,33.73,33.55,33.73,33.73,575683,0.0,1.0
67,2018-01-25,33.6,33.62,33.2633,33.35,33.35,577051,0.0,1.0
68,2018-01-24,33.47,33.49,33.26,33.39,33.39,497935,0.0,1.0
69,2018-01-23,33.28,33.37,33.23,33.36,33.36,401858,0.0,1.0
70,2018-01-22,33.18,33.37,33.16,33.34,33.34,347570,0.0,1.0
71,2018-01-19,33.12,33.19,33.02,33.14,33.14,563074,0.0,1.0
72,2018-01-18,32.93,32.99,32.81,32.95,32.95,473950,0.0,1.0
73,2018-01-17,32.92,33.12,32.82,32.99,32.99,3766138,0.0,1.0
74,2018-01-16,32.94,33.0,32.85,32.88,32.88,903123,0.0,1.0
75,2018-01-12,32.67,32.81,32.615,32.79,32.79,634126,0.0,1.0
76,2018-01-11,32.27,32.38,32.26,32.35,32.35,286554,0.0,1.0
77,2018-01-10,32.32,32.32,32.09,32.13,32.13,658145,0.0,1.0
78,2018-01-09,32.2,32.33,32.12,32.31,32.31,2582526,0.0,1.0
79,2018-01-08,32.2,32.2,32.113,32.14,32.14,797390,0.0,1.0
80,2018-01-05,32.16,32.2962,32.09,32.25,32.25,528325,0.0,1.0
81,2018-01-04,32.0,32.11,31.92,31.95,31.95,1044553,0.0,1.0
82,2018-01-03,31.38,31.53,31.34,31.45,31.45,2355987,0.0,1.0
83,2018-01-02,31.19,31.32,31.15,31.29,31.29,1366834,0.0,1.0
84,2017-12-29,31.37,31.39,31.18,31.22,31.22,874471,0.0,1.0
85,2017-12-28,31.36,31.38,31.225,31.27,31.27,1725448,0.0,1.0
86,2017-12-27,31.27,31.33,31.19,31.23,31.23,2614766,0.0,1.0
87,2017-12-26,31.16,31.33,31.15,31.22,31.22,606654,0.0,1.0
88,2017-12-22,31.075,31.21,31.06,31.19,31.19,279052,0.0,1.0
89,2017-12-21,31.1,31.31,31.085,31.21,31.21,243100,0.0,1.0
90,2017-12-20,31.18,31.2,31.08,31.12,31.12,339187,0.0,1.0
91,2017-12-19,31.27,31.3211,31.13,31.22,31.22,536258,0.0949,1.0
92,2017-12-18,31.4,31.485,31.2925,31.33,31.2351,391147,0.0,1.0
93,2017-12-15,30.88,30.9668,30.78,30.94,30.8462,434693,0.0,1.0
94,2017-12-14,31.24,31.29,30.89,30.92,30.8263,389061,0.0,1.0
95,2017-12-13,31.2,31.28,31.11,31.25,31.1553,606397,0.0,1.0
96,2017-12-12,31.17,31.26,31.12,31.26,31.1653,483101,0.0,1.0
97,2017-12-11,31.21,31.27,31.19,31.26,31.1653,450376,0.0,1.0
98,2017-12-08,31.22,31.27,31.14,31.27,31.1752,380195,0.0,1.0
99,2017-12-07,31.11,31.27,31.08,31.19,31.0955,452787,0.0,1.0
100,2017-12-06,31.03,31.16,30.99,31.08,30.9858,232392,0.0,1.0
101,2017-12-05,31.13,31.275,31.061,31.12,31.0257,789177,0.0,1.0
102,2017-12-04,31.32,31.4144,31.19,31.25,31.1553,2933063,0.0,1.0
103,2017-12-01,31.18,31.28,30.99,31.17,31.0755,1376108,0.0,1.0
104,2017-11-30,31.49,31.55,31.35,31.36,31.265,680183,0.0,1.0
105,2017-11-29,31.52,31.58,31.33,31.36,31.265,465821,0.0,1.0
106,2017-11-28,31.41,31.4929,31.349,31.42,31.3248,270743,0.0,1.0
107,2017-11-27,31.45,31.46,31.28,31.31,31.2151,212156,0.0,1.0
108,2017-11-24,31.51,31.55,31.48,31.5,31.4045,212698,0.0,1.0
109,2017-11-22,31.06,31.105,30.89,31.01,30.916,503654,0.0,1.0
110,2017-11-21,30.86,30.94,30.85,30.87,30.7764,261490,0.0,1.0
