,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,27.87,27.87,27.76,27.855,27.855,603911,0.0,1.0
1,2018-05-01,27.77,27.83,27.565,27.79,27.79,986123,0.0,1.0
2,2018-04-30,27.96,28.02,27.86,27.86,27.86,772319,0.0,1.0
3,2018-04-27,27.7,27.79,27.65,27.75,27.75,465086,0.0,1.0
4,2018-04-26,27.57,27.67,27.53,27.62,27.62,440780,0.0,1.0
5,2018-04-25,27.4,27.45,27.335,27.41,27.41,532902,0.0,1.0
6,2018-04-24,27.57,27.64,27.32,27.39,27.39,693070,0.0,1.0
7,2018-04-23,27.52,27.61,27.46,27.48,27.48,545843,0.0,1.0
8,2018-04-20,27.67,27.68,27.51,27.59,27.59,419625,0.0,1.0
9,2018-04-19,27.84,27.89,27.66,27.76,27.76,677343,0.0,1.0
10,2018-04-18,27.54,27.715,27.53,27.63,27.63,821283,0.0,1.0
11,2018-04-17,27.05,27.21,27.02,27.15,27.15,364866,0.0,1.0
12,2018-04-16,27.0,27.075,26.94,27.06,27.06,609686,0.0,1.0
13,2018-04-13,27.12,27.13,26.965,27.01,27.01,796196,0.0,1.0
14,2018-04-12,26.79,26.93,26.74,26.84,26.84,485245,0.0,1.0
15,2018-04-11,26.89,27.02,26.88,26.9,26.9,506123,0.0,1.0
16,2018-04-10,26.75,26.88,26.69,26.85,26.85,1103440,0.0,1.0
17,2018-04-09,26.53,26.69,26.485,26.52,26.52,740302,0.0,1.0
18,2018-04-06,26.42,26.53,26.16,26.28,26.28,982130,0.0,1.0
19,2018-04-05,26.16,26.36,26.085,26.28,26.28,6831249,0.0,1.0
20,2018-04-04,25.64,26.11,25.62,26.11,26.11,1416999,0.0,1.0
21,2018-04-03,26.36,26.43,26.225,26.4,26.4,983196,0.0,1.0
22,2018-04-02,26.48,26.51,26.08,26.22,26.22,1556677,0.0,1.0
23,2018-03-29,26.46,26.75,26.445,26.67,26.67,1271946,0.0,1.0
24,2018-03-28,26.14,26.25,26.015,26.04,26.04,1435419,0.0,1.0
25,2018-03-27,26.56,26.66,26.225,26.29,26.29,1357447,0.0,1.0
26,2018-03-26,26.3,26.49,26.145,26.49,26.49,1052042,0.0,1.0
27,2018-03-23,26.33,26.395,26.0131,26.02,26.02,964267,0.0,1.0
28,2018-03-22,26.69,26.79,26.49,26.49,26.49,731290,0.0,1.0
29,2018-03-21,26.93,27.157,26.92,27.06,27.06,474997,0.0,1.0
30,2018-03-20,26.89,26.96,26.86,26.9,26.9,361021,0.0,1.0
31,2018-03-19,26.79,26.84,26.66,26.77,26.77,743114,0.0,1.0
32,2018-03-16,27.04,27.06,26.95,26.96,26.96,588628,0.0,1.0
33,2018-03-15,27.21,27.25,27.05,27.07,27.07,630853,0.0,1.0
34,2018-03-14,27.38,27.4,27.2099,27.31,27.31,699488,0.0,1.0
35,2018-03-13,27.5,27.55,27.245,27.27,27.27,722929,0.0,1.0
36,2018-03-12,27.1,27.355,27.1,27.33,27.33,624701,0.0,1.0
37,2018-03-09,26.88,27.06,26.845,27.06,27.06,382706,0.0,1.0
38,2018-03-08,26.81,26.86,26.72,26.76,26.76,741403,0.0,1.0
39,2018-03-07,26.66,26.74,26.52,26.72,26.72,768090,0.0,1.0
40,2018-03-06,26.89,26.905,26.7899,26.81,26.81,688618,0.0,1.0
41,2018-03-05,26.3,26.61,26.26,26.59,26.59,909653,0.0,1.0
42,2018-03-02,26.56,26.78,26.2023,26.74,26.74,1424152,0.0,1.0
43,2018-03-01,26.67,26.76,26.34,26.59,26.59,1453394,0.0,1.0
44,2018-02-28,27.03,27.12,26.69,26.69,26.69,1075333,0.0,1.0
45,2018-02-27,27.2,27.205,26.915,26.93,26.93,1019349,0.0,1.0
46,2018-02-26,27.39,27.58,27.38,27.57,27.57,684951,0.0,1.0
47,2018-02-23,27.1,27.365,27.1,27.35,27.35,598046,0.0,1.0
48,2018-02-22,26.97,27.1,26.87,26.89,26.89,739646,0.0,1.0
49,2018-02-21,27.17,27.35,26.94,26.97,26.97,995977,0.0,1.0
50,2018-02-20,26.83,26.915,26.72,26.74,26.74,1561940,0.0,1.0
51,2018-02-16,26.85,27.04,26.79,26.96,26.96,747674,0.0,1.0
52,2018-02-15,26.72,27.01,26.59,27.01,27.01,1014252,0.0,1.0
53,2018-02-14,25.93,26.51,25.9,26.49,26.49,600029,0.0,1.0
54,2018-02-13,26.05,26.27,26.05,26.22,26.22,508542,0.0,1.0
55,2018-02-12,25.87,26.04,25.75,26.01,26.01,1135573,0.0,1.0
56,2018-02-09,26.07,26.07,25.27,25.87,25.87,1822781,0.0,1.0
57,2018-02-08,26.28,26.28,25.54,25.56,25.56,1933764,0.0,1.0
58,2018-02-07,26.15,26.37,26.02,26.07,26.07,1461328,0.0,1.0
59,2018-02-06,26.0,26.57,25.94,26.42,26.42,2516743,0.0,1.0
60,2018-02-05,26.86,27.045,26.225,26.24,26.24,2274222,0.0,1.0
61,2018-02-02,27.35,27.35,27.0,27.0,27.0,970932,0.0,1.0
62,2018-02-01,27.52,27.69,27.5,27.59,27.59,1273668,0.0,1.0
63,2018-01-31,27.65,27.7,27.39,27.52,27.52,1120331,0.0,1.0
64,2018-01-30,27.79,27.79,27.58,27.66,27.66,698080,0.0,1.0
65,2018-01-29,27.93,28.04,27.89,27.94,27.94,488637,0.0,1.0
66,2018-01-26,27.96,28.1,27.93,28.05,28.05,498955,0.0,1.0
67,2018-01-25,28.13,28.13,27.86,27.97,27.97,1033529,0.0,1.0
68,2018-01-24,28.25,28.35,28.15,28.19,28.19,838549,0.0,1.0
69,2018-01-23,27.74,27.85,27.73,27.8,27.8,634152,0.0,1.0
70,2018-01-22,27.69,27.71,27.57,27.68,27.68,757122,0.0,1.0
71,2018-01-19,27.51,27.6,27.5,27.6,27.6,400482,0.0,1.0
72,2018-01-18,27.3,27.36,27.26,27.33,27.33,555805,0.0,1.0
73,2018-01-17,27.38,27.5967,27.38,27.52,27.52,462682,0.0,1.0
74,2018-01-16,27.46,27.52,27.37,27.39,27.39,909269,0.0,1.0
75,2018-01-12,27.13,27.37,27.12,27.35,27.35,427195,0.0,1.0
76,2018-01-11,27.04,27.22,27.02,27.22,27.22,892274,0.0,1.0
77,2018-01-10,26.93,27.01,26.92,26.99,26.99,533457,0.0,1.0
78,2018-01-09,27.03,27.09,26.98,27.04,27.04,562001,0.0,1.0
79,2018-01-08,26.97,27.03,26.94,27.03,27.03,515009,0.0,1.0
80,2018-01-05,26.93,27.04,26.93,27.03,27.03,634354,0.0,1.0
81,2018-01-04,26.98,27.05,26.9,27.03,27.03,999504,0.0,1.0
82,2018-01-03,26.73,26.84,26.7,26.77,26.77,1205518,0.0,1.0
83,2018-01-02,26.37,26.46,26.37,26.44,26.44,1018968,0.0,1.0
84,2017-12-29,25.97,26.08,25.91,25.93,25.93,534750,0.0,1.0
85,2017-12-28,25.91,25.98,25.9,25.91,25.91,319338,0.0,1.0
86,2017-12-27,25.85,25.89,25.8,25.81,25.81,415461,0.0,1.0
87,2017-12-26,25.69,25.72,25.64,25.71,25.71,307649,0.0,1.0
88,2017-12-22,25.635,25.74,25.62,25.74,25.74,421106,0.0,1.0
89,2017-12-21,25.71,25.795,25.66,25.78,25.78,634561,0.0,1.0
90,2017-12-20,25.7,25.79,25.685,25.71,25.71,371617,0.0,1.0
91,2017-12-19,25.73,25.765,25.66,25.7,25.7,919552,0.6407,1.0
92,2017-12-18,26.435,26.53,26.4,26.49,25.8457,938498,0.0,1.0
93,2017-12-15,26.41,26.5,26.35,26.48,25.8359,723594,0.0,1.0
94,2017-12-14,26.525,26.55,26.45,26.5,25.8554,647464,0.0,1.0
95,2017-12-13,26.65,26.84,26.65,26.78,26.1286,575946,0.0,1.0
96,2017-12-12,26.6,26.64,26.54,26.63,25.9823,648544,0.0,1.0
97,2017-12-11,26.54,26.635,26.53,26.63,25.9823,414118,0.0,1.0
98,2017-12-08,26.3,26.42,26.3,26.39,25.7481,358431,0.0,1.0
99,2017-12-07,26.05,26.15,25.97,26.13,25.4944,582723,0.0,1.0
100,2017-12-06,26.14,26.16,26.06,26.15,25.5139,619348,0.0,1.0
101,2017-12-05,26.41,26.5088,26.395,26.42,25.7774,992374,0.0,1.0
102,2017-12-04,26.46,26.5,26.34,26.34,25.6993,603954,0.0,1.0
103,2017-12-01,26.5,26.55,26.37,26.48,25.8359,1200722,0.0,1.0
104,2017-11-30,26.49,26.535,26.41,26.44,25.7969,765702,0.0,1.0
105,2017-11-29,26.35,26.38,26.26,26.3,25.6603,560119,0.0,1.0
106,2017-11-28,26.45,26.56,26.44,26.52,25.8749,362404,0.0,1.0
107,2017-11-27,26.47,26.4793,26.37,26.37,25.7286,466616,0.0,1.0
108,2017-11-24,26.48,26.53,26.48,26.49,25.8457,139327,0.0,1.0
109,2017-11-22,26.32,26.46,26.31,26.42,25.7774,505420,0.0,1.0
110,2017-11-21,26.17,26.32,26.17,26.3,25.6603,1342519,0.0,1.0
111,2017-11-20,25.77,25.88,25.73,25.88,25.2505,448796,0.0,1.0
112,2017-11-17,25.76,25.8271,25.75,25.77,25.1432,530255,0.0,1.0
113,2017-11-16,25.51,25.61,25.41,25.59,24.9676,807959,0.0,1.0
114,2017-11-15,25.69,25.69,25.585,25.61,24.9871,414617,0.0,1.0
115,2017-11-14,25.8,25.8,25.675,25.74,25.1139,514037,0.0,1.0
116,2017-11-13,25.8,25.92,25.8,25.92,25.2895,333704,0.0,1.0
117,2017-11-10,25.82,25.89,25.815,25.86,25.231,414466,0.0,1.0
118,2017-11-09,25.81,25.88,25.75,25.83,25.2017,591477,0.0,1.0
119,2017-11-08,25.76,25.8156,25.76,25.81,25.1822,494982,0.0,1.0
120,2017-11-07,25.74,25.77,25.635,25.64,25.0163,582434,0.0,1.0
121,2017-11-06,25.56,25.66,25.45,25.61,24.9871,568616,0.0,1.0
122,2017-11-03,25.65,25.68,25.54,25.66,25.0359,756558,0.0,1.0
123,2017-11-02,25.7,25.74,25.64,25.74,25.1139,531970,0.0,1.0
124,2017-11-01,25.7,25.78,25.67,25.7,25.0749,630321,0.0,1.0
125,2017-10-31,25.5,25.57,25.49,25.53,24.909,374587,0.0,1.0
126,2017-10-30,25.53,25.53,25.44,25.52,24.8993,224816,0.0,1.0
127,2017-10-27,25.38,25.57,25.34,25.53,24.909,542148,0.0,1.0
128,2017-10-26,25.32,25.38,25.2,25.21,24.5968,660229,0.0,1.0
129,2017-10-25,25.24,25.35,25.04,25.12,24.509,619788,0.0,1.0
130,2017-10-24,25.17,25.2,25.105,25.13,24.5187,557732,0.0,1.0
131,2017-10-23,25.21,25.21,25.11,25.14,24.5285,403798,0.0,1.0
132,2017-10-20,25.2,25.22,25.13,25.21,24.5968,471920,0.0,1.0
133,2017-10-19,25.15,25.27,25.09,25.26,24.6456,1723311,0.0,1.0
134,2017-10-18,25.19,25.2499,25.15,25.21,24.5968,404658,0.0,1.0
135,2017-10-17,25.12,25.18,25.01,25.15,24.5383,803385,0.0,1.0
136,2017-10-16,25.23,25.23,25.17,25.23,24.6163,590047,0.0,1.0
137,2017-10-13,25.2,25.285,25.18,25.23,24.6163,635646,0.0,1.0
138,2017-10-12,24.97,25.045,24.96,25.02,24.4114,596511,0.0,1.0
139,2017-10-11,24.8,24.91,24.7504,24.9,24.2943,541932,0.0,1.0
140,2017-10-10,24.9,24.98,24.89,24.94,24.3334,520488,0.0,1.0
141,2017-10-09,24.76,24.76,24.69,24.72,24.1187,365465,0.0,1.0
142,2017-10-06,24.53,24.72,24.53,24.67,24.0699,642928,0.0,1.0
143,2017-10-05,24.44,24.61,24.43,24.58,23.9821,402749,0.0,1.0
144,2017-10-04,24.33,24.4,24.31,24.4,23.8065,669267,0.0,1.0
145,2017-10-03,24.45,24.46,24.31,24.45,23.8553,600497,0.0,1.0
146,2017-10-02,24.5,24.65,24.5,24.54,23.9431,672100,0.0,1.0
147,2017-09-29,24.29,24.45,24.27,24.43,23.8358,418045,0.0,1.0
148,2017-09-28,24.29,24.43,24.29,24.41,23.8163,549088,0.0,1.0
