,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,36.29,36.29,35.87,35.93,35.93,2005168,0.0,1.0
1,2018-05-01,35.95,36.19,35.69,36.15,36.15,3444861,0.0,1.0
2,2018-04-30,36.46,36.48,36.27,36.3,36.3,5060186,0.0,1.0
3,2018-04-27,36.35,36.35,36.06,36.28,36.28,2796180,0.0,1.0
4,2018-04-26,35.92,36.1,35.89,36.07,36.07,5342543,0.0,1.0
5,2018-04-25,35.89,35.92,35.65,35.92,35.92,5580808,0.0,1.0
6,2018-04-24,36.37,36.43,35.745,35.81,35.81,8909596,0.0,1.0
7,2018-04-23,36.63,36.67,36.39,36.48,36.48,3569604,0.0,1.0
8,2018-04-20,37.03,37.03,36.67,36.78,36.78,6151007,0.0,1.0
9,2018-04-19,37.63,37.81,37.29,37.4,37.4,8312381,0.0,1.0
10,2018-04-18,37.68,37.865,37.59,37.79,37.79,4202835,0.0,1.0
11,2018-04-17,37.46,37.64,37.44,37.59,37.59,2728643,0.0,1.0
12,2018-04-16,37.88,38.05,37.86,38.05,38.05,3796289,0.0,1.0
13,2018-04-13,38.1,38.13,37.765,37.87,37.87,3184181,0.0,1.0
14,2018-04-12,37.86,38.165,37.86,38.13,38.13,4617796,0.0,1.0
15,2018-04-11,38.13,38.29,38.07,38.16,38.16,2861509,0.0,1.0
16,2018-04-10,38.17,38.265,37.98,38.22,38.22,4282360,0.0,1.0
17,2018-04-09,37.9,38.02,37.73,37.73,37.73,6385373,0.0,1.0
18,2018-04-06,37.9,38.08,37.36,37.49,37.49,4697131,0.0,1.0
19,2018-04-05,38.18,38.31,37.985,38.22,38.22,4141562,0.0,1.0
20,2018-04-04,37.29,38.129,37.16,38.09,38.09,4136746,0.0,1.0
21,2018-04-03,37.76,37.965,37.615,37.94,37.94,4799305,0.0,1.0
22,2018-04-02,37.95,38.05,37.26,37.45,37.45,6781525,0.0,1.0
23,2018-03-29,37.95,38.44,37.9,38.34,38.34,5613523,0.0,1.0
24,2018-03-28,37.76,37.87,37.52,37.72,37.72,7888794,0.0,1.0
25,2018-03-27,38.45,38.56,37.8,37.89,37.89,7204092,0.0,1.0
26,2018-03-26,38.2,38.435,37.83,38.41,38.41,4579795,0.0,1.0
27,2018-03-23,37.81,37.9,37.1,37.12,37.12,6235920,0.0,1.0
28,2018-03-22,38.17,38.3,37.775,37.81,37.81,7050504,0.0,1.0
29,2018-03-21,38.47,38.875,38.42,38.68,38.68,3827608,0.0,1.0
30,2018-03-20,38.47,38.56,38.36,38.51,38.51,2964512,0.0,1.0
31,2018-03-19,38.53,38.53,38.06,38.23,38.23,5131174,0.0,1.0
32,2018-03-16,38.5,38.59,38.44,38.48,38.48,4059529,0.0,1.0
33,2018-03-15,38.77,38.82,38.52,38.59,38.59,3804651,0.0,1.0
34,2018-03-14,38.59,38.67,38.28,38.49,38.49,6473445,0.0,1.0
35,2018-03-13,38.85,38.89,38.43,38.51,38.51,5001063,0.0,1.0
36,2018-03-12,38.49,38.64,38.415,38.53,38.53,5955727,0.0,1.0
37,2018-03-09,37.86,38.19,37.715,38.19,38.19,4408343,0.0,1.0
38,2018-03-08,37.66,37.71,37.48,37.64,37.64,2912543,0.0,1.0
39,2018-03-07,37.3,37.57,37.23,37.53,37.53,3693188,0.0,1.0
40,2018-03-06,37.64,37.64,37.29,37.5,37.5,4395515,0.0,1.0
41,2018-03-05,36.8,37.19,36.73,37.1,37.1,5623774,0.0,1.0
42,2018-03-02,36.59,37.09,36.48,37.03,37.03,4333702,0.0,1.0
43,2018-03-01,37.05,37.3,36.49,36.8,36.8,8415515,0.0,1.0
44,2018-02-28,37.1,37.17,36.64,36.65,36.65,3671021,0.0,1.0
45,2018-02-27,37.51,37.59,37.16,37.18,37.18,5713269,0.0,1.0
46,2018-02-26,37.79,38.0,37.575,37.92,37.92,2913640,0.0,1.0
47,2018-02-23,37.4,37.69,37.32,37.67,37.67,3519600,0.0,1.0
48,2018-02-22,36.98,37.17,36.875,36.97,36.97,4710876,0.0,1.0
49,2018-02-21,37.39,37.66,37.05,37.08,37.08,7781153,0.0,1.0
50,2018-02-20,37.02,37.345,37.02,37.21,37.21,6047679,0.0,1.0
51,2018-02-16,37.56,37.97,37.56,37.79,37.79,4624960,0.0,1.0
52,2018-02-15,37.43,37.73,37.09,37.73,37.73,5380402,0.0,1.0
53,2018-02-14,36.05,37.09,36.05,37.06,37.06,5781098,0.0,1.0
54,2018-02-13,36.3,36.56,36.245,36.47,36.47,4456592,0.0,1.0
55,2018-02-12,36.14,36.48,36.01,36.3,36.3,7110657,0.0,1.0
56,2018-02-09,35.76,36.19,35.15,35.92,35.92,17488206,0.0,1.0
57,2018-02-08,36.3,36.31,35.19,35.2,35.2,12327266,0.0,1.0
58,2018-02-07,36.81,37.08,36.45,36.49,36.49,9425377,0.0,1.0
59,2018-02-06,36.26,37.23,36.21,37.14,37.14,18032255,0.0,1.0
60,2018-02-05,37.64,37.9,36.685,36.76,36.76,14632707,0.0,1.0
61,2018-02-02,38.31,38.32,37.75,37.76,37.76,6136338,0.0,1.0
62,2018-02-01,38.6,38.765,38.49,38.54,38.54,6937284,0.0,1.0
63,2018-01-31,38.85,38.92,38.49,38.64,38.64,8551309,0.0,1.0
64,2018-01-30,38.48,38.51,38.27,38.35,38.35,5896582,0.0,1.0
65,2018-01-29,38.93,38.95,38.77,38.84,38.84,4972049,0.0,1.0
66,2018-01-26,39.01,39.19,38.94,39.17,39.17,4647756,0.0,1.0
67,2018-01-25,39.23,39.315,39.05,39.11,39.11,5677664,0.0,1.0
68,2018-01-24,39.04,39.195,38.87,39.0,39.0,5966640,0.0,1.0
69,2018-01-23,39.14,39.23,39.05,39.17,39.17,4026052,0.0,1.0
70,2018-01-22,39.14,39.355,39.115,39.32,39.32,6255964,0.0,1.0
71,2018-01-19,38.83,38.93,38.72,38.84,38.84,5011347,0.0,1.0
72,2018-01-18,38.18,38.36,38.12,38.25,38.25,5422796,0.0,1.0
73,2018-01-17,37.78,38.03,37.72,37.98,37.98,3999468,0.0,1.0
74,2018-01-16,37.71,37.84,37.515,37.53,37.53,5506906,0.0,1.0
75,2018-01-12,37.15,37.49,37.04,37.46,37.46,3182023,0.0,1.0
76,2018-01-11,36.97,37.18,36.93,37.18,37.18,4156703,0.0,1.0
77,2018-01-10,36.89,37.0,36.81,36.95,36.95,4606421,0.0,1.0
78,2018-01-09,37.32,37.33,37.17,37.31,37.31,3462843,0.0,1.0
79,2018-01-08,37.32,37.38,37.29,37.36,37.36,7207979,0.0,1.0
80,2018-01-05,37.3,37.49,37.26,37.46,37.46,3359438,0.0,1.0
81,2018-01-04,37.17,37.23,37.1,37.16,37.16,3300094,0.0,1.0
82,2018-01-03,37.04,37.25,37.04,37.17,37.17,3400464,0.0,1.0
83,2018-01-02,36.69,36.845,36.665,36.8,36.8,2288820,0.0,1.0
84,2017-12-29,36.35,36.425,36.2,36.21,36.21,2914120,0.0,1.0
85,2017-12-28,36.03,36.125,35.95,35.97,35.97,2294754,0.0,1.0
86,2017-12-27,35.48,35.555,35.42,35.5,35.5,2620257,0.0,1.0
87,2017-12-26,35.31,35.39,35.19,35.36,35.36,1902366,0.0,1.0
88,2017-12-22,35.68,35.84,35.63,35.8,35.8,2054881,0.0,1.0
89,2017-12-21,35.505,35.58,35.425,35.43,35.43,1777766,0.0,1.0
90,2017-12-20,35.55,35.62,35.47,35.51,35.51,3962892,0.0,1.0
91,2017-12-19,35.43,35.56,35.22,35.29,35.29,2905282,1.0189,1.0
92,2017-12-18,36.58,36.7,36.51,36.68,35.6507,2443148,0.0,1.0
93,2017-12-15,36.49,36.61,36.4,36.57,35.5438,2532131,0.0,1.0
94,2017-12-14,36.66,36.745,36.52,36.52,35.4952,2776766,0.0,1.0
95,2017-12-13,36.52,36.78,36.52,36.66,35.6312,2936808,0.0,1.0
96,2017-12-12,36.32,36.39,36.26,36.35,35.3299,2441479,0.0,1.0
97,2017-12-11,36.54,36.63,36.5,36.53,35.5049,2522598,0.0,1.0
98,2017-12-08,36.4,36.4,36.18,36.28,35.2619,2560827,0.0,1.0
99,2017-12-07,35.91,36.11,35.86,36.04,35.0286,3128009,0.0,1.0
100,2017-12-06,36.0,36.1,35.87,36.01,34.9995,4039469,0.0,1.0
101,2017-12-05,36.85,36.98,36.78,36.78,35.7479,4491890,0.0,1.0
102,2017-12-04,37.24,37.33,36.92,36.94,35.9034,6478147,0.0,1.0
103,2017-12-01,36.96,37.04,36.72,37.0,35.9617,7035510,0.0,1.0
104,2017-11-30,37.05,37.14,36.95,37.1,36.0589,10251972,0.0,1.0
105,2017-11-29,37.69,37.74,37.27,37.3,36.2533,9331898,0.0,1.0
106,2017-11-28,37.72,37.85,37.63,37.74,36.6809,4328011,0.0,1.0
107,2017-11-27,37.84,37.84,37.61,37.63,36.574,2341104,0.0,1.0
108,2017-11-24,38.32,38.46,38.31,38.4,37.3224,1400102,0.0,1.0
109,2017-11-22,38.4,38.42,38.23,38.32,37.2447,2110870,0.0,1.0
110,2017-11-21,38.22,38.29,38.19,38.2,37.128,3690866,0.0,1.0
111,2017-11-20,37.65,37.74,37.61,37.7,36.6421,2368298,0.0,1.0
112,2017-11-17,37.73,37.86,37.73,37.77,36.7101,3376861,0.0,1.0
113,2017-11-16,37.36,37.74,37.36,37.67,36.6129,3666971,0.0,1.0
114,2017-11-15,37.09,37.24,37.04,37.23,36.1852,4288192,0.0,1.0
115,2017-11-14,37.37,37.48,37.35,37.44,36.3894,2991169,0.0,1.0
116,2017-11-13,37.4,37.6,37.33,37.55,36.4963,2432409,0.0,1.0
117,2017-11-10,37.61,37.64,37.49,37.56,36.506,3845519,0.0,1.0
118,2017-11-09,37.58,37.615,37.4,37.6,36.5449,4323260,0.0,1.0
119,2017-11-08,37.95,37.98,37.89,37.97,36.9045,2879472,0.0,1.0
120,2017-11-07,38.08,38.09,37.875,37.9,36.8364,3673278,0.0,1.0
121,2017-11-06,37.9,38.01,37.9,37.99,36.9239,2795162,0.0,1.0
122,2017-11-03,37.91,37.96,37.74,37.91,36.8462,3649216,0.0,1.0
123,2017-11-02,37.97,37.99,37.85,37.94,36.8753,2671512,0.0,1.0
124,2017-11-01,38.23,38.255,37.97,38.03,36.9628,5600249,0.0,1.0
125,2017-10-31,38.04,38.115,38.04,38.1,37.0308,1794999,0.0,1.0
