,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,36.14,36.17,35.96,36.01,36.01,692504,0.0,1.0
1,2018-05-01,36.15,36.15,35.865,36.07,36.07,2304359,0.0,1.0
2,2018-04-30,36.21,36.36,36.19,36.25,36.25,1403196,0.0,1.0
3,2018-04-27,36.2,36.39,36.14,36.34,36.34,1304132,0.0,1.0
4,2018-04-26,36.37,36.44,36.2354,36.37,36.37,1500302,0.0,1.0
5,2018-04-25,36.04,36.2,35.91,36.09,36.09,1398781,0.0,1.0
6,2018-04-24,36.39,36.4538,36.08,36.18,36.18,1249378,0.0,1.0
7,2018-04-23,36.2,36.31,36.13,36.25,36.25,813128,0.0,1.0
8,2018-04-20,36.24,36.355,36.18,36.27,36.27,1574286,0.0,1.0
9,2018-04-19,36.62,36.65,36.27,36.37,36.37,1938186,0.0,1.0
10,2018-04-18,36.44,36.57,36.42,36.51,36.51,1002993,0.0,1.0
11,2018-04-17,36.26,36.35,36.2262,36.26,36.26,1748233,0.0,1.0
12,2018-04-16,36.32,36.34,36.131,36.19,36.19,1519892,0.0,1.0
13,2018-04-13,36.38,36.38,36.18,36.28,36.28,925490,0.0,1.0
14,2018-04-12,36.16,36.2963,36.11,36.25,36.25,1314891,0.0,1.0
15,2018-04-11,36.09,36.23,35.955,36.0,36.0,1294490,0.0,1.0
16,2018-04-10,35.94,36.16,35.92,36.06,36.06,1460239,0.0,1.0
17,2018-04-09,35.54,35.7462,35.42,35.52,35.52,1303023,0.0,1.0
18,2018-04-06,35.44,35.6,35.15,35.27,35.27,1728449,0.0,1.0
19,2018-04-05,35.14,35.45,35.13,35.37,35.37,1292679,0.0,1.0
20,2018-04-04,34.45,35.045,34.44,35.03,35.03,1856262,0.0,1.0
21,2018-04-03,34.69,34.75,34.45,34.66,34.66,1720542,0.0,1.0
22,2018-04-02,34.76,34.82,34.17,34.38,34.38,3125229,0.0,1.0
23,2018-03-29,34.8,34.945,34.64,34.75,34.75,2071911,0.0,1.0
24,2018-03-28,34.61,34.88,34.52,34.6,34.6,3133033,0.0,1.0
25,2018-03-27,34.8,34.82,34.24,34.35,34.35,3064219,0.0,1.0
26,2018-03-26,34.55,34.67,34.21,34.62,34.62,2470937,0.0,1.0
27,2018-03-23,34.35,34.43,33.91,33.92,33.92,2828836,0.0,1.0
28,2018-03-22,34.33,34.37,34.04,34.05,34.05,3088387,0.0,1.0
29,2018-03-21,34.58,34.8,34.53,34.68,34.68,1823502,0.0,1.0
30,2018-03-20,34.59,34.7,34.53,34.58,34.58,1492256,0.0,1.0
31,2018-03-19,34.81,34.83,34.49,34.63,34.63,3211741,0.0,1.0
32,2018-03-16,34.8,34.935,34.79,34.86,34.86,1729776,0.0,1.0
