,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,50.66,50.66,49.91,50.46,50.46,2882710,0.0,1.0
1,2018-05-01,51.33,51.3798,49.89,50.91,50.91,3627145,0.0,1.0
2,2018-04-30,51.67,51.69,51.32,51.6,51.6,2281010,0.0,1.0
3,2018-04-27,51.53,51.71,51.275,51.67,51.67,2061336,0.0,1.0
4,2018-04-26,51.0,51.37,50.73,51.26,51.26,3887724,0.0,1.0
5,2018-04-25,50.47,51.025,50.2,51.01,51.01,2792987,0.0,1.0
6,2018-04-24,51.53,51.65,50.81,50.96,50.96,3244851,0.0,1.0
7,2018-04-23,51.6,51.915,51.0,51.11,51.11,3979079,0.0,1.0
8,2018-04-20,52.24,52.3,51.62,52.21,52.21,5586687,0.0,1.0
9,2018-04-19,53.98,54.01,52.43,52.53,52.53,5110399,0.0,1.0
10,2018-04-18,54.49,54.65,54.11,54.11,54.11,3408251,0.0,1.0
11,2018-04-17,54.11,54.33,53.88,54.16,54.16,3188934,0.0,1.0
12,2018-04-16,54.05,54.05,53.635,53.75,53.75,1891192,0.0,1.0
13,2018-04-13,53.9,53.92,53.39,53.87,53.87,2457993,0.0,1.0
14,2018-04-12,53.45,53.74,53.14,53.41,53.41,3883366,0.0,1.0
15,2018-04-11,52.67,53.17,52.64,53.02,53.02,2086618,0.0,1.0
16,2018-04-10,52.8,52.98,52.34,52.94,52.94,5537558,0.0,1.0
17,2018-04-09,52.52,52.88,52.18,52.2,52.2,2297107,0.0,1.0
18,2018-04-06,52.28,52.7,52.02,52.34,52.34,3597192,0.0,1.0
19,2018-04-05,52.82,53.2,52.65,52.69,52.69,5188010,0.0,1.0
20,2018-04-04,50.48,52.695,50.37,52.62,52.62,6285545,0.0,1.0
21,2018-04-03,50.62,51.29,50.335,51.27,51.27,4936363,0.0,1.0
22,2018-04-02,50.97,51.31,49.81,50.15,50.15,4123257,0.0,1.0
23,2018-03-29,50.68,51.85,50.575,51.52,51.52,2980286,0.0,1.0
24,2018-03-28,50.63,50.8,50.11,50.23,50.23,3062625,0.0,1.0
25,2018-03-27,51.05,51.33,50.63,50.65,50.65,2752964,0.0,1.0
26,2018-03-26,50.88,51.19,49.8,51.15,51.15,3115661,0.0,1.0
27,2018-03-23,50.9,51.32,49.925,49.95,49.95,3826757,0.0,1.0
28,2018-03-22,50.84,51.39,50.59,50.76,50.76,5159689,0.0,1.0
29,2018-03-21,50.62,51.64,50.53,51.51,51.51,7326346,0.0,1.0
30,2018-03-20,50.0,50.24,49.93,50.02,50.02,2114926,0.0,1.0
31,2018-03-19,50.07,50.2375,49.44,49.82,49.82,3382846,0.0,1.0
32,2018-03-16,50.66,50.895,50.35,50.43,50.43,2440343,0.0,1.0
33,2018-03-15,51.36,51.41,50.815,50.86,50.86,2300180,0.0,1.0
34,2018-03-14,52.12,52.16,51.35,51.6,51.6,3244410,0.0,1.0
35,2018-03-13,52.2,52.44,51.685,51.86,51.86,2768047,0.0,1.0
36,2018-03-12,51.9,52.26,51.75,52.06,52.06,2515111,0.0,1.0
37,2018-03-09,51.88,52.28,51.685,51.87,51.87,3854759,0.0,1.0
38,2018-03-08,50.83,51.42,50.51,51.37,51.37,6432723,0.0,1.0
39,2018-03-07,50.18,50.575,50.04,50.49,50.49,2636609,0.0,1.0
40,2018-03-06,50.94,51.1,50.52,50.62,50.62,3359102,0.0,1.0
41,2018-03-05,49.59,50.335,49.35,50.27,50.27,4615587,0.0,1.0
42,2018-03-02,49.59,50.24,49.27,50.11,50.11,3612253,0.0,1.0
43,2018-03-01,49.81,50.63,49.51,50.17,50.17,4938686,0.0,1.0
44,2018-02-28,50.8,50.85,49.77,49.91,49.91,3821682,0.0,1.0
45,2018-02-27,51.35,51.66,50.475,50.55,50.55,4019294,0.0,1.0
46,2018-02-26,51.7,51.82,51.27,51.64,51.64,2645696,0.0,1.0
47,2018-02-23,52.17,52.44,51.67,51.78,51.78,2696820,0.0,1.0
48,2018-02-22,51.34,52.13,51.34,51.89,51.89,3054838,0.0,1.0
49,2018-02-21,51.6,51.92,50.85,50.87,50.87,3637186,0.0,1.0
50,2018-02-20,51.65,52.01,51.25,51.45,51.45,4609125,0.0,1.0
51,2018-02-16,52.2,52.81,52.05,52.1,52.1,4516359,0.0,1.0
52,2018-02-15,52.07,52.42,51.91,52.17,52.17,3639611,0.0,1.0
53,2018-02-14,50.3,51.75,50.23,51.52,51.52,3532625,0.0,1.0
54,2018-02-13,50.44,50.9,50.41,50.75,50.75,2578580,0.0,1.0
55,2018-02-12,50.56,51.22,49.92,50.62,50.62,5970921,0.0,1.0
56,2018-02-09,50.26,50.5,48.765,50.34,50.34,7976255,0.0,1.0
57,2018-02-08,51.2,51.2,49.47,49.54,49.54,7413643,0.0,1.0
58,2018-02-07,51.6,52.16,51.01,51.04,51.04,4721734,0.0,1.0
59,2018-02-06,50.46,52.27,50.3801,52.04,52.04,6870638,0.0,1.0
60,2018-02-05,52.69,53.39,50.0,50.68,50.68,5603732,0.0,1.0
61,2018-02-02,53.21,53.58,52.662,52.88,52.88,4424898,0.0,1.0
62,2018-02-01,53.25,54.41,53.2,54.06,54.06,3879341,0.0,1.0
63,2018-01-31,53.24,53.305,52.79,53.11,53.11,2520142,0.0,1.0
64,2018-01-30,52.99,53.25,52.29,52.64,52.64,2912408,0.0,1.0
65,2018-01-29,53.77,53.88,53.21,53.32,53.32,3231318,0.0,1.0
66,2018-01-26,53.89,54.15,53.57,54.07,54.07,2154900,0.0,1.0
67,2018-01-25,54.29,54.65,53.46,53.48,53.48,6075200,0.0,1.0
68,2018-01-24,53.04,54.05,53.03,53.92,53.92,5558800,0.0,1.0
69,2018-01-23,52.12,52.64,51.9,52.52,52.52,2833300,0.0,1.0
70,2018-01-22,52.42,52.55,52.23,52.55,52.55,1805600,0.0,1.0
71,2018-01-19,53.0,53.08,52.35,52.48,52.48,2717300,0.0,1.0
72,2018-01-18,52.45,52.66,52.25,52.62,52.62,2586300,0.0,1.0
73,2018-01-17,51.8,52.55,51.77,52.24,52.24,3409900,0.0,1.0
74,2018-01-16,51.63,51.8,51.43,51.67,51.67,4161600,0.0,1.0
75,2018-01-12,50.16,50.98,49.74,50.69,50.69,5344500,0.0,1.0
76,2018-01-11,49.37,49.7,49.22,49.7,49.7,2818400,0.0,1.0
77,2018-01-10,50.5,50.54,49.27,49.48,49.48,6989200,0.0,1.0
78,2018-01-09,50.93,50.98,50.28,50.59,50.59,3475200,0.0,1.0
79,2018-01-08,50.85,51.21,50.78,50.98,50.98,2978600,0.0,1.0
80,2018-01-05,50.66,51.02,50.46,50.98,50.98,2740200,0.0,1.0
81,2018-01-04,50.73,50.97,50.41,50.45,50.45,2525000,0.0,1.0
82,2018-01-03,50.78,50.94,50.27,50.37,50.37,3567900,0.0,1.0
83,2018-01-02,49.84,50.4,49.53,50.38,50.38,3233000,0.0,1.0
84,2017-12-29,48.7,49.36,48.7,49.29,49.29,4134400,0.0,1.0
85,2017-12-28,48.5,48.76,48.4,48.57,48.57,1427900,0.0,1.0
86,2017-12-27,48.1,48.55,48.1,48.5,48.5,1759600,0.0,1.0
87,2017-12-26,48.5,48.64,47.79,47.87,47.87,1438500,0.0,1.0
88,2017-12-22,48.67,48.87,47.83,48.16,48.16,2786800,0.0,1.0
89,2017-12-21,49.32,49.41,48.67,48.71,48.71,2090500,0.0,1.0
90,2017-12-20,49.47,49.67,49.17,49.31,49.31,1498200,0.0,1.0
91,2017-12-19,50.92,50.92,49.45,49.49,49.49,2813800,0.5087,1.0
92,2017-12-18,50.47,50.98,50.23,50.78,50.2634,2909000,0.0,1.0
93,2017-12-15,50.14,50.34,49.73,50.0,49.4913,3991400,0.0,1.0
94,2017-12-14,50.44,50.54,50.02,50.02,49.5111,1523400,0.0,1.0
95,2017-12-13,49.5,50.49,49.35,50.39,49.8774,3102600,0.0,1.0
96,2017-12-12,49.53,49.6,48.93,49.45,48.9469,1812600,0.0,1.0
97,2017-12-11,50.01,50.14,49.69,49.7,49.1944,1257500,0.0,1.0
98,2017-12-08,49.75,50.08,49.49,50.03,49.521,1868600,0.0,1.0
99,2017-12-07,49.21,49.66,49.18,49.34,48.8381,2729829,0.0,1.0
100,2017-12-06,49.91,50.1,49.41,49.57,49.0657,2527727,0.0,1.0
101,2017-12-05,50.05,50.51,49.93,50.36,49.8477,3715931,0.0,1.0
102,2017-12-04,50.74,50.82,50.1,50.36,49.8477,2560555,0.0,1.0
103,2017-12-01,50.17,50.81,49.81,50.46,49.9467,3916100,0.0,1.0
104,2017-11-30,50.9,51.54,50.11,50.19,49.6794,5040300,0.0,1.0
105,2017-11-29,50.84,51.21,50.49,51.18,50.6593,3158800,0.0,1.0
106,2017-11-28,50.82,51.02,50.55,51.0,50.4812,2999523,0.0,1.0
107,2017-11-27,51.53,51.53,50.675,50.7,50.1842,2026195,0.0,1.0
108,2017-11-24,51.71,51.88,51.2201,51.26,50.7385,1023835,0.0,1.0
109,2017-11-22,51.3,51.58,50.99,51.43,50.9068,2840992,0.0,1.0
110,2017-11-21,50.49,51.215,50.45,51.03,50.5109,3532246,0.0,1.0
111,2017-11-20,49.94,50.28,49.79,50.0,49.4913,1818300,0.0,1.0
112,2017-11-17,49.95,50.555,49.76,50.26,49.7487,4389500,0.0,1.0
113,2017-11-16,49.45,49.96,49.29,49.78,49.2736,2923000,0.0,1.0
114,2017-11-15,49.23,49.4,48.01,49.16,48.6599,4174441,0.0,1.0
115,2017-11-14,49.75,49.865,49.26,49.4,48.8974,3364010,0.0,1.0
116,2017-11-13,49.53,49.845,49.275,49.74,49.234,4034233,0.0,1.0
117,2017-11-10,50.62,50.79,49.735,49.75,49.2439,4266917,0.0,1.0
118,2017-11-09,50.33,50.91,50.14,50.77,50.2535,2518467,0.0,1.0
119,2017-11-08,50.9,51.08,50.61,50.66,50.1446,1239072,0.0,1.0
120,2017-11-07,51.05,51.24,50.55,50.75,50.2337,3469788,0.0,1.0
121,2017-11-06,50.47,51.13,50.13,51.06,50.5406,4606948,0.0,1.0
122,2017-11-03,50.36,50.44,49.175,50.13,49.62,3641712,0.0,1.0
123,2017-11-02,50.0,50.455,49.89,50.31,49.7982,1570967,0.0,1.0
124,2017-11-01,50.39,50.64,49.97,50.08,49.5705,2293487,0.0,1.0
125,2017-10-31,50.46,50.63,50.16,50.33,49.818,3540799,0.0,1.0
126,2017-10-30,50.85,50.98,49.96,50.15,49.6398,2623951,0.0,1.0
127,2017-10-27,50.47,50.87,50.135,50.68,50.1644,3860250,0.0,1.0
128,2017-10-26,50.83,51.25,50.19,50.23,49.719,3062451,0.0,1.0
129,2017-10-25,51.97,52.0,50.62,50.68,50.1644,4421673,0.0,1.0
130,2017-10-24,51.34,51.75,51.27,51.65,51.1246,4144027,0.0,1.0
131,2017-10-23,52.05,52.19,51.31,51.35,50.8276,3039161,0.0,1.0
132,2017-10-20,52.61,52.69,51.9101,51.97,51.4413,4912922,0.0,1.0
133,2017-10-19,52.34,52.6,52.16,52.56,52.0253,2714653,0.0,1.0
134,2017-10-18,52.79,52.79,52.18,52.27,51.7382,2868612,0.0,1.0
135,2017-10-17,51.77,52.95,51.145,52.82,52.2826,10412022,0.0,1.0
136,2017-10-16,51.94,52.35,51.48,51.48,50.9563,4804942,0.0,1.0
137,2017-10-13,52.53,52.78,51.99,52.12,51.5898,3346855,0.0,1.0
138,2017-10-12,52.74,52.92,52.335,52.44,51.9065,3771236,0.0,1.0
139,2017-10-11,52.73,53.08,52.59,52.93,52.3915,2668027,0.0,1.0
140,2017-10-10,53.53,53.65,52.53,52.59,52.055,3228545,0.0,1.0
141,2017-10-09,53.52,53.55,52.91,53.05,52.5103,1922897,0.0,1.0
142,2017-10-06,53.7,53.79,53.28,53.57,53.025,2269333,0.0,1.0
143,2017-10-05,54.74,55.02,53.84,54.0,53.4506,3997308,0.0,1.0
