,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,65.84,66.14,65.21,65.53,65.53,301539,0.0,1.0
1,2018-05-01,65.18,66.7789,63.88,65.01,65.01,660186,0.0,1.0
2,2018-04-30,66.87,67.025,65.71,65.84,65.84,421945,0.0,1.0
3,2018-04-27,66.5,67.35,65.9,67.17,67.17,327279,0.0,1.0
4,2018-04-26,66.05,66.65,65.74,66.59,66.59,398530,0.0,1.0
5,2018-04-25,65.26,65.68,64.61,65.33,65.33,590651,0.0,1.0
6,2018-04-24,66.68,67.17,65.73,66.15,66.15,397237,0.0,1.0
7,2018-04-23,67.66,67.74,66.58,66.71,66.71,537965,0.0,1.0
8,2018-04-20,68.86,68.91,68.04,68.41,68.41,443500,0.0,1.0
9,2018-04-19,70.15,70.33,68.91,69.32,69.32,272328,0.0,1.0
10,2018-04-18,69.55,70.19,69.26,69.89,69.89,330502,0.0,1.0
11,2018-04-17,67.89,68.8,67.77,68.55,68.55,271368,0.0,1.0
12,2018-04-16,67.59,68.16,67.43,68.05,68.05,305135,0.0,1.0
13,2018-04-13,67.63,67.8261,66.98,67.22,67.22,203367,0.0,1.0
14,2018-04-12,67.89,68.22,67.35,67.58,67.58,358617,0.0,1.0
15,2018-04-11,67.58,68.27,67.03,67.98,67.98,394076,0.0,1.0
16,2018-04-10,67.8,68.52,67.28,68.3,68.3,370041,0.0,1.0
17,2018-04-09,66.83,67.88,66.4,66.94,66.94,448296,0.0,1.0
18,2018-04-06,67.49,67.97,66.02,66.69,66.69,426504,0.0,1.0
19,2018-04-05,68.2,68.49,67.58,68.11,68.11,429125,0.0,1.0
20,2018-04-04,65.77,68.15,65.56,68.02,68.02,563466,0.0,1.0
21,2018-04-03,67.96,68.13,66.83,67.72,67.72,551141,0.0,1.0
22,2018-04-02,68.35,68.93,66.15,67.05,67.05,509969,0.0,1.0
23,2018-03-29,67.68,69.01,67.49,68.7,68.7,702935,0.0,1.0
24,2018-03-28,68.14,68.45,67.25,67.74,67.74,586898,0.0,1.0
25,2018-03-27,70.75,70.92,68.855,69.33,69.33,544024,0.0,1.0
26,2018-03-26,69.91,71.75,69.73,71.38,71.38,449765,0.0,1.0
27,2018-03-23,70.16,70.67,68.18,68.41,68.41,778356,0.0,1.0
28,2018-03-22,70.58,71.025,68.94,69.45,69.45,789936,0.0,1.0
29,2018-03-21,71.16,73.135,70.75,72.16,72.16,460891,0.0,1.0
30,2018-03-20,70.85,71.79,70.83,71.41,71.41,387931,0.0,1.0
31,2018-03-19,70.07,70.45,69.33,69.92,69.92,543294,0.0,1.0
32,2018-03-16,70.9,71.3789,70.2,70.41,70.41,449356,0.0,1.0
33,2018-03-15,71.76,72.025,70.74,71.19,71.19,375895,0.0,1.0
34,2018-03-14,72.57,72.75,71.68,72.32,72.32,313500,0.0,1.0
35,2018-03-13,73.84,74.12,72.36,72.68,72.68,421137,0.0,1.0
36,2018-03-12,73.87,74.01,73.36,73.76,73.76,440931,0.0,1.0
37,2018-03-09,73.39,74.47,73.15,74.39,74.39,471312,0.0,1.0
38,2018-03-08,73.46,73.63,72.76,73.63,73.63,278846,0.0,1.0
39,2018-03-07,73.19,73.97,72.73,73.85,73.85,383445,0.0,1.0
40,2018-03-06,73.89,74.53,73.21,73.62,73.62,358572,0.0,1.0
41,2018-03-05,71.25,72.87,71.19,72.33,72.33,529067,0.0,1.0
42,2018-03-02,70.53,72.07,69.9308,71.74,71.74,600490,0.0,1.0
43,2018-03-01,71.5,72.45,70.4,71.22,71.22,517831,0.0,1.0
44,2018-02-28,72.58,72.62,71.28,71.36,71.36,517553,0.0,1.0
45,2018-02-27,74.08,74.11,72.35,72.43,72.43,645558,0.0,1.0
46,2018-02-26,74.38,75.5,73.93,75.3,75.3,426793,0.0,1.0
47,2018-02-23,74.34,75.36,74.02,75.29,75.29,393712,0.0,1.0
48,2018-02-22,72.44,73.22,72.16,72.35,72.35,420779,0.0,1.0
49,2018-02-21,73.61,74.65,72.25,72.3,72.3,521212,0.0,1.0
50,2018-02-20,71.9,72.37,71.34,72.09,72.09,735803,0.0,1.0
51,2018-02-16,73.67,75.1,73.5,74.25,74.25,438454,0.0,1.0
52,2018-02-15,74.82,75.29,73.74,75.08,75.08,945963,0.0,1.0
53,2018-02-14,69.72,72.65,69.68,72.21,72.21,807651,0.0,1.0
54,2018-02-13,69.39,69.85,69.06,69.55,69.55,330175,0.0,1.0
55,2018-02-12,67.91,69.519,67.8,68.3,68.3,976606,0.0,1.0
56,2018-02-09,66.42,67.09,63.93,66.31,66.31,1257290,0.0,1.0
57,2018-02-08,68.01,68.28,64.18,64.45,64.45,1123537,0.0,1.0
58,2018-02-07,68.65,69.765,67.18,67.32,67.32,711691,0.0,1.0
59,2018-02-06,66.27,69.99,66.11,69.07,69.07,1330010,0.0,1.0
60,2018-02-05,67.83,68.46,65.27,65.27,65.27,1146284,0.0,1.0
61,2018-02-02,69.89,70.1,68.71,68.78,68.78,934703,0.0,1.0
62,2018-02-01,71.66,72.03,71.08,71.31,71.31,549457,0.0,1.0
63,2018-01-31,72.13,72.49,71.09,72.14,72.14,718123,0.0,1.0
64,2018-01-30,71.15,71.88,70.89,71.58,71.58,552213,0.0,1.0
65,2018-01-29,73.18,73.335,72.58,72.92,72.92,861155,0.0,1.0
66,2018-01-26,75.29,76.08,75.06,75.98,75.98,344150,0.0,1.0
67,2018-01-25,75.4,76.529,75.0268,75.25,75.25,761907,0.0,1.0
68,2018-01-24,74.33,75.1,74.035,74.93,74.93,512080,0.0,1.0
69,2018-01-23,73.21,74.11,73.03,74.05,74.05,424262,0.0,1.0
70,2018-01-22,72.58,73.53,72.42,73.49,73.49,295173,0.0,1.0
71,2018-01-19,71.69,72.02,71.06,71.83,71.83,561901,0.0,1.0
72,2018-01-18,71.7,72.52,71.57,72.35,72.35,478449,0.0,1.0
73,2018-01-17,71.19,72.04,71.0,71.31,71.31,386527,0.0,1.0
