,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,44.6,44.63,44.39,44.465,44.465,6519022,0.0,1.0
1,2018-05-01,44.38,44.39,43.9439,44.2,44.2,4633342,0.0,1.0
2,2018-04-30,44.46,44.61,44.33,44.33,44.33,9218013,0.0,1.0
3,2018-04-27,44.45,44.62,44.31,44.58,44.58,5133421,0.0,1.0
4,2018-04-26,44.46,44.51,44.3,44.44,44.44,6675037,0.0,1.0
5,2018-04-25,44.23,44.35,44.06,44.3,44.3,5550909,0.0,1.0
6,2018-04-24,44.65,44.78,44.3,44.46,44.46,3672099,0.0,1.0
7,2018-04-23,44.71,44.8,44.58,44.68,44.68,3313227,0.0,1.0
8,2018-04-20,44.82,44.8468,44.64,44.79,44.79,5477889,0.0,1.0
9,2018-04-19,45.13,45.16,44.84,44.99,44.99,5640262,0.0,1.0
10,2018-04-18,45.08,45.185,45.02,45.16,45.16,7466298,0.0,1.0
11,2018-04-17,44.84,45.04,44.78,44.97,44.97,3778338,0.0,1.0
12,2018-04-16,44.58,44.64,44.45,44.58,44.58,3712282,0.0,1.0
13,2018-04-13,44.56,44.6,44.32,44.46,44.46,3161759,0.0,1.0
14,2018-04-12,44.21,44.39,44.2,44.35,44.35,3498289,0.0,1.0
15,2018-04-11,44.24,44.37,44.07,44.11,44.11,6508509,0.0,1.0
16,2018-04-10,44.31,44.45,44.22,44.365,44.365,14044098,0.0,1.0
17,2018-04-09,43.91,44.14,43.79,43.85,43.85,4351185,0.0,1.0
18,2018-04-06,43.71,43.87,43.39,43.5,43.5,10069077,0.0,1.0
19,2018-04-05,43.62,43.8,43.6,43.64,43.64,9842558,0.0,1.0
20,2018-04-04,42.59,43.25,42.58,43.23,43.23,10299319,0.0,1.0
21,2018-04-03,43.02,43.15,42.8,43.11,43.11,4884308,0.0,1.0
22,2018-04-02,43.29,43.47,42.465,42.75,42.75,9267357,0.0,1.0
23,2018-03-29,43.39,43.54,43.2132,43.35,43.35,5182506,0.0,1.0
24,2018-03-28,43.005,43.355,42.81,42.94,42.94,11631568,0.0,1.0
25,2018-03-27,43.24,43.355,42.56,42.75,42.75,12213909,0.0,1.0
26,2018-03-26,43.13,43.29,42.66,43.26,43.26,13131285,0.0,1.0
27,2018-03-23,42.92,43.001,42.38,42.4,42.4,19794869,0.0,1.0
28,2018-03-22,43.09,43.25,42.8,42.82,42.82,16932425,0.0,1.0
29,2018-03-21,43.67,43.98,43.6,43.76,43.76,17534877,0.0,1.0
30,2018-03-20,43.63,43.87,43.61,43.765,43.765,9358579,0.0,1.0
31,2018-03-19,43.95,44.0,43.62,43.83,43.83,5133130,0.0,1.0
32,2018-03-16,43.99,44.2,43.98,44.04,44.04,6258876,0.0,1.0
33,2018-03-15,43.95,44.175,43.89,44.0,44.0,5066468,0.0,1.0
34,2018-03-14,44.23,44.27,43.8,44.01,44.01,4769245,0.0,1.0
35,2018-03-13,44.45,44.45,43.81,43.88,43.88,8489936,0.0,1.0
