,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,47.12,47.13,46.735,46.85,46.85,8609898,0.0,1.0
1,2018-05-01,46.78,46.965,46.24,46.88,46.88,25586478,0.0,1.0
2,2018-04-30,47.52,47.545,46.9,46.93,46.93,21743872,0.0,1.0
3,2018-04-27,46.71,46.95,46.54,46.87,46.87,13885974,0.0,1.0
4,2018-04-26,46.38,46.88,46.28,46.79,46.79,22187571,0.0,1.0
5,2018-04-25,46.65,46.73,46.345,46.58,46.58,26896475,0.0,1.0
6,2018-04-24,47.45,47.62,46.72,46.97,46.97,38221141,0.0,1.0
7,2018-04-23,46.42,46.66,46.23,46.39,46.39,12030044,0.0,1.0
8,2018-04-20,46.67,46.74,46.24,46.42,46.42,22290829,0.0,1.0
9,2018-04-19,47.46,47.46,46.9,47.08,47.08,30350249,0.0,1.0
10,2018-04-18,46.65,47.13,46.59,46.92,46.92,25368553,0.0,1.0
11,2018-04-17,46.7,47.15,46.65,47.03,47.03,20758372,0.0,1.0
12,2018-04-16,46.76,47.03,46.609,47.01,47.01,19320701,0.0,1.0
13,2018-04-13,48.06,48.07,47.43,47.6,47.6,20740717,0.0,1.0
14,2018-04-12,47.99,48.36,47.88,48.24,48.24,15856291,0.0,1.0
15,2018-04-11,47.84,48.295,47.81,48.06,48.06,20761329,0.0,1.0
16,2018-04-10,47.76,48.11,47.58,48.0,48.0,28388473,0.0,1.0
17,2018-04-09,46.62,47.1,46.27,46.53,46.53,27123247,0.0,1.0
18,2018-04-06,46.33,46.84,45.64,45.97,45.97,32534012,0.0,1.0
19,2018-04-05,47.05,47.305,46.855,46.99,46.99,18442226,0.0,1.0
20,2018-04-04,45.51,46.95,45.46,46.89,46.89,29037979,0.0,1.0
21,2018-04-03,46.9,47.005,46.49,46.93,46.93,25914075,0.0,1.0
22,2018-04-02,46.82,47.14,45.715,46.21,46.21,30455090,0.0,1.0
23,2018-03-29,46.73,47.47,46.7,47.24,47.24,25106545,0.0,1.0
24,2018-03-28,46.61,46.91,46.17,46.65,46.65,27992153,0.0,1.0
25,2018-03-27,47.83,47.97,46.8,47.06,47.06,29273528,0.0,1.0
26,2018-03-26,47.3,47.82,46.7,47.74,47.74,37099831,0.0,1.0
