,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,85.4,85.455,85.33,85.45,85.45,4021713,0.0,1.0
1,2018-05-01,85.28,85.4,85.18,85.4,85.4,18707688,0.3627,1.0
2,2018-04-30,85.7,85.85,85.69,85.7,85.3376,12472955,0.0,1.0
3,2018-04-27,85.87,85.92,85.61,85.76,85.3973,7014709,0.0,1.0
4,2018-04-26,85.57,85.8558,85.52,85.8,85.4371,17479691,0.0,1.0
5,2018-04-25,85.41,85.54,85.24,85.5,85.1384,15078385,0.0,1.0
6,2018-04-24,85.69,85.77,85.38,85.49,85.1284,17872642,0.0,1.0
7,2018-04-23,85.83,85.84,85.58,85.66,85.2977,15971145,0.0,1.0
8,2018-04-20,86.05,86.09,85.87,85.89,85.5268,17693475,0.0,1.0
9,2018-04-19,86.21,86.2434,85.99,86.1,85.7359,19345545,0.0,1.0
10,2018-04-18,86.52,86.55,86.335,86.37,86.0047,13745581,0.0,1.0
11,2018-04-17,86.55,86.66,86.43,86.46,86.0943,15577625,0.0,1.0
12,2018-04-16,86.39,86.51,86.28,86.42,86.0545,10781572,0.0,1.0
13,2018-04-13,86.3,86.41,86.24,86.29,85.9251,16213448,0.0,1.0
14,2018-04-12,86.03,86.26,85.97,86.24,85.8753,23692573,0.0,1.0
15,2018-04-11,85.87,86.0,85.81,85.93,85.5666,7675540,0.0,1.0
16,2018-04-10,85.7,85.94,85.68,85.9,85.5367,11490978,0.0,1.0
17,2018-04-09,85.45,85.61,85.41,85.59,85.228,9043233,0.0,1.0
18,2018-04-06,85.41,85.5,85.17,85.27,84.9094,12680838,0.0,1.0
19,2018-04-05,85.43,85.58,85.405,85.46,85.0986,10151962,0.0,1.0
20,2018-04-04,84.9,85.44,84.9,85.39,85.0289,9677207,0.0,1.0
21,2018-04-03,85.11,85.21,84.89,85.2,84.8397,12994092,0.0,1.0
22,2018-04-02,85.12,85.265,84.89,84.96,84.6007,18902676,0.3494,1.0
23,2018-03-29,85.49,85.7,85.39,85.64,84.9285,10309642,0.0,1.0
24,2018-03-28,85.36,85.44,85.2,85.35,84.6409,14642946,0.0,1.0
25,2018-03-27,85.48,85.63,85.21,85.39,84.6806,12661548,0.0,1.0
26,2018-03-26,85.35,85.49,85.125,85.47,84.7599,12454185,0.0,1.0
27,2018-03-23,85.29,85.39,84.82,84.92,84.2145,21847381,0.0,1.0
28,2018-03-22,85.45,85.5701,85.12,85.14,84.4327,15972328,0.0,1.0
29,2018-03-21,85.58,85.81,85.52,85.65,84.9384,8643732,0.0,1.0
30,2018-03-20,85.43,85.65,85.43,85.62,84.9087,14317759,0.0,1.0
31,2018-03-19,85.66,85.69,85.345,85.45,84.7401,14298819,0.0,1.0
32,2018-03-16,85.64,85.81,85.59,85.8,85.0872,11005960,0.0,1.0
33,2018-03-15,85.55,85.75,85.5,85.62,84.9087,8647923,0.0,1.0
34,2018-03-14,85.73,85.78,85.52,85.56,84.8492,10802524,0.0,1.0
35,2018-03-13,85.93,86.04,85.61,85.66,84.9484,19020449,0.0,1.0
36,2018-03-12,86.0,86.07,85.79,85.93,85.2161,10126462,0.0,1.0
37,2018-03-09,85.86,86.13,85.78,86.07,85.355,8942580,0.0,1.0
38,2018-03-08,85.76,85.8,85.61,85.76,85.0475,10201826,0.0,1.0
39,2018-03-07,85.77,85.805,85.6,85.66,84.9484,8195186,0.0,1.0
40,2018-03-06,85.83,85.95,85.69,85.87,85.1566,14462877,0.0,1.0
41,2018-03-05,85.57,85.81,85.57,85.75,85.0376,9000187,0.0,1.0
42,2018-03-02,85.32,85.79,85.29,85.75,85.0376,18767603,0.0,1.0
43,2018-03-01,85.91,85.93,85.27,85.27,84.5616,24974164,0.3413,1.0
44,2018-02-28,86.41,86.4769,86.12,86.18,85.1233,8750963,0.0,1.0
45,2018-02-27,86.48,86.5,86.2,86.31,85.2518,13840863,0.0,1.0
46,2018-02-26,86.45,86.68,86.39,86.54,85.4789,10996283,0.0,1.0
47,2018-02-23,85.89,86.42,85.83,86.39,85.3308,15919530,0.0,1.0
48,2018-02-22,85.8,86.14,85.735,85.82,84.7678,14626921,0.0,1.0
49,2018-02-21,86.24,86.38,85.735,85.76,84.7085,15656747,0.0,1.0
50,2018-02-20,86.2,86.38,86.11,86.15,85.0937,22740619,0.0,1.0
51,2018-02-16,86.09,86.51,86.07,86.45,85.39,29195574,0.0,1.0
52,2018-02-15,85.61,86.1,85.61,86.1,85.0443,21931566,0.0,1.0
53,2018-02-14,84.99,85.44,84.9,85.41,84.3628,19332447,0.0,1.0
54,2018-02-13,85.32,85.42,85.11,85.26,84.2146,14679872,0.0,1.0
55,2018-02-12,85.2,85.655,85.16,85.53,84.4813,23448143,0.0,1.0
56,2018-02-09,85.28,85.42,84.07,84.95,83.9084,47230312,0.0,1.0
57,2018-02-08,85.91,86.0,85.18,85.19,84.1455,25419343,0.0,1.0
58,2018-02-07,86.38,86.619,85.86,85.94,84.8863,24298137,0.0,1.0
59,2018-02-06,85.51,86.36,85.51,86.26,85.2024,33924699,0.0,1.0
60,2018-02-05,86.13,86.505,85.58,85.74,84.6887,28071271,0.0,1.0
61,2018-02-02,86.55,86.62,86.15,86.22,85.1629,24786991,0.0,1.0
62,2018-02-01,86.86,86.99,86.72,86.77,85.7061,17919978,0.3663,1.0
63,2018-01-31,87.3,87.42,87.21,87.3,85.8671,13064140,0.0,1.0
64,2018-01-30,87.45,87.46,87.14,87.15,85.7196,18469318,0.0,1.0
65,2018-01-29,87.63,87.68,87.43,87.45,86.0147,19590968,0.0,1.0
66,2018-01-26,87.72,87.84,87.63,87.76,86.3196,7164056,0.0,1.0
67,2018-01-25,87.9,87.9,87.61,87.69,86.2507,11039321,0.0,1.0
68,2018-01-24,87.8,87.88,87.65,87.75,86.3098,10746268,0.0,1.0
69,2018-01-23,87.68,87.9,87.625,87.88,86.4376,11600272,0.0,1.0
70,2018-01-22,87.49,87.65,87.49,87.62,86.1819,16674675,0.0,1.0
71,2018-01-19,87.44,87.55,87.39,87.54,86.1032,14401760,0.0,1.0
72,2018-01-18,87.5,87.56,87.4,87.45,86.0147,16134903,0.0,1.0
73,2018-01-17,87.56,87.69,87.52,87.54,86.1032,16340356,0.0,1.0
74,2018-01-16,87.64,87.73,87.45,87.53,86.0934,18474117,0.0,1.0
75,2018-01-12,87.59,87.71,87.55,87.58,86.1426,12088476,0.0,1.0
76,2018-01-11,87.52,87.74,87.46,87.73,86.2901,12911500,0.0,1.0
77,2018-01-10,87.5,87.56,87.27,87.44,86.0048,33182010,0.0,1.0
78,2018-01-09,87.99,87.99,87.61,87.63,86.1917,13550445,0.0,1.0
79,2018-01-08,87.96,88.03,87.86,87.9,86.4573,9804010,0.0,1.0
80,2018-01-05,87.97,88.01,87.88,87.97,86.5261,9851610,0.0,1.0
81,2018-01-04,87.82,87.99,87.77,87.91,86.4671,13610903,0.0,1.0
82,2018-01-03,87.34,87.78,87.34,87.76,86.3196,20557142,0.0,1.0
83,2018-01-02,87.3,87.36,87.25,87.34,85.9065,7223489,0.0,1.0
84,2017-12-29,87.14,87.31,87.08,87.26,85.8278,5116774,0.0,1.0
85,2017-12-28,87.19,87.21,87.1,87.13,85.6999,6116566,0.0,1.0
86,2017-12-27,87.08,87.21,87.08,87.17,85.7393,5625476,0.0,1.0
87,2017-12-26,86.94,87.13,86.93,87.13,85.6999,5798914,0.0,1.0
88,2017-12-22,86.94,87.07,86.905,87.0,85.5721,11136911,0.0,1.0
89,2017-12-21,86.985,86.99,86.865,86.92,85.4934,11195955,0.3608,1.0
90,2017-12-20,87.17,87.26,87.09,87.19,85.4045,11857432,0.0,1.0
91,2017-12-19,87.26,87.35,87.09,87.12,85.3359,10985023,0.0,1.0
92,2017-12-18,87.3,87.39,87.23,87.3,85.5122,11735165,0.0,1.0
93,2017-12-15,87.285,87.335,87.2,87.21,85.4241,14223851,0.0,1.0
94,2017-12-14,87.39,87.4,87.07,87.2,85.4143,19337043,0.0,1.0
95,2017-12-13,87.37,87.45,87.33,87.38,85.5906,7494952,0.0,1.0
96,2017-12-12,87.45,87.45,87.32,87.33,85.5416,8846770,0.0,1.0
97,2017-12-11,87.35,87.39,87.29,87.37,85.5808,11848241,0.0,1.0
98,2017-12-08,87.32,87.37,87.27,87.35,85.5612,9100415,0.0,1.0
99,2017-12-07,87.26,87.31,87.172,87.26,85.473,8955923,0.0,1.0
100,2017-12-06,87.25,87.41,87.202,87.22,85.4339,10081734,0.0,1.0
101,2017-12-05,87.4,87.45,87.28,87.3,85.5122,9347645,0.0,1.0
102,2017-12-04,87.5,87.61,87.32,87.35,85.5612,14801746,0.0,1.0
103,2017-12-01,87.42,87.5,86.98,87.38,85.5906,15485800,0.3723,1.0
104,2017-11-30,87.79,87.95,87.78,87.78,85.6176,17981513,0.0,1.0
105,2017-11-29,87.82,87.88,87.675,87.76,85.5981,11806229,0.0,1.0
106,2017-11-28,87.64,87.89,87.625,87.87,85.7054,10403694,0.0,1.0
107,2017-11-27,87.87,87.87,87.54,87.6,85.4421,10645375,0.0,1.0
108,2017-11-24,87.87,87.92,87.83,87.87,85.7054,3126527,0.0,1.0
109,2017-11-22,87.72,87.87,87.7,87.81,85.6469,9473834,0.0,1.0
110,2017-11-21,87.57,87.71,87.57,87.67,85.5103,10102420,0.0,1.0
111,2017-11-20,87.52,87.63,87.43,87.49,85.3348,8930342,0.0,1.0
112,2017-11-17,87.36,87.51,87.34,87.47,85.3153,15942057,0.0,1.0
113,2017-11-16,87.12,87.6,87.04,87.53,85.3738,30075165,0.0,1.0
114,2017-11-15,86.46,86.76,86.22,86.68,84.5447,25382032,0.0,1.0
115,2017-11-14,86.92,86.96,86.62,86.68,84.5447,13870559,0.0,1.0
116,2017-11-13,87.04,87.16,87.03,87.05,84.9056,16280475,0.0,1.0
117,2017-11-10,86.94,87.18,86.88,87.11,84.9641,24521635,0.0,1.0
118,2017-11-09,87.14,87.14,86.72,86.92,84.7788,38343503,0.0,1.0
119,2017-11-08,87.74,87.74,87.31,87.35,85.1982,18119961,0.0,1.0
120,2017-11-07,87.97,87.98,87.71,87.74,85.5786,11805431,0.0,1.0
121,2017-11-06,87.93,88.04,87.89,87.99,85.8225,12262357,0.0,1.0
122,2017-11-03,88.02,88.08,87.87,87.98,85.8127,7003186,0.0,1.0
123,2017-11-02,88.01,88.08,87.895,87.97,85.803,6096843,0.0,1.0
124,2017-11-01,88.18,88.2,88.01,88.02,85.8517,9505454,0.3656,1.0
125,2017-10-31,88.49,88.51,88.44,88.47,85.9337,7198363,0.0,1.0
126,2017-10-30,88.41,88.51,88.36,88.45,85.9143,5954500,0.0,1.0
127,2017-10-27,88.3,88.49,88.225,88.47,85.9337,13719968,0.0,1.0
128,2017-10-26,88.43,88.46,88.19,88.23,85.7006,10649818,0.0,1.0
129,2017-10-25,88.53,88.53,88.22,88.34,85.8074,16817015,0.0,1.0
130,2017-10-24,88.62,88.69,88.58,88.59,86.0503,7103739,0.0,1.0
131,2017-10-23,88.7,88.74,88.59,88.59,86.0503,7227164,0.0,1.0
132,2017-10-20,88.66,88.73,88.61,88.69,86.1474,7107034,0.0,1.0
133,2017-10-19,88.48,88.65,88.44,88.61,86.0697,7270641,0.0,1.0
134,2017-10-18,88.54,88.65,88.52,88.6,86.06,7974437,0.0,1.0
135,2017-10-17,88.38,88.555,88.38,88.51,85.9726,7468169,0.0,1.0
136,2017-10-16,88.39,88.4,88.28,88.38,85.8463,6060263,0.0,1.0
137,2017-10-13,88.41,88.43,88.28,88.33,85.7977,3941233,0.0,1.0
138,2017-10-12,88.4,88.4,88.29,88.29,85.7589,6181140,0.0,1.0
139,2017-10-11,88.48,88.48,88.37,88.39,85.856,7948704,0.0,1.0
140,2017-10-10,88.53,88.53,88.4,88.48,85.9434,8786479,0.0,1.0
141,2017-10-09,88.44,88.47,88.38,88.41,85.8754,3278424,0.0,1.0
142,2017-10-06,88.45,88.49,88.35,88.4,85.8657,5847373,0.0,1.0
143,2017-10-05,88.41,88.53,88.41,88.53,85.992,5967924,0.0,1.0
144,2017-10-04,88.48,88.51,88.37,88.42,85.8851,5832397,0.0,1.0
145,2017-10-03,88.35,88.52,88.35,88.51,85.9726,5928796,0.0,1.0
146,2017-10-02,88.26,88.4,88.24,88.35,85.8171,13097552,0.365,1.0
147,2017-09-29,88.7,88.76,88.6,88.76,85.8607,8906904,0.0,1.0
148,2017-09-28,88.63,88.67,88.575,88.63,85.7349,5933980,0.0,1.0
149,2017-09-27,88.59,88.655,88.49,88.63,85.7349,7490067,0.0,1.0
150,2017-09-26,88.56,88.68,88.54,88.59,85.6962,8816461,0.0,1.0
