,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,36.1,36.15,35.71,35.77,35.77,806042,0.0,1.0
1,2018-05-01,36.5,36.61,35.78,36.17,36.17,1647624,0.0,1.0
2,2018-04-30,37.09,37.1901,36.67,36.69,36.69,724350,0.0,1.0
3,2018-04-27,37.21,37.34,37.02,37.18,37.18,2647294,0.0,1.0
4,2018-04-26,36.52,37.05,36.44,37.03,37.03,1925767,0.0,1.0
5,2018-04-25,36.32,36.45,36.02,36.41,36.41,1333779,0.0,1.0
6,2018-04-24,37.11,37.2911,36.6181,36.82,36.82,710326,0.0,1.0
7,2018-04-23,37.03,37.12,36.76,36.87,36.87,2457682,0.0,1.0
8,2018-04-20,37.51,37.51,37.2,37.4,37.4,1031351,0.0,1.0
9,2018-04-19,37.83,37.92,37.46,37.7,37.7,804014,0.0,1.0
10,2018-04-18,37.7,38.14,37.61,38.05,38.05,1153899,0.0,1.0
11,2018-04-17,36.96,37.29,36.8,37.25,37.25,750785,0.0,1.0
12,2018-04-16,37.3,37.32,36.585,36.71,36.71,703649,0.0,1.0
13,2018-04-13,37.62,37.63,37.06,37.12,37.12,655443,0.0,1.0
14,2018-04-12,37.85,37.85,37.56,37.58,37.58,916077,0.0,1.0
15,2018-04-11,37.15,37.76,37.15,37.65,37.65,653039,0.0,1.0
16,2018-04-10,36.82,37.245,36.59,37.21,37.21,2388341,0.0,1.0
17,2018-04-09,37.21,37.27,36.43,36.43,36.43,964870,0.0,1.0
18,2018-04-06,37.25,37.46,36.81,37.14,37.14,5259013,0.0,1.0
19,2018-04-05,37.84,38.04,37.5744,37.6,37.6,803578,0.0,1.0
20,2018-04-04,36.43,37.33,36.29,37.32,37.32,2265556,0.0,1.0
21,2018-04-03,37.35,37.43,36.91,37.15,37.15,4194166,0.0,1.0
22,2018-04-02,37.42,37.6,36.78,36.98,36.98,1564439,0.0,1.0
23,2018-03-29,36.88,37.72,36.8,37.57,37.57,742928,0.0,1.0
24,2018-03-28,36.43,36.69,36.1999,36.62,36.62,2106871,0.0,1.0
25,2018-03-27,37.16,37.27,36.48,36.54,36.54,5407676,0.0,1.0
26,2018-03-26,37.32,37.365,36.7,37.27,37.27,1333923,0.0,1.0
27,2018-03-23,36.92,37.17,36.61,36.67,36.67,1247159,0.0,1.0
28,2018-03-22,37.12,37.3201,36.79,36.84,36.84,1397013,0.0,1.0
29,2018-03-21,36.98,37.65,36.97,37.63,37.63,6166517,0.0,1.0
30,2018-03-20,36.89,36.98,36.65,36.82,36.82,1139193,0.0,1.0
31,2018-03-19,36.94,37.11,36.6699,36.82,36.82,906251,0.0,1.0
32,2018-03-16,37.33,37.6,37.27,37.29,37.29,900623,0.0,1.0
33,2018-03-15,37.89,38.04,37.34,37.44,37.44,1110039,0.0,1.0
34,2018-03-14,38.52,38.59,38.005,38.2,38.2,2047711,0.0,1.0
35,2018-03-13,38.64,38.69,38.15,38.26,38.26,2481270,0.0,1.0
36,2018-03-12,38.38,38.56,38.325,38.5,38.5,1425125,0.0,1.0
37,2018-03-09,38.18,38.45,38.14,38.33,38.33,2660240,0.0,1.0
