,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,119.91,120.12,119.5,119.77,119.77,703735,0.0,1.0
1,2018-05-01,119.91,120.15,119.03,120.1,120.1,1494417,0.0,1.0
2,2018-04-30,121.63,121.96,120.33,120.34,120.34,2097870,0.0,1.0
3,2018-04-27,121.35,121.73,121.1,121.46,121.46,1083341,0.0,1.0
4,2018-04-26,121.1,121.77,120.72,121.42,121.42,1577675,0.0,1.0
5,2018-04-25,120.62,121.129,119.7,120.93,120.93,1419998,0.0,1.0
6,2018-04-24,121.94,122.31,119.89,120.65,120.65,4214815,0.0,1.0
7,2018-04-23,121.57,121.76,120.94,121.42,121.42,1928258,0.0,1.0
8,2018-04-20,122.17,122.25,120.94,121.37,121.37,1138670,0.0,1.0
9,2018-04-19,122.09,122.4004,121.45,121.99,121.99,1216156,0.0,1.0
10,2018-04-18,122.64,122.9,122.33,122.35,122.35,842329,0.0,1.0
11,2018-04-17,122.44,122.53,121.97,122.21,122.21,3024956,0.0,1.0
12,2018-04-16,121.44,122.07,121.02,121.62,121.62,1588145,0.0,1.0
13,2018-04-13,121.7,121.72,120.16,120.67,120.67,1052736,0.0,1.0
14,2018-04-12,120.83,121.53,120.6802,121.04,121.04,1118407,0.0,1.0
15,2018-04-11,120.02,120.86,119.86,120.19,120.19,1324777,0.0,1.0
16,2018-04-10,120.42,121.17,119.97,120.73,120.73,1567553,0.0,1.0
17,2018-04-09,119.2,120.662,118.79,118.98,118.98,1061037,0.0,1.0
18,2018-04-06,120.19,120.72,117.61,118.5,118.5,2339101,0.0,1.0
19,2018-04-05,120.6,121.38,120.33,120.97,120.97,1664274,0.0,1.0
20,2018-04-04,117.38,120.31,117.2501,120.09,120.09,2345538,0.0,1.0
21,2018-04-03,117.88,119.15,117.23,118.93,118.93,2400519,0.0,1.0
22,2018-04-02,119.71,119.82,116.03,117.32,117.32,2721083,0.0,1.0
23,2018-03-29,119.11,120.47,118.86,119.96,119.96,1669495,0.0,1.0
24,2018-03-28,118.82,119.49,118.11,118.49,118.49,2193217,0.0,1.0
25,2018-03-27,120.23,120.71,117.87,118.52,118.52,2188299,0.0,1.0
26,2018-03-26,118.69,119.96,117.73,119.8,119.8,2724199,0.0,1.0
27,2018-03-23,119.7,120.06,116.89,117.01,117.01,2437201,0.0,1.0
28,2018-03-22,121.49,121.85,119.39,119.49,119.49,1977605,0.6806,1.0
29,2018-03-21,122.96,124.13,122.8614,123.09,122.3928,883615,0.0,1.0
30,2018-03-20,123.18,123.53,122.66,122.93,122.2337,2619587,0.0,1.0
31,2018-03-19,124.22,124.25,122.26,122.99,122.2934,1102582,0.0,1.0
