,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,137.23,137.48,136.81,137.3202,137.3202,571798,0.0,1.0
1,2018-05-01,136.24,137.33,135.66,137.26,137.26,1201221,0.0,1.0
2,2018-04-30,137.68,138.29,136.45,136.45,136.45,1907537,0.0,1.0
3,2018-04-27,137.94,138.22,136.66,137.34,137.34,1319132,0.0,1.0
4,2018-04-26,136.17,137.71,135.9,137.24,137.24,863522,0.0,1.0
5,2018-04-25,134.88,135.4331,133.57,135.05,135.05,1310441,0.0,1.0
6,2018-04-24,138.14,138.18,133.925,134.89,134.89,1998105,0.0,1.0
7,2018-04-23,138.08,138.51,136.84,137.53,137.53,879731,0.0,1.0
8,2018-04-20,139.16,139.24,137.19,137.64,137.64,1685772,0.0,1.0
9,2018-04-19,139.78,140.21,138.65,139.19,139.19,857356,0.0,1.0
10,2018-04-18,140.43,140.72,139.75,140.34,140.34,768686,0.0,1.0
11,2018-04-17,139.16,140.49,138.92,140.13,140.13,789182,0.0,1.0
12,2018-04-16,137.79,138.3808,137.31,137.94,137.94,1278232,0.0,1.0
13,2018-04-13,137.97,138.02,136.17,136.8,136.8,1016817,0.0,1.0
14,2018-04-12,136.89,137.73,136.67,137.17,137.17,1058936,0.0,1.0
15,2018-04-11,135.88,137.11,135.88,136.06,136.06,1227888,0.0,1.0
16,2018-04-10,136.01,137.1864,135.52,136.73,136.73,1421475,0.0,1.0
17,2018-04-09,134.86,136.45,134.17,134.34,134.34,1241293,0.0,1.0
18,2018-04-06,135.9,136.79,133.08,133.94,133.94,2229753,0.0,1.0
19,2018-04-05,137.1,137.69,136.26,137.08,137.08,1167992,0.0,1.0
20,2018-04-04,132.09,136.42,131.81,136.13,136.13,1966662,0.0,1.0
21,2018-04-03,133.78,134.7036,132.405,134.34,134.34,1946822,0.0,1.0
22,2018-04-02,135.31,135.899,131.51,132.8,132.8,2531908,0.0,1.0
23,2018-03-29,134.73,137.23,133.9823,136.09,136.09,2553781,0.0,1.0
24,2018-03-28,134.57,135.58,133.2,133.99,133.99,2121012,0.0,1.0
25,2018-03-27,138.45,138.72,133.75,134.69,134.69,2162621,0.0,1.0
26,2018-03-26,136.11,138.02,134.56,137.88,137.88,1531281,0.0,1.0
27,2018-03-23,136.87,137.46,133.87,133.93,133.93,3090367,0.0,1.0
28,2018-03-22,138.97,139.57,136.7,136.8,136.8,2526230,0.4015,1.0
29,2018-03-21,141.24,142.38,140.63,140.87,140.4578,941996,0.0,1.0
30,2018-03-20,141.03,141.81,140.875,141.5,141.086,2087951,0.0,1.0
31,2018-03-19,142.42,142.42,139.88,140.92,140.5077,1088995,0.0,1.0
32,2018-03-16,143.34,143.69,143.04,143.1,142.6813,1823339,0.0,1.0
33,2018-03-15,143.51,143.95,142.71,143.08,142.6613,1597135,0.0,1.0
34,2018-03-14,144.31,144.41,142.84,143.2,142.781,1760949,0.0,1.0
35,2018-03-13,145.38,145.7099,143.33,143.68,143.2596,1426615,0.0,1.0
36,2018-03-12,144.98,145.28,144.48,144.72,144.2965,1160072,0.0,1.0
37,2018-03-09,143.12,144.7,142.94,144.67,144.2467,1265466,0.0,1.0
38,2018-03-08,141.93,142.299,141.38,142.23,141.8138,773494,0.0,1.0
39,2018-03-07,140.03,141.67,139.88,141.49,141.076,890458,0.0,1.0
