,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,153.78,155.23,153.68,155.02,155.02,7043211,0.0,1.0
1,2018-05-01,153.01,154.29,151.71,154.07,154.07,24949996,0.0,1.0
2,2018-04-30,155.02,155.65,153.29,153.32,153.32,15624584,0.0,1.0
3,2018-04-27,154.88,155.37,153.78,154.69,154.69,17734290,0.0,1.0
4,2018-04-26,154.42,155.41,153.94,154.91,154.91,14862876,0.0,1.0
5,2018-04-25,154.36,154.8,152.96,154.2,154.2,21971301,0.0,1.0
6,2018-04-24,155.9,156.63,153.19,154.43,154.43,24859690,0.0,1.0
7,2018-04-23,155.78,156.29,154.57,155.32,155.32,13268151,0.0,1.0
8,2018-04-20,156.05,156.72,155.15,155.55,155.55,21480629,0.0,1.0
9,2018-04-19,157.14,157.54,155.88,156.39,156.39,16174535,0.0,1.0
10,2018-04-18,157.52,158.38,157.16,157.48,157.48,16974157,0.0,1.0
11,2018-04-17,156.21,157.49,155.96,157.06,157.06,18624191,0.0,1.0
12,2018-04-16,154.84,155.82,154.11,155.37,155.37,18846929,0.0,1.0
13,2018-04-13,155.29,155.3292,153.511,153.95,153.95,19813591,0.0,1.0
14,2018-04-12,154.43,155.41,153.93,154.76,154.76,14413182,0.0,1.0
15,2018-04-11,152.78,154.31,152.63,153.71,153.71,14884595,0.0,1.0
16,2018-04-10,152.14,153.95,151.67,153.38,153.38,24728903,0.0,1.0
17,2018-04-09,151.4,152.6,150.42,150.54,150.54,18997049,0.0,1.0
18,2018-04-06,152.37,153.4,149.15,150.36,150.36,25762675,0.0,1.0
19,2018-04-05,153.04,153.6099,152.32,153.42,153.42,17301630,0.0,1.0
20,2018-04-04,148.5,152.58,148.27,152.16,152.16,29619678,0.0,1.0
21,2018-04-03,149.02,150.6,148.3,150.25,150.25,29857789,0.0,1.0
22,2018-04-02,151.52,152.07,147.18,148.13,148.13,35040722,0.0,1.0
23,2018-03-29,151.08,153.1,150.75,151.83,151.83,24209149,0.0,1.0
24,2018-03-28,150.74,151.35,149.39,150.31,150.31,26510850,0.0,1.0
25,2018-03-27,153.66,153.7,149.71,150.36,150.36,32820649,0.0,1.0
26,2018-03-26,152.09,153.38,150.43,153.33,153.33,28442432,0.0,1.0
27,2018-03-23,153.56,154.13,150.0,150.05,150.05,35744100,0.0,1.0
28,2018-03-22,155.655,156.62,153.31,153.35,153.35,29774835,0.3624,1.0
29,2018-03-21,156.32,158.26,156.2,157.15,156.7795,22213473,0.0,1.0
30,2018-03-20,156.67,157.02,155.77,156.24,155.8717,11418519,0.0,1.0
