,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,124.36,125.29,124.17,125.185,125.185,384973,0.0,1.0
1,2018-05-01,123.84,124.7,122.71,124.53,124.53,1519180,0.0,1.0
2,2018-04-30,125.39,125.95,124.13,124.13,124.13,662052,0.0,1.0
3,2018-04-27,125.39,125.79,124.62,125.29,125.29,807729,0.0,1.0
4,2018-04-26,125.28,125.77,124.71,125.4,125.4,731452,0.0,1.0
5,2018-04-25,125.07,125.61,124.24,125.1,125.1,577019,0.0,1.0
6,2018-04-24,125.63,126.41,124.16,125.23,125.23,1304245,0.0,1.0
7,2018-04-23,125.41,125.8,124.69,125.22,125.22,1040788,0.0,1.0
8,2018-04-20,125.19,125.86,124.765,125.14,125.14,539839,0.0,1.0
9,2018-04-19,125.67,126.35,125.16,125.61,125.61,748529,0.0,1.0
10,2018-04-18,126.0,126.8322,125.92,126.0,126.0,417838,0.0,1.0
11,2018-04-17,125.39,126.08,125.13,125.67,125.67,430914,0.0,1.0
12,2018-04-16,124.33,125.29,123.86,124.87,124.87,1325226,0.0,1.0
13,2018-04-13,124.55,124.55,123.34,123.7,123.7,256366,0.0,1.0
14,2018-04-12,123.95,124.65,123.601,124.1,124.1,667435,0.0,1.0
15,2018-04-11,122.7,123.85,122.58,123.43,123.43,684185,0.0,1.0
16,2018-04-10,122.36,123.68,122.05,123.25,123.25,985731,0.0,1.0
17,2018-04-09,121.9,122.65,120.94,121.01,121.01,900364,0.0,1.0
18,2018-04-06,122.89,123.71,120.39,121.41,121.41,952307,0.0,1.0
19,2018-04-05,123.12,123.75,122.58,123.6,123.6,680330,0.0,1.0
20,2018-04-04,119.74,122.78,119.51,122.5,122.5,1939757,0.0,1.0
21,2018-04-03,120.05,121.39,119.61,121.06,121.06,546525,0.0,1.0
22,2018-04-02,121.65,122.08,118.47,119.36,119.36,542597,0.0,1.0
23,2018-03-29,121.7,122.75,121.45,121.88,121.88,332532,0.0,1.0
24,2018-03-28,120.83,121.7144,120.285,121.0,121.0,545644,0.0,1.0
25,2018-03-27,122.67,122.72,119.92,120.42,120.42,500949,0.0,1.0
26,2018-03-26,121.24,122.41,120.2,122.34,122.34,880987,0.0,1.0
27,2018-03-23,122.68,123.1688,119.8056,119.82,119.82,698690,0.0,1.0
28,2018-03-22,124.38,125.11,122.55,122.59,122.59,477176,0.4149,1.0
29,2018-03-21,124.98,126.49,124.86,125.67,125.2461,374406,0.0,1.0
30,2018-03-20,125.59,125.89,124.64,124.98,124.5585,1074798,0.0,1.0
31,2018-03-19,125.96,126.03,123.91,125.42,124.997,637522,0.0,1.0
32,2018-03-16,125.44,126.84,125.37,126.37,125.9438,646454,0.0,1.0
33,2018-03-15,126.25,126.25,125.04,125.44,125.0169,835583,0.0,1.0
34,2018-03-14,127.33,127.46,125.7,125.88,125.4554,575574,0.0,1.0
35,2018-03-13,127.94,128.12,126.57,126.81,126.3823,776912,0.0,1.0
36,2018-03-12,127.14,127.57,126.58,127.31,126.8806,681880,0.0,1.0
37,2018-03-09,125.73,127.04,125.29,126.96,126.5318,568870,0.0,1.0
38,2018-03-08,125.87,126.09,124.34,124.97,124.5485,362133,0.0,1.0
39,2018-03-07,124.15,125.9,123.88,125.66,125.2362,714064,0.0,1.0
40,2018-03-06,124.18,124.99,122.92,124.91,124.4887,569029,0.0,1.0
41,2018-03-05,121.92,124.09,121.74,123.64,123.223,600150,0.0,1.0
42,2018-03-02,120.01,122.65,119.57,122.35,121.9373,814693,0.0,1.0
43,2018-03-01,120.79,122.15,119.86,120.91,120.5022,1379089,0.0,1.0
44,2018-02-28,123.39,123.72,120.92,120.94,120.5321,991365,0.0,1.0
45,2018-02-27,125.16,125.85,123.05,123.1,122.6848,921080,0.0,1.0
46,2018-02-26,124.81,125.319,123.96,125.16,124.7378,1478878,0.0,1.0
47,2018-02-23,123.65,124.48,123.2293,124.43,124.0103,928031,0.0,1.0
48,2018-02-22,123.62,124.56,122.86,122.92,122.5054,600173,0.0,1.0
49,2018-02-21,123.29,125.16,123.13,123.27,122.8542,596724,0.0,1.0
50,2018-02-20,123.97,124.75,122.77,123.09,122.6748,799758,0.0,1.0
51,2018-02-16,123.63,125.24,123.63,124.46,124.0402,1338283,0.0,1.0
52,2018-02-15,123.66,123.85,122.41,123.83,123.4123,956712,0.0,1.0
53,2018-02-14,120.17,123.07,120.0,122.76,122.3459,1043420,0.0,1.0
54,2018-02-13,120.15,121.13,119.8,120.9,120.4922,732001,0.0,1.0
55,2018-02-12,120.08,121.29,118.63,120.7,120.2929,1525723,0.0,1.0
56,2018-02-09,119.51,120.71,116.72,119.83,119.4258,1962728,0.0,1.0
57,2018-02-08,122.02,122.02,118.48,118.48,118.0804,1168073,0.0,1.0
58,2018-02-07,121.49,122.57,120.73,121.72,121.3094,960725,0.0,1.0
59,2018-02-06,118.29,122.18,117.18,121.68,121.2696,2077771,0.0,1.0
60,2018-02-05,124.19,125.11,120.36,120.38,119.974,1853324,0.0,1.0
61,2018-02-02,126.79,127.05,124.94,125.18,124.7578,824016,0.0,1.0
62,2018-02-01,126.86,127.6305,126.48,127.56,127.1297,822372,0.0,1.0
63,2018-01-31,128.31,128.68,126.85,127.29,126.8607,1446766,0.0,1.0
64,2018-01-30,128.16,128.73,127.35,127.81,127.3789,973819,0.0,1.0
65,2018-01-29,129.69,129.95,128.88,128.88,128.4453,587252,0.0,1.0
66,2018-01-26,130.37,130.37,129.41,129.95,129.5117,863661,0.0,1.0
67,2018-01-25,130.8,130.92,129.25,129.88,129.4419,1007212,0.0,1.0
68,2018-01-24,131.33,131.46,129.9016,130.17,129.7309,1054147,0.0,1.0
69,2018-01-23,130.66,131.23,129.85,130.86,130.4186,589810,0.0,1.0
70,2018-01-22,130.13,130.71,129.83,130.71,130.2691,1054868,0.0,1.0
71,2018-01-19,128.58,130.32,128.58,130.26,129.8206,1006000,0.0,1.0
72,2018-01-18,129.67,129.74,128.59,128.72,128.2858,1316971,0.0,1.0
73,2018-01-17,129.21,130.14,128.74,129.85,129.412,923177,0.0,1.0
74,2018-01-16,130.76,131.07,128.38,128.62,128.1862,1793642,0.0,1.0
75,2018-01-12,130.0,130.8,129.7,130.13,129.6911,1778332,0.0,1.0
76,2018-01-11,127.71,129.88,127.52,129.74,129.3024,1308207,0.0,1.0
77,2018-01-10,127.02,127.89,126.82,127.31,126.8806,868580,0.0,1.0
78,2018-01-09,127.87,127.97,127.19,127.26,126.8308,1085792,0.0,1.0
79,2018-01-08,127.12,127.79,126.38,127.64,127.2095,990627,0.0,1.0
80,2018-01-05,127.14,127.34,126.45,127.17,126.7411,958430,0.0,1.0
81,2018-01-04,127.43,127.47,126.5914,126.97,126.5417,2160953,0.0,1.0
82,2018-01-03,126.89,127.17,126.28,126.69,126.2627,1157208,0.0,1.0
83,2018-01-02,126.34,126.97,125.79,126.83,126.4022,1621528,0.0,1.0
84,2017-12-29,127.16,127.18,125.66,125.75,125.3259,1306131,0.0,1.0
85,2017-12-28,126.48,126.8,126.14,126.74,126.3125,1065001,0.0,1.0
86,2017-12-27,126.57,126.96,125.98,126.28,125.8541,1703816,0.0,1.0
87,2017-12-26,126.5,126.92,126.28,126.56,126.1331,1495825,0.0,1.0
88,2017-12-22,126.51,126.86,126.18,126.44,126.0135,979649,0.0,1.0
89,2017-12-21,126.69,127.2824,126.34,126.82,126.3922,737864,0.8141,1.0
90,2017-12-20,127.03,127.62,126.54,126.97,125.7346,881160,0.0,1.0
91,2017-12-19,127.92,128.54,126.63,126.77,125.5366,997874,0.0,1.0
92,2017-12-18,127.9,128.5107,127.28,128.04,126.7942,1171311,0.0,1.0
93,2017-12-15,125.88,127.19,124.95,126.25,125.0216,1307766,0.0,1.0
