,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,192.04,193.83,191.94,193.5513,193.5513,90841,0.0,1.0
1,2018-05-01,190.63,192.43,189.17,192.08,192.08,631648,0.0,1.0
2,2018-04-30,192.96,193.83,190.84,190.99,190.99,2415592,0.0,1.0
3,2018-04-27,193.21,193.55,191.36,192.5,192.5,192123,0.0,1.0
4,2018-04-26,192.24,193.58,191.63,192.86,192.86,461373,0.0,1.0
5,2018-04-25,192.2,192.35,189.65,191.58,191.58,655343,0.0,1.0
6,2018-04-24,194.87,195.59,190.52,192.13,192.13,518169,0.0,1.0
7,2018-04-23,195.02,195.6448,193.1282,194.05,194.05,305872,0.0,1.0
8,2018-04-20,195.76,196.5,194.37,194.8,194.8,273301,0.0,1.0
9,2018-04-19,197.89,197.99,195.64,196.19,196.19,866416,0.0,1.0
10,2018-04-18,198.06,199.07,197.2,198.08,198.08,858441,0.0,1.0
11,2018-04-17,195.96,198.19,195.71,197.56,197.56,855220,0.0,1.0
12,2018-04-16,194.28,195.25,192.98,194.68,194.68,258832,0.0,1.0
13,2018-04-13,195.15,195.15,192.41,193.07,193.07,583873,0.0,1.0
14,2018-04-12,193.91,195.1399,193.2232,194.35,194.35,356598,0.0,1.0
15,2018-04-11,191.7,193.7,191.19,192.78,192.78,193278,0.0,1.0
16,2018-04-10,190.91,193.13,189.83,192.28,192.28,450372,0.0,1.0
17,2018-04-09,189.5,191.26,188.59,188.68,188.68,438867,0.0,1.0
18,2018-04-06,190.3,191.7,186.3935,187.98,187.98,951585,0.0,1.0
19,2018-04-05,191.75,192.42,190.75,191.75,191.75,231473,0.0,1.0
20,2018-04-04,185.36,191.08,185.11,190.55,190.55,580432,0.0,1.0
21,2018-04-03,186.65,188.23,185.38,187.78,187.78,414024,0.0,1.0
22,2018-04-02,190.36,190.89,184.14,185.51,185.51,698741,0.0,1.0
23,2018-03-29,189.27,192.25,188.58,190.57,190.57,853869,0.0,1.0
24,2018-03-28,189.48,189.8417,187.03,188.12,188.12,329827,0.0,1.0
25,2018-03-27,194.0,194.5199,188.165,189.05,189.05,1476455,0.0,1.0
26,2018-03-26,191.61,193.4,189.48,193.32,193.32,557795,0.0,1.0
27,2018-03-23,193.23,194.035,188.93,188.93,188.93,363122,0.0,1.0
28,2018-03-22,195.79,197.55,193.06,193.16,193.16,519226,0.3039,1.0
29,2018-03-21,196.99,199.3,196.79,197.92,197.6091,252803,0.0,1.0
30,2018-03-20,196.59,197.47,196.21,196.84,196.5308,563064,0.0,1.0
31,2018-03-19,197.45,197.57,193.915,196.27,195.9617,363362,0.0,1.0
32,2018-03-16,197.6,198.88,197.21,198.21,197.8987,309130,0.0,1.0
33,2018-03-15,199.48,199.48,196.92,197.58,197.2697,305078,0.0,1.0
34,2018-03-14,200.31,200.69,198.32,198.92,198.6076,360242,0.0,1.0
35,2018-03-13,201.65,201.8,199.06,199.45,199.1367,1768310,0.0,1.0
36,2018-03-12,200.94,201.11,199.87,200.59,200.2749,254201,0.0,1.0
37,2018-03-09,198.27,200.369,197.31,200.2,199.8856,359200,0.0,1.0
38,2018-03-08,197.58,198.02,195.795,197.08,196.7705,243809,0.0,1.0
39,2018-03-07,193.56,196.97,193.34,196.78,196.4709,364881,0.0,1.0
40,2018-03-06,193.43,194.78,191.55,194.76,194.4541,259828,0.0,1.0
41,2018-03-05,190.55,193.24,189.85,192.5,192.1977,328857,0.0,1.0
42,2018-03-02,185.65,191.59,185.6,191.1,190.7999,485384,0.0,1.0
43,2018-03-01,188.01,189.4175,185.09,187.37,187.0757,860601,0.0,1.0
44,2018-02-28,191.68,192.11,188.37,188.42,188.1241,508291,0.0,1.0
45,2018-02-27,193.54,194.51,191.03,191.07,190.7699,493735,0.0,1.0
46,2018-02-26,192.78,193.86,191.52,193.4,193.0962,547708,0.0,1.0
47,2018-02-23,190.76,191.96,189.34,191.87,191.5686,311430,0.0,1.0
48,2018-02-22,190.48,192.03,189.26,189.48,189.1824,780198,0.0,1.0
49,2018-02-21,189.67,192.93,189.28,189.63,189.3322,878829,0.0,1.0
50,2018-02-20,189.16,191.5299,189.0,189.45,189.1524,498013,0.0,1.0
51,2018-02-16,189.76,191.65,189.76,190.41,190.1109,404659,0.0,1.0
52,2018-02-15,189.09,190.23,186.73,190.05,189.7515,492087,0.0,1.0
53,2018-02-14,182.61,188.17,182.25,187.72,187.4252,406779,0.0,1.0
54,2018-02-13,182.43,184.41,182.09,183.95,183.6611,473946,0.0,1.0
55,2018-02-12,181.7,184.45,179.97,183.42,183.1319,1095901,0.0,1.0
56,2018-02-09,181.59,182.76,175.64,181.42,181.1351,761312,0.0,1.0
57,2018-02-08,186.24,186.28,179.86,179.86,179.5775,881246,0.0,1.0
58,2018-02-07,185.78,187.135,184.47,185.9,185.608,509211,0.0,1.0
59,2018-02-06,180.0,186.48,178.6,185.75,185.4583,678059,0.0,1.0
60,2018-02-05,188.83,190.68,183.19,183.19,182.9023,761254,0.0,1.0
61,2018-02-02,193.41,193.41,190.21,190.53,190.2307,556112,0.0,1.0
62,2018-02-01,193.16,195.32,192.591,194.56,194.2544,373018,0.0,1.0
63,2018-01-31,195.78,196.6,193.39,193.75,193.4457,486914,0.0,1.0
64,2018-01-30,195.18,196.2742,194.5,194.87,194.5639,853168,0.0,1.0
65,2018-01-29,197.26,198.3,196.84,196.91,196.6007,257922,0.0,1.0
66,2018-01-26,197.16,197.86,196.27,197.73,197.4194,241664,0.0,1.0
67,2018-01-25,196.84,197.16,195.14,196.3,195.9917,215244,0.0,1.0
68,2018-01-24,197.47,197.99,194.95,195.83,195.5224,344937,0.0,1.0
69,2018-01-23,196.03,197.58,195.56,197.26,196.9502,377573,0.0,1.0
70,2018-01-22,194.87,196.33,194.73,196.31,196.0017,1403332,0.0,1.0
71,2018-01-19,192.67,195.01,192.33,194.96,194.6538,616000,0.0,1.0
72,2018-01-18,192.72,193.07,192.05,192.27,191.968,246255,0.0,1.0
73,2018-01-17,192.39,193.48,191.65,193.16,192.8566,357950,0.0,1.0
74,2018-01-16,194.87,195.68,191.01,191.36,191.0594,561276,0.0,1.0
75,2018-01-12,193.43,194.75,193.13,193.88,193.5755,1468876,0.0,1.0
76,2018-01-11,190.35,193.2487,190.11,193.12,192.8167,555428,0.0,1.0
77,2018-01-10,189.67,189.98,188.55,189.92,189.6217,583101,0.0,1.0
78,2018-01-09,190.47,190.88,189.85,190.25,189.9512,351892,0.0,1.0
79,2018-01-08,190.06,190.4,188.31,190.04,189.7415,509496,0.0,1.0
80,2018-01-05,190.37,190.37,189.22,190.17,189.8713,503657,0.0,1.0
81,2018-01-04,190.38,190.63,189.18,189.56,189.2623,416794,0.0,1.0
82,2018-01-03,188.46,189.479,188.4,189.13,188.8329,568977,0.0,1.0
83,2018-01-02,187.3,188.53,186.55,188.52,188.2239,933956,0.0,1.0
84,2017-12-29,188.62,188.62,186.57,186.7,186.4068,458988,0.0,1.0
85,2017-12-28,187.75,188.2,187.3201,188.2,187.9044,463021,0.0,1.0
86,2017-12-27,187.49,188.35,187.12,187.47,187.1756,393825,0.0,1.0
87,2017-12-26,187.12,187.7,186.91,187.46,187.1656,313028,0.0,1.0
88,2017-12-22,187.14,187.68,186.86,187.33,187.0358,416937,0.0,1.0
89,2017-12-21,187.65,188.2199,187.13,187.59,187.2954,832505,0.3974,1.0
90,2017-12-20,187.06,187.89,186.655,187.3,186.6105,370242,0.0,1.0
91,2017-12-19,188.2,188.5304,186.499,186.83,186.1422,562160,0.0,1.0
92,2017-12-18,188.17,188.4299,187.16,187.84,187.1485,901591,0.0,1.0
93,2017-12-15,184.01,186.65,183.5,185.58,184.8968,645237,0.0,1.0
94,2017-12-14,185.43,185.56,182.445,182.96,182.2864,988053,0.0,1.0
95,2017-12-13,183.41,185.73,183.41,184.89,184.2093,579058,0.0,1.0
96,2017-12-12,184.44,184.8024,183.19,183.25,182.5754,2220669,0.0,1.0
97,2017-12-11,184.71,185.19,183.79,184.18,183.5019,871676,0.0,1.0
98,2017-12-08,184.7,185.42,184.09,184.33,183.6514,751193,0.0,1.0
99,2017-12-07,182.55,184.54,182.01,183.98,183.3027,1917022,0.0,1.0
100,2017-12-06,182.54,183.24,181.51,181.98,181.31,690461,0.0,1.0
101,2017-12-05,184.52,185.14,182.7,182.78,182.1071,312103,0.0,1.0
102,2017-12-04,187.94,188.57,183.97,184.11,183.4322,602850,0.0,1.0
103,2017-12-01,186.98,187.04,180.44,185.74,185.0562,1275558,0.0,1.0
104,2017-11-30,186.62,187.5,186.37,186.77,186.0824,868586,0.0,1.0
105,2017-11-29,186.68,187.38,185.39,185.81,185.1259,2605312,0.0,1.0
106,2017-11-28,184.38,186.47,183.96,186.39,185.7038,804050,0.0,1.0
107,2017-11-27,185.03,185.33,183.69,183.75,183.0735,451416,0.0,1.0
108,2017-11-24,184.6,184.82,184.14,184.63,183.9503,106192,0.0,1.0
109,2017-11-22,184.8,185.08,184.0,184.07,183.3924,346231,0.0,1.0
110,2017-11-21,183.13,184.48,183.0234,184.48,183.8008,1007011,0.0,1.0
111,2017-11-20,181.52,182.31,181.001,182.24,181.5691,1692222,0.0,1.0
112,2017-11-17,179.7,181.63,179.5411,180.87,180.2041,461719,0.0,1.0
113,2017-11-16,178.15,181.03,178.15,180.4,179.7359,472611,0.0,1.0
114,2017-11-15,176.79,177.89,175.7222,177.13,176.4779,400927,0.0,1.0
115,2017-11-14,177.9,178.41,177.245,178.1,177.4443,533580,0.0,1.0
116,2017-11-13,177.78,178.86,177.37,178.59,177.9325,342002,0.0,1.0
117,2017-11-10,178.98,179.15,178.22,178.68,178.0222,346167,0.0,1.0
118,2017-11-09,178.37,179.49,176.93,178.61,177.9525,443549,0.0,1.0
119,2017-11-08,178.48,179.91,177.95,179.69,179.0285,917481,0.0,1.0
120,2017-11-07,180.88,180.88,178.13,178.83,178.1716,576855,0.0,1.0
121,2017-11-06,180.81,181.55,180.45,180.86,180.1942,271557,0.0,1.0
122,2017-11-03,180.08,181.0,179.611,180.79,180.1244,640319,0.0,1.0
123,2017-11-02,179.96,180.8025,179.29,180.11,179.4469,1148513,0.0,1.0
124,2017-11-01,182.72,183.06,178.78,180.09,179.427,589999,0.0,1.0
125,2017-10-31,180.84,182.1574,180.62,181.6,180.9314,306529,0.0,1.0
126,2017-10-30,180.68,181.14,178.82,179.75,179.0883,668524,0.0,1.0
127,2017-10-27,180.37,181.7,179.75,181.57,180.9016,890004,0.0,1.0
128,2017-10-26,179.89,180.77,179.65,180.05,179.3872,484671,0.0,1.0
129,2017-10-25,180.22,180.5,178.2113,179.62,178.9587,751028,0.0,1.0
130,2017-10-24,180.65,181.27,180.3,180.56,179.8953,534657,0.0,1.0
131,2017-10-23,181.49,181.63,180.02,180.25,179.5864,310987,0.0,1.0
132,2017-10-20,181.75,181.95,181.09,181.4,180.7322,370672,0.0,1.0
133,2017-10-19,179.6,180.36,178.71,180.35,179.686,293646,0.0,1.0
134,2017-10-18,180.87,181.13,180.06,180.73,180.0647,271820,0.0,1.0
135,2017-10-17,180.16,180.99,179.55,179.83,179.168,436429,0.0,1.0
136,2017-10-16,180.82,181.58,179.89,180.24,179.5765,457375,0.0,1.0
137,2017-10-13,181.18,181.53,180.29,180.46,179.7956,332834,0.0,1.0
138,2017-10-12,180.77,181.33,180.3,180.97,180.3038,472217,0.0,1.0
139,2017-10-11,181.175,181.53,180.69,181.04,180.3735,339592,0.0,1.0
140,2017-10-10,181.43,181.83,180.4,181.01,180.3436,786230,0.0,1.0
141,2017-10-09,182.13,182.52,180.57,180.9,180.234,405364,0.0,1.0
142,2017-10-06,180.99,182.03,180.78,181.95,181.2802,419039,0.0,1.0
143,2017-10-05,182.21,182.21,181.32,181.72,181.051,401726,0.0,1.0
144,2017-10-04,181.51,182.24,181.01,181.56,180.8916,568060,0.0,1.0
145,2017-10-03,181.66,181.74,180.52,181.68,181.0112,1537995,0.0,1.0
146,2017-10-02,179.2,181.23,179.14,181.23,180.5628,807032,0.0,1.0
147,2017-09-29,178.31,179.07,178.23,178.96,178.3012,438669,0.0,1.0
148,2017-09-28,177.62,178.52,177.105,178.31,177.6536,307683,0.0,1.0
149,2017-09-27,175.15,178.24,175.1,177.79,177.1355,481513,0.0,1.0
150,2017-09-26,173.92,174.6,173.83,173.97,173.3295,311321,0.2669,1.0
