,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,76.0,76.28,75.39,75.74,75.74,3293002,0.0,1.0
1,2018-05-01,75.7,76.265,75.42,76.17,76.17,7872295,0.0,1.0
2,2018-04-30,75.82,76.27,75.62,75.64,75.64,8889110,0.0,1.0
3,2018-04-27,74.78,76.115,74.68,75.87,75.87,8633025,0.0,1.0
4,2018-04-26,74.24,75.285,74.14,74.9,74.9,7028019,0.0,1.0
5,2018-04-25,73.92,74.24,73.2732,74.0,74.0,7894522,0.0,1.0
6,2018-04-24,74.14,74.54,73.83,74.16,74.16,6190918,0.0,1.0
7,2018-04-23,74.01,74.27,73.625,73.98,73.98,5819957,0.0,1.0
8,2018-04-20,74.5,74.805,73.86,73.93,73.93,10076484,0.0,1.0
9,2018-04-19,75.29,75.38,74.085,74.57,74.57,8191835,0.0,1.0
10,2018-04-18,75.77,76.08,75.615,75.65,75.65,5600324,0.0,1.0
11,2018-04-17,75.0,76.19,74.83,75.78,75.78,8517378,0.0,1.0
12,2018-04-16,74.45,75.155,74.41,74.81,74.81,6894764,0.0,1.0
13,2018-04-13,73.96,74.58,73.96,74.45,74.45,4644738,0.0,1.0
14,2018-04-12,75.11,75.11,73.98,74.19,74.19,7667194,0.0,1.0
15,2018-04-11,74.53,75.51,74.53,74.9,74.9,4462970,0.0,1.0
16,2018-04-10,75.37,75.5,74.52,74.73,74.73,14276459,0.0,1.0
17,2018-04-09,75.0,75.64,74.89,75.02,75.02,8583957,0.0,1.0
18,2018-04-06,75.71,76.1501,74.92,75.15,75.15,11896251,0.0,1.0
19,2018-04-05,75.77,75.97,75.21,75.83,75.83,12880135,0.0,1.0
20,2018-04-04,74.6,75.91,74.31,75.76,75.76,8767321,0.0,1.0
21,2018-04-03,74.64,75.21,74.145,74.92,74.92,11062776,0.0,1.0
22,2018-04-02,75.43,75.665,73.99,74.43,74.43,11055462,0.0,1.0
23,2018-03-29,75.6,75.83,75.19,75.47,75.47,9080109,0.0,1.0
24,2018-03-28,74.36,75.67,74.021,75.45,75.45,15032407,0.0,1.0
25,2018-03-27,73.94,74.985,73.19,74.02,74.02,10805600,0.0,1.0
26,2018-03-26,73.5,73.95,73.05,73.82,73.82,6054873,0.0,1.0
27,2018-03-23,74.02,74.34,72.75,72.9,72.9,10044026,0.0,1.0
28,2018-03-22,74.33,75.28,74.06,74.08,74.08,9099453,0.6182,1.0
29,2018-03-21,75.64,75.93,74.73,75.13,74.5082,7839270,0.0,1.0
30,2018-03-20,75.78,76.27,75.4,75.71,75.0834,6567070,0.0,1.0
31,2018-03-19,76.38,76.45,75.33,75.77,75.1429,8155629,0.0,1.0
32,2018-03-16,75.94,76.59,75.76,76.48,75.847,10879587,0.0,1.0
33,2018-03-15,76.13,76.3855,75.65,76.03,75.4008,9157313,0.0,1.0
34,2018-03-14,76.12,76.35,75.68,76.05,75.4206,5750412,0.0,1.0
35,2018-03-13,76.23,76.41,75.73,75.99,75.3611,6437297,0.0,1.0
36,2018-03-12,75.46,76.03,75.34,75.87,75.2421,6980216,0.0,1.0
37,2018-03-09,75.14,75.49,74.65,75.49,74.8652,7660121,0.0,1.0
38,2018-03-08,74.7,75.1,74.5,75.02,74.3991,8446847,0.0,1.0
39,2018-03-07,73.92,74.74,73.731,74.64,74.0223,8993596,0.0,1.0
40,2018-03-06,73.82,74.45,73.44,74.26,73.6454,7440171,0.0,1.0
41,2018-03-05,72.6,74.19,72.6,73.79,73.1793,11811053,0.0,1.0
42,2018-03-02,72.85,73.07,72.26,72.97,72.3661,6744501,0.0,1.0
43,2018-03-01,73.24,74.08,72.75,73.1,72.495,14216812,0.0,1.0
44,2018-02-28,73.91,74.37,73.33,73.33,72.7231,6702624,0.0,1.0
45,2018-02-27,75.15,75.22,73.5,73.51,72.9016,10466889,0.0,1.0
46,2018-02-26,75.2,75.25,74.64,75.09,74.4685,6058004,0.0,1.0
47,2018-02-23,73.99,74.86,73.71,74.83,74.2107,7871538,0.0,1.0
48,2018-02-22,73.19,74.18,73.05,73.58,72.971,8770269,0.0,1.0
49,2018-02-21,74.11,74.67,72.88,72.9,72.2967,9805636,0.0,1.0
50,2018-02-20,74.71,75.37,74.095,74.13,73.5165,9230144,0.0,1.0
51,2018-02-16,74.52,75.33,74.5,75.06,74.4388,10139458,0.0,1.0
52,2018-02-15,73.9,74.61,73.63,74.43,73.814,9783956,0.0,1.0
53,2018-02-14,73.58,74.11,72.62,73.7,73.09,11068170,0.0,1.0
54,2018-02-13,73.45,74.28,73.0299,74.06,73.4471,8520837,0.0,1.0
55,2018-02-12,73.67,73.89,71.71,73.5,72.8917,13618899,0.0,1.0
56,2018-02-09,72.25,73.91,71.265,73.28,72.6735,14993066,0.0,1.0
57,2018-02-08,73.81,74.49,71.76,71.79,71.1959,18137766,0.0,1.0
58,2018-02-07,74.09,75.34,73.93,73.97,73.3578,9642057,0.0,1.0
59,2018-02-06,73.36,74.73,72.73,74.26,73.6454,17411460,0.0,1.0
60,2018-02-05,76.21,76.82,74.0,74.0,73.3876,12593508,0.0,1.0
61,2018-02-02,76.69,77.01,75.97,76.46,75.8272,9794635,0.0,1.0
62,2018-02-01,78.4,78.94,77.18,77.25,76.6107,11449972,0.0,1.0
63,2018-01-31,77.65,78.62,77.35,78.56,77.9098,12267433,0.0,1.0
64,2018-01-30,77.45,77.691,77.14,77.34,76.6999,5870095,0.0,1.0
65,2018-01-29,78.48,78.69,77.73,77.76,77.1164,6094457,0.0,1.0
66,2018-01-26,78.88,78.99,78.26,78.77,78.1181,6799171,0.0,1.0
67,2018-01-25,78.8,78.95,78.355,78.74,78.0883,5540152,0.0,1.0
68,2018-01-24,78.9,79.26,78.59,78.89,78.2371,7675135,0.0,1.0
69,2018-01-23,78.3,79.19,78.3,79.17,78.5148,7584746,0.0,1.0
