,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,341.32,343.23,340.95,342.37,342.37,333379,0.0,1.0
1,2018-05-01,339.88,342.17,337.21,341.71,341.71,1064546,0.0,1.0
2,2018-04-30,344.83,346.02,340.43,340.51,340.51,1354325,0.0,1.0
3,2018-04-27,344.28,345.21,342.3499,344.1,344.1,647276,0.0,1.0
4,2018-04-26,343.75,345.73,342.66,344.65,344.65,1270931,0.0,1.0
5,2018-04-25,342.5,344.84,340.39,343.34,343.34,870753,0.0,1.0
6,2018-04-24,346.94,348.4,340.63,343.21,343.21,1367322,0.0,1.0
7,2018-04-23,346.04,347.8,344.16,345.8,345.8,590159,0.0,1.0
8,2018-04-20,347.34,348.07,344.8305,345.83,345.83,1091790,0.0,1.0
9,2018-04-19,348.88,349.68,346.31,347.93,347.93,937295,0.0,1.0
10,2018-04-18,349.64,351.47,349.07,349.75,349.75,584528,0.0,1.0
11,2018-04-17,347.72,349.61,346.89,348.57,348.57,671205,0.0,1.0
12,2018-04-16,344.16,346.88,343.22,345.9,345.9,710352,0.0,1.0
13,2018-04-13,344.79,345.22,341.261,342.48,342.48,730903,0.0,1.0
14,2018-04-12,343.63,344.9,342.53,343.51,343.51,727365,0.0,1.0
15,2018-04-11,340.65,343.7,340.57,342.15,342.15,560684,0.0,1.0
16,2018-04-10,341.12,343.93,340.01,342.54,342.54,1118164,0.0,1.0
17,2018-04-09,338.92,341.69,336.92,337.21,337.21,833044,0.0,1.0
18,2018-04-06,341.0,343.34,334.29,337.03,337.03,1444079,0.0,1.0
19,2018-04-05,343.24,344.65,341.45,343.75,343.75,706892,0.0,1.0
20,2018-04-04,333.59,341.72,333.3,341.13,341.13,1268745,0.0,1.0
21,2018-04-03,335.22,339.39,333.94,338.22,338.22,2287676,0.0,1.0
22,2018-04-02,340.39,341.51,330.91,333.64,333.64,2123770,0.0,1.0
23,2018-03-29,338.47,343.38,338.38,341.73,341.73,1806525,0.0,1.0
24,2018-03-28,337.18,338.82,334.89,337.08,337.08,1439682,0.0,1.0
25,2018-03-27,342.78,342.78,334.95,336.38,336.38,2360194,0.0,1.0
26,2018-03-26,338.22,341.67,335.37,341.5,341.5,1275465,0.0,1.0
27,2018-03-23,340.71,342.35,333.97,334.17,334.17,1416998,0.0,1.0
28,2018-03-22,346.43,348.17,340.73,340.86,340.86,1365993,0.0,1.0
29,2018-03-21,349.19,352.09,348.61,349.63,349.63,642138,0.0,1.0
30,2018-03-20,349.17,350.12,347.77,348.63,348.63,653152,0.0,1.0
31,2018-03-19,350.35,350.46,345.5,348.34,348.34,1075031,0.0,1.0
32,2018-03-16,349.26,352.59,349.26,351.57,351.57,2013547,0.8614,1.0
33,2018-03-15,352.25,352.35,349.46,350.13,349.2742,1116662,0.0,1.0
34,2018-03-14,354.7,355.22,350.78,351.5,350.6409,1336434,0.0,1.0
35,2018-03-13,356.9,357.11,352.58,353.32,352.4564,1532492,0.0,1.0
36,2018-03-12,355.21,356.37,354.17,355.25,354.3817,1897510,0.0,1.0
37,2018-03-09,351.12,355.03,350.59,354.91,354.0425,1223978,0.0,1.0
38,2018-03-08,350.39,350.81,346.95,349.13,348.2767,739277,0.0,1.0
39,2018-03-07,346.41,350.34,346.19,349.77,348.9151,1075865,0.0,1.0
