,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,99.62,99.78,99.33,99.611,99.611,113009,0.0,1.0
1,2018-05-01,99.66,99.9,98.9168,99.89,99.89,602751,0.0,1.0
2,2018-04-30,100.86,101.15,99.85,99.85,99.85,606237,0.0,1.0
3,2018-04-27,100.5,100.9344,100.32,100.77,100.77,196319,0.0,1.0
4,2018-04-26,99.97,100.7471,99.72,100.5,100.5,278853,0.0,1.0
5,2018-04-25,99.37,99.9051,98.76,99.73,99.73,370338,0.0,1.0
6,2018-04-24,100.85,100.98,98.8201,99.45,99.45,482360,0.0,1.0
7,2018-04-23,100.36,100.84,100.0,100.41,100.41,274026,0.0,1.0
8,2018-04-20,101.0,101.11,99.93,100.28,100.28,338503,0.0,1.0
9,2018-04-19,101.56,101.56,100.56,100.99,100.99,385987,0.0,1.0
10,2018-04-18,101.74,102.17,101.58,101.7,101.7,342771,0.0,1.0
11,2018-04-17,101.2,101.68,100.9862,101.43,101.43,677627,0.0,1.0
12,2018-04-16,100.2,100.9167,99.9985,100.61,100.61,720115,0.0,1.0
13,2018-04-13,100.36,100.52,99.28,99.65,99.65,539931,0.0,1.0
14,2018-04-12,99.83,100.2239,99.62,99.86,99.86,489337,0.0,1.0
15,2018-04-11,98.98,99.9742,98.98,99.39,99.39,509334,0.0,1.0
16,2018-04-10,99.46,100.0899,99.15,99.74,99.74,606092,0.0,1.0
17,2018-04-09,98.72,99.7,98.27,98.34,98.34,279558,0.0,1.0
18,2018-04-06,99.43,100.0,97.42,98.14,98.14,736966,0.0,1.0
19,2018-04-05,100.11,100.57,99.721,100.26,100.26,454398,0.0,1.0
20,2018-04-04,97.26,99.77,97.2,99.62,99.62,1166600,0.0,1.0
21,2018-04-03,97.69,98.64,97.2,98.47,98.47,905756,0.0,1.0
22,2018-04-02,99.28,99.43,96.37,97.3,97.3,1341165,0.0,1.0
23,2018-03-29,98.7,100.01,98.61,99.48,99.48,1133364,0.0,1.0
24,2018-03-28,98.49,99.01,97.97,98.23,98.23,865019,0.0,1.0
25,2018-03-27,99.89,100.16,97.85,98.35,98.35,1451703,0.0,1.0
26,2018-03-26,98.5,99.62,97.79,99.53,99.53,638430,0.0,1.0
27,2018-03-23,99.38,99.68,97.2,97.29,97.29,887961,0.0,1.0
28,2018-03-22,100.69,101.06,99.115,99.18,99.18,846992,0.0,1.0
29,2018-03-21,101.34,102.218,101.3,101.43,101.43,494940,0.0,1.0
30,2018-03-20,101.58,101.7093,101.17,101.4,101.4,515474,0.0,1.0
31,2018-03-19,102.16,102.44,100.6461,101.29,101.29,947277,0.0,1.0
32,2018-03-16,102.15,102.7499,102.15,102.44,102.44,305487,0.4285,1.0
33,2018-03-15,102.92,103.0,102.2263,102.45,102.0232,420580,0.0,1.0
34,2018-03-14,103.7,103.78,102.525,102.72,102.2921,904095,0.0,1.0
35,2018-03-13,104.22,104.41,103.12,103.34,102.9095,595992,0.0,1.0
36,2018-03-12,104.01,104.21,103.6,103.78,103.3477,316798,0.0,1.0
37,2018-03-09,102.87,103.95,102.69,103.92,103.4871,492611,0.0,1.0
38,2018-03-08,102.28,102.4,101.73,102.33,101.9037,515249,0.0,1.0
39,2018-03-07,101.26,102.12,101.18,101.98,101.5552,507811,0.0,1.0
40,2018-03-06,101.91,102.14,101.33,102.07,101.6448,556739,0.0,1.0
41,2018-03-05,99.96,101.849,99.891,101.62,101.1967,614908,0.0,1.0
42,2018-03-02,99.18,100.59,98.8163,100.41,99.9917,923516,0.0,1.0
43,2018-03-01,100.82,101.44,99.129,99.75,99.3345,984819,0.0,1.0
44,2018-02-28,102.3,102.525,100.83,100.83,100.41,547241,0.0,1.0
45,2018-02-27,103.34,103.7199,101.93,101.94,101.5154,671594,0.0,1.0
46,2018-02-26,102.82,103.34,102.36,103.28,102.8498,889549,0.0,1.0
47,2018-02-23,101.5,102.52,101.28,102.51,102.083,584846,0.0,1.0
48,2018-02-22,101.23,102.0299,100.74,100.97,100.5494,584836,0.0,1.0
49,2018-02-21,101.57,102.64,100.92,100.92,100.4996,700643,0.0,1.0
50,2018-02-20,101.78,102.35,101.213,101.53,101.1071,636681,0.0,1.0
51,2018-02-16,101.86,102.89,101.85,102.18,101.7544,814609,0.0,1.0
52,2018-02-15,101.68,102.13,100.71,102.13,101.7046,946800,0.0,1.0
53,2018-02-14,99.0,101.2,99.0,101.08,100.659,1156976,0.0,1.0
54,2018-02-13,98.88,99.78,98.72,99.57,99.1552,720837,0.0,1.0
55,2018-02-12,98.68,99.94,98.08,99.33,98.9162,1640718,0.0,1.0
56,2018-02-09,97.8,98.7914,94.9701,98.12,97.7113,3589561,0.0,1.0
57,2018-02-08,100.33,100.34,96.79,96.79,96.3868,1403362,0.0,1.0
58,2018-02-07,100.41,101.91,100.1,100.32,99.9021,2255126,0.0,1.0
59,2018-02-06,97.55,100.88,96.78,100.59,100.171,1568550,0.0,1.0
60,2018-02-05,102.5,103.18,99.15,99.23,98.8167,1754008,0.0,1.0
