,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,65.79,65.79,65.621,65.6957,65.6957,309562,0.0,1.0
1,2018-05-01,65.55,65.58,65.1258,65.48,65.48,1269878,0.0,1.0
2,2018-04-30,65.83,65.92,65.59,65.62,65.62,1576727,0.0,1.0
3,2018-04-27,65.9,65.96,65.7059,65.93,65.93,931625,0.0,1.0
4,2018-04-26,65.85,65.95,65.67,65.9,65.9,1052889,0.0,1.0
5,2018-04-25,65.37,65.5159,65.19,65.48,65.48,930331,0.0,1.0
6,2018-04-24,66.11,66.13,65.46,65.68,65.68,1423387,0.0,1.0
7,2018-04-23,66.22,66.23,65.95,66.14,66.14,949043,0.0,1.0
8,2018-04-20,66.41,66.43,66.21,66.28,66.28,1173361,0.0,1.0
9,2018-04-19,66.94,66.995,66.515,66.74,66.74,1038533,0.0,1.0
10,2018-04-18,66.73,66.93,66.72,66.88,66.88,1041408,0.0,1.0
11,2018-04-17,66.24,66.53,66.16,66.47,66.47,820593,0.0,1.0
12,2018-04-16,66.2,66.27,66.06,66.19,66.19,706108,0.0,1.0
13,2018-04-13,66.0,66.09,65.7268,65.89,65.89,848763,0.0,1.0
14,2018-04-12,65.63,65.895,65.55,65.75,65.75,757506,0.0,1.0
15,2018-04-11,65.46,65.84,65.455,65.51,65.51,829196,0.0,1.0
16,2018-04-10,65.71,65.86,65.525,65.75,65.75,643931,0.0,1.0
17,2018-04-09,65.24,65.51,65.04,65.11,65.11,940147,0.0,1.0
18,2018-04-06,65.04,65.26,64.5156,64.72,64.72,1411573,0.0,1.0
19,2018-04-05,64.99,65.166,64.885,65.06,65.06,905934,0.0,1.0
20,2018-04-04,63.93,64.88,63.85,64.87,64.87,1309899,0.0,1.0
21,2018-04-03,64.58,64.83,64.3749,64.78,64.78,1320296,0.0,1.0
22,2018-04-02,64.85,65.06,63.85,64.31,64.31,2002218,0.0,1.0
23,2018-03-29,64.95,65.41,64.83,65.19,65.19,1991773,0.0,1.0
24,2018-03-28,64.66,64.99,64.42,64.52,64.52,3432850,0.0,1.0
25,2018-03-27,65.27,65.35,64.3,64.52,64.52,2019992,0.0,1.0
26,2018-03-26,64.74,64.935,64.24,64.91,64.91,1602605,0.0,1.0
27,2018-03-23,64.7,64.83,63.99,63.99,63.99,1676676,0.0,1.0
28,2018-03-22,65.15,65.31,64.61,64.61,64.61,894062,0.0,1.0
29,2018-03-21,65.55,65.99,65.49,65.69,65.69,910424,0.0,1.0
30,2018-03-20,65.55,65.72,65.49,65.58,65.58,1059497,0.0,1.0
31,2018-03-19,65.86,65.88,65.31,65.63,65.63,1090911,0.0,1.0
32,2018-03-16,65.98,66.165,65.9132,65.97,65.97,749578,0.0,1.0
33,2018-03-15,66.42,66.605,66.24,66.39,66.39,494117,0.0,1.0
34,2018-03-14,66.67,66.72,66.21,66.43,66.43,1643249,0.0,1.0
35,2018-03-13,66.69,66.77,66.0534,66.23,66.23,823570,0.0,1.0
36,2018-03-12,66.31,66.5,66.27,66.45,66.45,663514,0.0,1.0
37,2018-03-09,65.96,66.37,65.92,66.36,66.36,1129394,0.0,1.0
38,2018-03-08,65.96,66.04,65.69,65.97,65.97,1433293,0.0,1.0
39,2018-03-07,65.42,65.72,65.23,65.69,65.69,1420649,0.0,1.0
40,2018-03-06,65.59,65.81,65.445,65.76,65.76,1354712,0.0,1.0
41,2018-03-05,64.29,64.92,64.2,64.91,64.91,902063,0.0,1.0
42,2018-03-02,64.07,64.64,63.88,64.64,64.64,1725490,0.0,1.0
43,2018-03-01,64.75,64.95,63.9,64.28,64.28,1209810,0.0,1.0
44,2018-02-28,65.88,65.915,65.26,65.26,65.26,978949,0.0,1.0
45,2018-02-27,66.3,66.355,65.69,65.69,65.69,1070526,0.0,1.0
46,2018-02-26,66.38,66.738,66.25,66.71,66.71,1256959,0.0,1.0
47,2018-02-23,65.95,66.37,65.9,66.31,66.31,932431,0.0,1.0
48,2018-02-22,65.74,65.995,65.53,65.66,65.66,965757,0.0,1.0
49,2018-02-21,65.87,66.31,65.37,65.39,65.39,1183135,0.0,1.0
50,2018-02-20,65.85,66.1,65.53,65.66,65.66,961194,0.0,1.0
51,2018-02-16,65.8,66.13,65.66,65.82,65.82,923877,0.0,1.0
52,2018-02-15,65.4,65.565,64.94,65.56,65.56,1085332,0.0,1.0
53,2018-02-14,63.59,65.0199,63.5,65.01,65.01,941863,0.0,1.0
54,2018-02-13,63.68,63.975,63.59,63.86,63.86,1884126,0.0,1.0
55,2018-02-12,63.58,64.16,63.3853,63.97,63.97,1524551,0.0,1.0
56,2018-02-09,63.18,63.4369,61.73,63.16,63.16,2368284,0.0,1.0
57,2018-02-08,64.61,64.61,62.71,62.72,62.72,2145886,0.0,1.0
58,2018-02-07,64.63,65.12,64.33,64.4,64.4,1389806,0.0,1.0
59,2018-02-06,63.6,65.199,63.4,65.08,65.08,1727671,0.0,1.0
60,2018-02-05,65.79,66.0172,63.83,63.84,63.84,2998339,0.0,1.0
61,2018-02-02,67.55,67.58,66.78,66.83,66.83,1680713,0.0,1.0
62,2018-02-01,68.04,68.3999,67.99,68.21,68.21,1574227,0.0,1.0
63,2018-01-31,68.27,68.3,67.775,67.85,67.85,2380540,0.0,1.0
64,2018-01-30,68.12,68.22,67.82,68.0,68.0,2639239,0.0,1.0
65,2018-01-29,68.71,68.75,68.41,68.54,68.54,1164338,0.0,1.0
66,2018-01-26,68.91,69.19,68.8,69.19,69.19,1147526,0.0,1.0
67,2018-01-25,69.04,69.04,68.32,68.48,68.48,952393,0.0,1.0
68,2018-01-24,68.7,68.95,68.4838,68.76,68.76,1173934,0.0,1.0
69,2018-01-23,68.2,68.44,68.19,68.43,68.43,743076,0.0,1.0
70,2018-01-22,67.81,68.17,67.79,68.16,68.16,668130,0.0,1.0
71,2018-01-19,67.79,67.825,67.6,67.78,67.78,554693,0.0,1.0
72,2018-01-18,67.28,67.47,67.23,67.38,67.38,805199,0.0,1.0
73,2018-01-17,67.37,67.8199,67.21,67.61,67.61,988535,0.0,1.0
74,2018-01-16,67.42,67.52,67.14,67.24,67.24,1148886,0.0,1.0
75,2018-01-12,66.89,67.34,66.8,67.34,67.34,964203,0.0,1.0
76,2018-01-11,66.3,66.57,66.2705,66.55,66.55,554884,0.0,1.0
77,2018-01-10,66.22,66.2569,66.0438,66.1,66.1,709233,0.0,1.0
78,2018-01-09,66.22,66.37,66.05,66.33,66.33,689521,0.0,1.0
79,2018-01-08,66.18,66.2075,66.0938,66.18,66.18,646385,0.0,1.0
80,2018-01-05,65.97,66.19,65.935,66.13,66.13,740365,0.0,1.0
