,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,57.05,57.2014,56.8201,56.965,56.965,2485591,0.0,1.0
1,2018-05-01,56.7,56.98,56.22,56.96,56.96,6281069,0.0,1.0
2,2018-04-30,57.85,58.05,56.95,57.01,57.01,4875198,0.0,1.0
3,2018-04-27,57.92,58.07,57.345,57.76,57.76,7898374,0.0,1.0
4,2018-04-26,57.82,58.15,57.49,57.91,57.91,4937570,0.0,1.0
5,2018-04-25,57.34,57.73,56.82,57.55,57.55,7950493,0.0,1.0
6,2018-04-24,59.05,59.05,56.64,57.24,57.24,8724227,0.0,1.0
7,2018-04-23,58.88,59.07,58.67,58.83,58.83,3097737,0.0,1.0
8,2018-04-20,59.33,59.51,58.75,59.0,59.0,4351133,0.0,1.0
9,2018-04-19,60.06,60.06,59.1,59.32,59.32,5819648,0.0,1.0
10,2018-04-18,59.9,60.25,59.76,59.99,59.99,4736216,0.0,1.0
11,2018-04-17,59.27,59.73,59.01,59.56,59.56,4781151,0.0,1.0
12,2018-04-16,58.54,58.975,58.24,58.89,58.89,6332117,0.0,1.0
13,2018-04-13,58.49,58.65,57.9,58.11,58.11,4321757,0.0,1.0
14,2018-04-12,57.82,58.41,57.67,58.17,58.17,3536764,0.0,1.0
15,2018-04-11,57.57,57.795,57.34,57.56,57.56,6457404,0.0,1.0
16,2018-04-10,57.58,58.3115,57.495,57.99,57.99,12833656,0.0,1.0
17,2018-04-09,56.82,57.5,56.42,56.82,56.82,6289207,0.0,1.0
18,2018-04-06,57.35,57.62,56.15,56.51,56.51,7911408,0.0,1.0
19,2018-04-05,57.13,58.12,57.04,57.92,57.92,7694313,0.0,1.0
20,2018-04-04,55.55,56.905,55.2302,56.86,56.86,6436682,0.0,1.0
21,2018-04-03,55.83,56.65,55.48,56.49,56.49,6786440,0.0,1.0
22,2018-04-02,56.75,57.03,55.21,55.7,55.7,9329353,0.0,1.0
23,2018-03-29,56.13,57.24,56.075,56.94,56.94,6210656,0.0,1.0
24,2018-03-28,56.69,56.9,55.69,55.87,55.87,11844180,0.0,1.0
25,2018-03-27,57.32,57.68,56.3,56.59,56.59,7290986,0.0,1.0
26,2018-03-26,56.68,57.22,56.15,57.17,57.17,5842129,0.0,1.0
27,2018-03-23,57.27,57.56,55.97,56.02,56.02,7908914,0.0,1.0
28,2018-03-22,58.43,58.6364,57.105,57.14,57.14,7699710,0.0,1.0
29,2018-03-21,58.38,59.43,58.18,58.9,58.9,4853669,0.0,1.0
30,2018-03-20,58.51,58.7,58.12,58.24,58.24,3614418,0.0,1.0
31,2018-03-19,58.98,59.02,57.874,58.3,58.3,6341261,0.0,1.0
32,2018-03-16,59.04,59.47,58.93,59.15,59.15,5526465,0.226,1.0
33,2018-03-15,60.25,60.3,59.37,59.38,59.154,5235269,0.0,1.0
34,2018-03-14,61.19,61.2,60.05,60.17,59.941,5429430,0.0,1.0
35,2018-03-13,61.5,61.7448,60.85,60.92,60.6881,6069204,0.0,1.0
36,2018-03-12,61.39,61.69,61.05,61.17,60.9372,4775171,0.0,1.0
37,2018-03-09,60.61,61.35,60.38,61.32,61.0866,5863174,0.0,1.0
38,2018-03-08,60.31,60.43,59.82,60.23,60.0008,5167301,0.0,1.0
39,2018-03-07,59.76,60.34,59.66,60.18,59.951,8393342,0.0,1.0
40,2018-03-06,60.01,60.85,59.72,60.4,60.1701,8807460,0.0,1.0
41,2018-03-05,58.69,59.91,58.61,59.74,59.5126,6580643,0.0,1.0
42,2018-03-02,58.67,59.12,58.365,58.96,58.7356,8009690,0.0,1.0
43,2018-03-01,59.6,59.85,58.58,59.02,58.7954,9962511,0.0,1.0
44,2018-02-28,60.88,60.94,59.62,59.63,59.4031,5570694,0.0,1.0
45,2018-02-27,61.5,61.59,60.71,60.71,60.4789,5918592,0.0,1.0
46,2018-02-26,61.55,61.595,60.946,61.56,61.3257,3254457,0.0,1.0
47,2018-02-23,60.75,61.31,60.44,61.29,61.0567,3531989,0.0,1.0
48,2018-02-22,60.26,60.96,60.18,60.4,60.1701,4529447,0.0,1.0
49,2018-02-21,60.26,61.07,59.99,60.0,59.7716,4997306,0.0,1.0
50,2018-02-20,60.22,60.6639,59.99,60.21,59.9808,5243741,0.0,1.0
51,2018-02-16,60.42,61.07,60.21,60.48,60.2498,8458471,0.0,1.0
52,2018-02-15,60.68,60.74,59.96,60.7,60.469,6149076,0.0,1.0
53,2018-02-14,58.96,60.37,58.84,60.25,60.0207,7999701,0.0,1.0
54,2018-02-13,59.36,59.72,59.22,59.45,59.2237,6776315,0.0,1.0
55,2018-02-12,58.88,59.95,58.71,59.6,59.3732,10470180,0.0,1.0
56,2018-02-09,58.05,58.81,56.62,58.42,58.1977,26417518,0.0,1.0
57,2018-02-08,59.6,59.73,57.4,57.42,57.2015,12799993,0.0,1.0
58,2018-02-07,59.78,60.6,59.51,59.51,59.2835,16751044,0.0,1.0
59,2018-02-06,57.3,60.15,57.14,60.05,59.8215,19340291,0.0,1.0
60,2018-02-05,60.21,60.874,58.15,58.15,57.9287,18570711,0.0,1.0
61,2018-02-02,61.75,61.84,60.411,60.46,60.2299,9674665,0.0,1.0
62,2018-02-01,62.51,62.92,61.98,62.09,61.8537,9486148,0.0,1.0
63,2018-01-31,63.1,63.16,62.53,62.95,62.7104,9912767,0.0,1.0
64,2018-01-30,63.09,63.39,62.76,62.9,62.6606,8817685,0.0,1.0
65,2018-01-29,64.04,64.12,63.32,63.36,63.1189,5331118,0.0,1.0
