,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2018-05-02,66.7,66.75,66.19,66.565,66.565,4600785,0.0,1.0
1,2018-05-01,65.37,66.32,65.21,66.28,66.28,9273687,0.0,1.0
2,2018-04-30,66.06,66.465,65.375,65.46,65.46,8686115,0.0,1.0
3,2018-04-27,66.67,66.72,65.54,65.89,65.89,13156483,0.0,1.0
4,2018-04-26,65.64,66.27,65.37,66.01,66.01,16543440,0.0,1.0
5,2018-04-25,64.92,65.05,64.0,64.83,64.83,15290279,0.0,1.0
6,2018-04-24,66.35,66.46,64.35,64.82,64.82,17423809,0.0,1.0
7,2018-04-23,66.46,66.65,65.66,65.97,65.97,18960253,0.0,1.0
8,2018-04-20,66.94,66.99,65.925,66.21,66.21,16238478,0.0,1.0
9,2018-04-19,67.46,67.53,66.895,67.14,67.14,12905816,0.0,1.0
10,2018-04-18,68.0,68.15,67.48,67.89,67.89,9882220,0.0,1.0
11,2018-04-17,67.42,68.29,67.3,68.07,68.07,15222774,0.0,1.0
12,2018-04-16,66.78,67.08,66.39,66.83,66.83,9738678,0.0,1.0
13,2018-04-13,67.0,67.03,66.0,66.32,66.32,11210766,0.0,1.0
14,2018-04-12,66.16,66.83,66.0748,66.54,66.54,10628033,0.0,1.0
15,2018-04-11,65.73,66.34,65.64,65.75,65.75,8657765,0.0,1.0
16,2018-04-10,65.57,66.41,65.21,66.14,66.14,16116758,0.0,1.0
17,2018-04-09,64.52,65.81,64.465,64.55,64.55,10929668,0.0,1.0
18,2018-04-06,64.98,65.58,63.77,64.05,64.05,20238896,0.0,1.0
19,2018-04-05,65.99,66.09,65.22,65.66,65.66,16369083,0.0,1.0
20,2018-04-04,63.31,65.57,63.17,65.39,65.39,18149231,0.0,1.0
21,2018-04-03,64.34,64.64,63.41,64.49,64.49,18050721,0.0,1.0
22,2018-04-02,65.16,65.45,63.15,63.86,63.86,26017139,0.0,1.0
23,2018-03-29,64.61,66.07,64.16,65.42,65.42,17933797,0.0,1.0
24,2018-03-28,64.43,65.205,63.77,64.15,64.15,26810987,0.0,1.0
25,2018-03-27,67.13,67.17,64.08,64.58,64.58,29748560,0.0,1.0
26,2018-03-26,65.59,66.81,64.68,66.72,66.72,25125797,0.0,1.0
27,2018-03-23,66.0,66.29,64.25,64.28,64.28,20950788,0.0,1.0
28,2018-03-22,66.97,67.36,65.99,66.04,66.04,21195063,0.0,1.0
29,2018-03-21,68.05,68.69,67.605,67.79,67.79,10933467,0.0,1.0
30,2018-03-20,68.06,68.4575,67.82,68.2,68.2,9382796,0.0,1.0
31,2018-03-19,68.96,69.07,67.67,68.23,68.23,19868388,0.0,1.0
32,2018-03-16,69.8,70.05,69.52,69.61,69.61,12202272,0.2177,1.0
33,2018-03-15,69.88,70.31,69.56,69.9,69.682,11501443,0.0,1.0
34,2018-03-14,70.27,70.33,69.51,69.86,69.6422,13881448,0.0,1.0
35,2018-03-13,71.09,71.34,69.68,69.92,69.702,13809416,0.0,1.0
36,2018-03-12,70.72,71.01,70.53,70.73,70.5094,13506245,0.0,1.0
37,2018-03-09,69.69,70.51,69.6,70.51,70.2901,12342535,0.0,1.0
38,2018-03-08,69.11,69.26,68.77,69.2,68.9842,7623964,0.0,1.0
39,2018-03-07,68.01,68.97,68.01,68.9,68.6851,11109750,0.0,1.0
40,2018-03-06,68.76,68.85,68.2175,68.52,68.3063,10151938,0.0,1.0
41,2018-03-05,67.36,68.6,67.21,68.37,68.1568,10888925,0.0,1.0
42,2018-03-02,66.28,67.815,66.1,67.68,67.469,19196109,0.0,1.0
43,2018-03-01,68.33,68.59,66.53,67.04,66.8309,21486816,0.0,1.0
44,2018-02-28,69.05,69.34,68.16,68.17,67.9574,15232048,0.0,1.0
45,2018-02-27,69.39,69.705,68.66,68.66,68.4459,12790591,0.0,1.0
46,2018-02-26,68.58,69.36,68.58,69.36,69.1437,10797190,0.0,1.0
47,2018-02-23,67.44,68.29,67.28,68.29,68.077,10386168,0.0,1.0
48,2018-02-22,67.04,67.495,66.7,66.89,66.6814,10979387,0.0,1.0
49,2018-02-21,67.5,68.065,66.8,66.81,66.6017,14551218,0.0,1.0
50,2018-02-20,66.84,67.77,66.77,67.24,67.0303,16917649,0.0,1.0
51,2018-02-16,67.08,67.899,67.01,67.18,66.9705,10167145,0.0,1.0
52,2018-02-15,66.65,67.28,65.87,67.28,67.0702,12152462,0.0,1.0
53,2018-02-14,64.47,66.125,64.43,66.02,65.8141,16058841,0.0,1.0
54,2018-02-13,64.3,64.99,64.115,64.83,64.6278,9542038,0.0,1.0
55,2018-02-12,64.21,65.07,63.74,64.67,64.4683,17814755,0.0,1.0
56,2018-02-09,63.01,63.99,60.971,63.53,63.3319,36350175,0.0,1.0
57,2018-02-08,64.87,64.99,61.99,62.01,61.8166,27814273,0.0,1.0
58,2018-02-07,65.37,66.04,64.69,64.69,64.4883,23712554,0.0,1.0
59,2018-02-06,62.84,65.635,62.48,65.53,65.3257,45134653,0.0,1.0
60,2018-02-05,65.77,67.015,63.67,63.7,63.5014,49279802,0.0,1.0
61,2018-02-02,67.74,67.8,66.47,66.48,66.2727,21964705,0.0,1.0
62,2018-02-01,68.2,68.985,68.19,68.51,68.2964,16324964,0.0,1.0
63,2018-01-31,68.34,68.555,68.0,68.45,68.2365,15348877,0.0,1.0
64,2018-01-30,68.0,68.34,67.7608,67.94,67.7281,14831240,0.0,1.0
65,2018-01-29,68.99,68.99,68.47,68.56,68.3462,27589931,0.0,1.0
66,2018-01-26,68.58,69.19,68.43,69.19,68.9742,10048638,0.0,1.0
67,2018-01-25,68.66,68.72,67.94,68.11,67.8976,12975913,0.0,1.0
68,2018-01-24,68.94,69.06,68.0,68.23,68.0172,18509512,0.0,1.0
69,2018-01-23,68.68,68.9,68.54,68.76,68.5456,10230061,0.0,1.0
70,2018-01-22,67.75,68.47,67.611,68.46,68.2465,9002067,0.0,1.0
71,2018-01-19,67.8,67.91,67.45,67.8,67.5886,11947212,0.0,1.0
72,2018-01-18,67.55,67.845,67.49,67.67,67.459,14922916,0.0,1.0
73,2018-01-17,66.93,67.61,66.71,67.55,67.3394,14688082,0.0,1.0
74,2018-01-16,67.22,67.455,66.375,66.55,66.3425,18221762,0.0,1.0
75,2018-01-12,66.34,66.9,66.25,66.81,66.6017,8154313,0.0,1.0
